SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'35040001,UNIFORM SHIRT POLO BACK OFFICE +LOGO-FEMALE(S),เสื้อโปโลแบ็คออฟฟิตสีกรมท่า30/59+ปักโลโก้-หญิง(S),EA,,,330,,,,A,7,,
'35040002,UNIFORM SHIRT POLO BACK OFFICE +LOGO-FEMALE(M),เสื้อโปโลแบ็คออฟฟิตสีกรมท่า30/59+ปักโลโก้-หญิง(M),EA,,,330,,,,A,7,,
'35040003,UNIFORM SHIRT POLO BACK OFFICE +LOGO-FEMALE(L),เสื้อโปโลแบ็คออฟฟิตสีกรมท่า30/59+ปักโลโก้-หญิง(L),EA,,,330,,,,A,7,,
'35040004,UNIFORM SHIRT POLO BACK OFFICE +LOGO-FEMALE(XL),เสื้อโปโลแบ็คออฟฟิตสีกรมท่า30/59+ปักโลโก้-หญิง(XL),EA,,,330,,,,A,7,,
'35040005,UNIFORM SHIRT POLO BACK OFFICE +LOGO-FEMALE(2XL),เสื้อโปโลแบ็คออฟฟิตสีกรมท่า30/59+ปักโลโก้-หญิง(2XL),EA,,,330,,,,A,7,,
'35040006,UNIFORM SHIRT POLO BACK OFFICE +LOGO-MALE(S),เสื้อโปโลแบ็คออฟฟิตสีกรมท่า30/59+ปักโลโก้-ชาย(S),EA,,,330,,,,A,7,,
'35040007,UNIFORM SHIRT POLO BACK OFFICE +LOGO-MALE(M),เสื้อโปโลแบ็คออฟฟิตสีกรมท่า30/59+ปักโลโก้-ชาย(M),EA,,,330,,,,A,7,,
'35040008,UNIFORM SHIRT POLO BACK OFFICE +LOGO-MALE(L),เสื้อโปโลแบ็คออฟฟิตสีกรมท่า30/59+ปักโลโก้-ชาย(L),EA,,,330,,,,A,7,,
'35040009,UNIFORM SHIRT POLO BACK OFFICE +LOGO-MALE(XL),เสื้อโปโลแบ็คออฟฟิตสีกรมท่า30/59+ปักโลโก้-ชาย(XL),EA,,,330,,,,A,7,,
'35040010,UNIFORM SHIRT POLO BACK OFFICE +LOGO-MALE(2XL),เสื้อโปโลแบ็คออฟฟิตสีกรมท่า30/59+ปักโลโก้-ชาย(2XL),EA,,,330,,,,A,7,,
'35040011,UNIFORM SHIRT POLO BACK OFFICE +LOGO-FEMALE(SS),เสื้อโปโลแบ็คออฟฟิตสีกรมท่า30/59+ปักโลโก้-หญิง(SS),EA,,,330,,,,A,7,,
