SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12000015,JINTARA WATERMELON,แตงโมจินตรา,KG,,,16,,,,N,0,,
'12000029,YOUNG COCONUT(CUT) - GREEN,มะพร้าวอ่อนปอกเปลือกปาดเขียว(ปาดหัว/ท้าย),PCS,,,16,,,,N,0,,
'12000030,แตงโมกินรี,แตงโมกินรี,KG,,,16,,,,N,0,,
'12000001,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),PCS,,,20,,,,N,0,,
'12000002,APPLE RED,แอปเปิ้ลแดง(6 ลูก/กก.),PCS,,,20,,,,N,0,,
'12000034,YOUNG COCONUT(CUT) - WHITE,มะพร้าวอ่อนปาดขาว,PCS,,,20,,,,N,0,,
'12000016,KIWI FRUIT (1x6)(192259),กีวี (1x6)(192259),PCS,,,22,,,,N,0,,
'12000026,PINEAPPLE LARGE,สับปะรดใหญ่,PCS,,,32,,,,N,0,,
'12000003,BANANA EGGS,กล้วยไข่,BUNCH,,,35,,,,N,0,,
'12000041,BANANA FINGER,กล้วยเล็บมือนาง,BUNCH,,,35,,,,N,0,,
'12000047,DRAGON FRUIT 3 PCS,แก้วมังกรขาว(ขอ3ลูกผลไม้ไหว้ศาล),KG,,,37,,,,N,0,,
'12000074,มะม่วงแก้วขมิ้น (ดิบ),มะม่วงแก้วขมิ้น(ดิบ),KG,,,38,,,,N,0,,
'12000008,DRAGON FRUIT,แก้วมังกรขาว,KG,,,39,,,,N,0,,
'12000019,MANGO,มะม่วงดิบ,KG,,,40,,,,N,0,,
'12000067,TONGDEE POMELO 1 PCS. 120244,ส้มโอทองดี 1 ลูก.(120244),PCS,,,40,,,,N,0,,
'12000013,GUAVA FRUIT-กิมจู,ฝรั่งกิมจู,KG,,,42,,,,N,0,,
'12000004,BANANA SWEET,กล้วยน้ำว้า,BUNCH,,,45,,,,N,0,,
'12000040,AVOCADO(EACH),อโวคาโด(ลูก),PCS,,,50,,,,N,0,,
'12000037,BANANA LARGE,กล้วยหอม,BUNCH,,,53,,,,N,0,,
'12000057,ORANGE LOCAL NO.1,ส้มเขียวหวาน เบอร์ 1,KG,,,55,,,,N,0,,
'12000035,CANTALOUP ORANGE,แคนตาลูปส้ม,KG,,,60,,,,N,0,,
'12000052,LONG KONG,ลองกอง,KG,,,60,,,,N,0,,
'12000056,ORANGE LOCAL,ส้มสายน้ำผึ้ง,KG,,,60,,,,N,0,,
'12000061,RAMBUTAN,เงาะ,KG,,,60,,,,N,0,,
'12000068,แก้วมังกรแดง,แก้วมังกรแดง,KG,,,60,,,,N,0,,
'12000024,PAPAYA HONLAND,มะละกอฮอลแลนด์,KG,,,65,,,,N,0,,
'12000036,CHOKUN ORANGE,ส้มโชกุน(ใหญ่ 5 ลูก/เล็ก 9 ลูกสำหรับผลไม้ไหว้ศาล),KG,,,65,,,,N,0,,
'12000053,LONGAN,ลำไย,KG,,,65,,,,N,0,,
'12000075,ส้มโชกุนลูกใหญ่,ส้มโชกุนลูกใหญ่,KG,,,65,,,,N,0,,
'12000072,กล้วยหอม เกรด A (120171),กล้วยหอมเกรด A (120171),BUNCH,,,75,,,,N,0,,
'12000022,ORANGE SUNQUID KG,ส้มซันควิด,KG,,,78,,,,N,0,,
'12000063,SA LEE FRUIT B 5 / S 5 PCS,สาลี่น้ำผึ้งถ้าใหญ่ 3 / เล็ก 5 ลูก(ผลไม้ไหว้ศาล),KG,,,78,,,,N,0,,
'12000014,JACK FRUIT PEELED WITH SEED,ขนุนแกะ(มีเม็ด),KG,,,80,,,,N,0,,
'12000021,MANGO YELLOW (2-3 ลูก/กก.) (189501),มะม่วงน้ำดอกไม้สุก(2-3 ลูก/กก.)/(189501),KG,,,80,,,,N,0,,
'12000049,JACK FRUIT PEELED WITH OUT SEED,ขนุนแกะ(เม็ด),KG,,,80,,,,N,0,,
'12000051,KEOW SAVOY MANGO 1KG. (790998),มะม่วงเขียวเสวย 1 กก.(790998),KG,,,80,,,,N,0,,
'12000005,BLUEBERRY FRESH 125G.(103133),บลูเบอรี่สด 125ก.(103133),PACK,,,89,,,,N,0,,
'12000043,BLUEBERRIES JUMBO 125G. (861270),บลูเบอร์รี่จัมโบ้ 125ก.(861270),PACK,,,99,,,,N,0,,
'12000054,MANDARIN ORANGE,ส้มแมนดาริน,KG,,,110,,,,N,0,,
'12000009,GRAPE RED IMPORT 1KG.(112406),องุ่นแดงนอก 1 กก.(112406),KG,,,120,,,,N,0,,
'12000031,องุ่นแดงไร้เมล็ด AUS 1 กก.,องุ่นแดงไร้เมล็ด AUS 1 กก.,KG,,,125,,,,N,0,,
'12000060,PINEAPPLE PU-LE (816843),สัปปะรดภูแล (816843),KG,,,140,,,,N,0,,
'12000064,STRABERRY FRESH 250G.(169955),สตรอเบอร์รีสดนำเข้า 250ก.(169955),PACK,,,169,,,,N,0,,
