SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'15010104,CORN CHIPS REGULAR-UNSALTED (200 G./PACK),แผ่นข้าวโพดกรอบ-จืด 200 ก.,PACK,,,90,,,,A,7,,
'14030004,WHIPPING CREAM  MILLAC GOLD,วิปปิ้งครีมมิลล์แลกโก 1 ลิตร,BOX,,,165,,,,A,7,,
'15120012,RED WINE VINEGAR AGED  1 L. (12602),น้ำส้มสายชูไวน์แดง 1 ลิตร(12602),BTL,,,185,,,,N,7,,
'15010038,MUSTARD SEEDS 500 G. (6IP465038),เม็ดมัสตาร์ด 500ก.(6IP465038),BAG,,,200,,,,N,0,,
'15130017,PAPRIKA POWDER 500G.(462023033),ผงปาปริก้า 500ก.(462023033),BAG,,,220,,,,N,0,,
'10050042,MORTADELLA 3-3.2 KG.,มอลตาเดล่าแท่ง 3-3.2 กก.,KG,,,285,,,,N,0,,
'15130044,GARAM MASALA 500 G.,เครื่องเทศรวม 500 ก.,BAG,,,370,,,,N,0,,
'10050044,PARIS HAM 2 KG,แฮมปารีส 2 KG.,KG,,,560,,,,A,7,,
'10050034,CHORIZO 1.5-1.8 KG.,CHORIZO 1.5-1.8 KG.,KG,,,660,,,,A,7,,
'10050015,PEPPERONI,เปปเปอร์โรนี่,KG,,,670,,,,A,7,,
'11000029,TUNA SAKU AAA (1DT004),เนื้อทูน่าสากุเกรด3A(1DT004),KG,,,775,,,,A,7,,
'17000001,RIBEYE AUS EBONY CHOICE 5-8 KG.,เนื้อริบอายออสสเตรเลีย 5-8 กก.,KG,,,1075,,,,A,7,,
'15050014,FLOUR PIZZA ROSSA MIMOSA W290-320/25KG.,แป้งพิซซ่า ROSSA MIMOSA W290-320(41001),SACK,,,1320,,,,A,7,,
'15080005,DUCK LIVER TERRINE (6WA29),DUCK LIVER TERRINE (6WA29),KG,,,3740,,,,A,7,,
14020022,CHESS GOUDA BLOCK 3KG.(6UH004),CHESS GOUDA BLOCK 3KG.(6UH004),KG,,,425,,,,A,7,,
14020013,CHEESE CHEDDAR ORANGEGRAND'OR(BLOCK)2.50KG./PCS,CHEESE CHEDDAR ORANGEGRAND'OR(BLOCK)2.50KG./PCS,KG,,,425,,,,A,7,,
