SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
20010010,WATER DRINKING  BTL 330ML.(1x12)/(834640),น้ำดื่มเพียวไลท์ เนสเล่ 330 มล.(1x12)/(834640),PACK,,,45,,,,I,7,,
20000018,RED BULL BTL 150 ML  (1x10 PCS) (128499),กระทิงแดงขวด 150 มล. (1x10 ขวด) (128499),PACK,,,103,,,,I,7,,
22140008,YEOW NGERN 70 CL.(206675),เหยี่ยวเงิน 70 CL.(206675),Btl,,,142,,,,I,7,,
20000017,SODA WATER ROCK 325 ML.(1x24)/(810465),โซดาร๊อค 325 มล. (1x24)/(810465),TRAY,,,175,,,,I,7,,
'20000008,SODA WATER ONE WAY SINGHA 325 ML.(1x24)/(160629),โซดาวันเวย์ สิงห์ 325มล.(1x24)/(160629),TRAY,,,187,,,,I,7,,
'22020049,PEACH PLOY 70 CL.,PEACH PLOY 70 CL.,Btl,,,295,,,,I,7,,
'22140007,SANG SOM 70 CL. (192995),SANG SOM 70 CL. (192995),Btl,,,295,,,,I,7,,
22020049,PEACH PLOY 70 CL. : ,PEACH PLOY 70 CL.,Btl,,,295,,,,I,7,,
20000010,SPRITE PLASTIC BTL 1.25 L. (1x12) (358930),SPRITE PLASTIC BTL 1.25 L. (1x12) (358930),PACK,,,302,,,,I,7,,
20000003,COKE PLASTIC BTL 1.25 L. (1x12)/(358891),โค้ก(ขวด) 1.25ล.(1x12)/(358891),PACK,,,302,,,,I,7,,
20000009,SPRITE CAN 325 ML. (1x24) (358839),SPRITE CAN 325 ML. (1x24) (358839),TRAY,,,319,,,,I,7,,
'20000001,COKE CAN 325 ML.(1x24)/(358579),โค้ก(กระป๋อง) 325มล.(1x24)/(358579),TRAY,,,319,,,,I,7,,
20000013,COKE ZERO CAN 325 ML. (1x24) (100511),โค้กซีโร่(กระป๋อง) 325 มล.(1x24)/(100511),TRAY,,,319,,,,I,7,,
'20000002,COKE LIGHT CAN 325 ML.(1x24)/(100512),โค้กไลท์(กระป๋อง) 325มล.(1x24)/(100512),TRAY,,,319,,,,I,7,,
20000004,ORANGE FANTA CAN 325 ML.(1x24)/(358657),น้ำส้มแฟนต้า(กระป๋อง) 325มล.(1x24)/(358657),TRAY,,,319,,,,I,7,,
20000006,SCHWEPPES GINGER ALE CAN 330 ML. (1x24) (146882),SCHWEPPES GINGER ALE CAN 330 ML. (1x24) (146882),TRAY,,,346,,,,I,7,,
'20000016,SCHWEPPES SODA WATER CAN 330 ML. (1x24) (146880),SCHWEPPES SODA WATER CAN 330 ML. (1x24) (146880),TRAY,,,346,,,,I,7,,
20000007,SCHWEPPES TONIC WATER CAN 330 ML. (1x24) (146879),SCHWEPPES TONIC WATER CAN 330 ML. (1x24) (146879),TRAY,,,346,,,,I,7,,
'22140009,MEKHONG 70 CL.(818024),MEKHONG 70 CL.(818024),Btl,,,410,,,,I,7,,
