SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,
'15090023,SALT SACKED SAVEPAK 1KG.(818661),เกลือทะเลแท้ 100% (ชนิดเม็ด)ตราเซพแพ็ค 1 กก.(818661),BAG,,,11.50,,,,I,7,,,,,,
'15090009,SALT PHUNG TIP 1KG.(1x24)/(106971),เกลือปรุงทิพย์ 1 กก.(1x24)/(106971),KG,,,14.75,,,,I,7,,,,,,
'15080002,BAKING SODA MCGARRETT 300G.(184247),เบคกิ้งโซดา แม็กกาแรต 300ก.(184247),BAG,,,29.50,,,,I,7,,,,,,
'12010172,ยอดคะน้า 300ก.(830435),ยอดคะน้า 300ก.(830435),Pack,,,26.25,,,,N,0,,,,,,
'15010174,เมล็ดมัสตาร์ดดำ 200 ก. (175476),เมล็ดมัสตาร์ดดำ 200ก.(175476),BAG,,,31.50,,,,N,0,,,,,,
'15010059,YELLOW MUSTARD SEEDS 200G.(175477),เมล็ดมัสตาร์ดเหลือง 200ก.(175477),BAG,,,33.50,,,,N,0,,,,,,
'15010050,RICE ROASTED RAITIP 500G. (221067),ข้าวคั่วไร่ทิพย์ 500ก.(221067),BAG,,,33.50,,,,I,7,,,,,,
'15160001,CANDY MIX FRUIT MENTOS (1x100) (916084),ลูกอมผลไม้รวม เมนทอส(1x100)/(916084),BAG,,,33.50,,,,I,7,,,,,,
'15160003,SOFT CANDY FRUIT MENTOS(1x100)/(916084),ลูกอมรสผลไม้ เมนทอส(1x100)/(916084),BAG,,,33.50,,,,I,7,,,,,,
'15050004,FLOUR TAPIOCA JADE LEAF 1 KG.(170111),แป้งมันสำปะหลัง ใบหยก 1 กก.(170111),KG,,,38.75,,,,I,7,,,,,,
'15010024,FERMENTED FISH SAUCE TUM-MUA 350ML.(841206),น้ำปลาร้าปรุงรสตราตำมั่ว 500มล.(841206),BTL,,,34.75,,,,I,7,,,,,,
'15130069,ชุดบักกุ๊ดเต๋ 55 กรัม(151987),ชุดบักกุ๊ดเต๋ 55 กรัม(151987),BAG,,,35.75,,,,N,0,,,,,,
'15050026,แป้งกวนไส้ ตราดาว 500 กรัม. (847900),แป้งกวนไส้ ตราดาว 500ก.(847900),BAG,,,36.75,,,,I,7,,,,,,
'15130089,ROSEMARY DRIED 50G.(175495),โรสแมรี่อบแห้ง 50ก.(175495),Pack,,,36.75,,,,N,0,,,,,,
'15020001,DRY JUJUB 250G.(152716),พุทราแห้ง 250ก.(152716),BAG,,,36.75,,,,N,0,,,,,,
'15050003,FLOUR RICE ERAWAN 1KG.(183877),แป้งข้าวเจ้า ช้างสามเศียร 1 กก.(183877),KG,,,37.75,,,,I,7,,,,,,
'15010032,KIDNEY BEANS 500G.(830331),ถั่วแดงหลวง 500ก.(830331),BAG,,,37.75,,,,N,0,,,,,,
'15160002,CANDY STRAWBERRY FLAVOR HEARTBEAT (1x100) (139464),ลูกอมกลิ่นสตรอว์เบอร์รี ฮาร์ทบีท(1x100)/(139464),BAG,,,37.75,,,,I,7,,,,,,
'15160004,SOFT CANDY MILK COUGAR(1x100)/(256958),ลูกอมรสนม คูก้า(1x100)/(256958),BAG,,,38.75,,,,I,7,,,,,,
'15160005,YOGHURT CANDY COUGAR(1x100)/(198363),ลูกอมรสนมเปรี้ยวโยเกิร์ต คูก้า(1x100)/(198363),BAG,,,38.75,,,,I,7,,,,,,
'14040001,PLAN YOGHURT DUTCHIE 90G.(1x4)/(845279),โยเกิร์ตรสธรรมชาติดัชมิลล์ 90ก.(1x4)/(845279),PACK,,,41.00,,,,I,7,,,,,,
'12000027,PINEAPPLE SRIRACHA (120101),สับปะรดศรีราชา/ปัตตาเวีย (120101),KG,,,41.00,,,,N,0,,,,,,
'15090010,น้ำเชื่อมเข้มข้น ยี่ห้อมิตรผล 800ก.1*3/(231001),น้ำเชื่อมเข้มข้น ยี่ห้อมิตรผล 800ก.1*3/(231001),BAG,,,44.00,,,,I,7,,,,,,
'15090063,SUGAR ICING 800G.M BAKEHOUSE(184755),น้ำตาลไอซ์ซิ่ง 800ก.ตราเอ็มเบคเฮ้าส์(184755),BAG,,,42.00,,,,I,7,,,,,,
'15050027,แป้งข้าวโพด ตราซุปเปอร์ไฟน์ 1 กก.(147447),แป้งข้าวโพด ตราซุปเปอร์ไฟน์ 1 กก.(147447),KG,,,44.00,,,,I,7,,,,,,
'15090062,SUGAR ICING 900G.MITRPHOL(233461),น้ำตาลไอซ์ซิ่ง 900ก.ตรามิตรผล(233461),BAG,,,44.00,,,,I,7,,,,,,
'15090018,SUGAR ICING 900G.LIN(202995),น้ำตาลไอซ์ซิ่ง 900ก.ตราลิน(202995),BAG,,,44.00,,,,I,7,,,,,,
16010040,แผ่นเกี๊ยว 500ก.ยี่ห้อห้ามังกร(101702),แผ่นเกี๊ยว 500ก.ยี่ห้อห้ามังกร(101702),Pack,,,47.25,,,,I,7,,,,,,
'15140016,WHITH GLUTINOUS RICE RAITIP 1 KG. (223239),ข้าวเหนียว ไร่ทิพย์ 1 กก.(223239),KG,,,47.25,,,,N,0,,,,,,
'15140010,ข้าวเหนียวดิบเขี้ยวงูไร่ทิพย์ 1กก.(223239),ข้าวเหนียวดิบเขี้ยวงู ไร่ทิพย์ 1กก.(223239),KG,,,47.25,,,,N,0,,,,,,
11000038,ปลาทูนึ่งทั้งตัวขนาด(10-12 ตัว/กก.)3 ตัว/แพ็ค ตราวรา(174471),ปลาทูนึ่งทั้งตัวขนาด(10-12 ตัว/กก.)3 ตัว/แพ็ค ตราวรา(174471),Pack,,,47.25,,,,I,7,,,,,,
'15080060,SANDWICH COOKIES OREO 137G.(1x2)/(120274),คุกกี้ช็อกโกแลตครีมโอรีโอ้ 137ก.(1x2)/(120274),PACK,,,48.25,,,,I,7,,,,,,
'15050029,แป้งทอดกรอบ ยี่ห้อยูเอฟเอ็ม 1กก.(161927),แป้งทอดกรอบ ยี่ห้อยูเอฟเอ็ม 1กก.(161927),BAG,,,49.25,,,,I,7,,,,,,
'14030006,FILLING BLUEBERRY BESTFOOD 900G.(1x9)/(183452),ฟิลลิ่งบลูเบอรี่เบสท์ฟู๊ดส์ 900ก.(1x9)/(183452),BAG,,,49.25,,,,I,7,,,,,,
'14030008,FILLING STRAWBERRY BESTFOOD 900G. (1x9)/(183443),ฟิลลิ่งสตรอเบอร์รี่เบสท์ฟู้ด 900ก.(1x9)(183443),BAG,,,49.25,,,,I,7,,,,,,
'14030007,FILLING ORANGE BESTFOOD 900G. (1*9)/(195761),ฟิลลิ่งส้มเบสท์ฟู๊ดส์ 900ก.(1*9)(195761),BAG,,,49.25,,,,I,7,,,,,,
'15080066,SNACK-WHITE WAFER BENG BENG  22/25G.(1x12)(808303),ขนมขบเคี้ยว-ไวท์ช็อกโกแลตเวเฟอร์เบงเบง 22/25ก.(1x12)(808303),PACK,,,50.50,,,,I,7,,,,,,
'15080003,SNACK-CHOCOLATE WEFER BENG-BENG 22/25G.(1x12)/(226132),ขนมขบเคี้ยว-ช็อคโกแลตเวเฟอร์เบงเบง 22/25ก.(1x12)/(226132),PACK,,,50.50,,,,I,7,,,,,,
'15080035,SNACK-COOKIES SANWICH OREO 28.5/27.6ก. (1x12)(197584),ขนมตกแต่ง-คุกกี้ช็อกวนิลาโอริโอ 28.5/27.6ก. (1x12)(197584),PACK,,,50.50,,,,I,7,,,,,,
'15010172,YELLOW BEAN HALF RAI THIP 1KG.(223313),ถั่วเหลืองซีกไร่ทิพย์ 1 กก.(223313),BAG,,,50.50,,,,N,0,,,,,,
12010117,ALFALFA SPROUTS 50G.(160542),ต้นอ่อนอัลฟาฟ่า 50ก.(160542),PACK,,,51.50,,,,N,0,,,,,,
'15080059,SALTED PEANUTS KOH-KAE 20G.(1x12)/(129446),ถั่วลิสงอบเกลือโก๋แก่ 20ก.(1x12)/(129446),PACK,,,51.50,,,,I,7,,,,,,
'20010010,WATER DRINKING  BTL 330ML.1x12/(834640),น้ำดื่มเพียวไลท์ เนสเล่ 330 มล.1x12/(834640),PACK,,,51.50,,,,I,7,,,,,,
'12000067,TONGDEE POMELO 1 PCS. 120244,ส้มโอทองดี 1 ลูก.(120244),PCS,,,51.50,,,,N,0,,,,,,
'15080036,SNACK-CRACKER CHOCOLATE BALL TIVOLI 18G.(1x12)/(148765),ขนมขบเคี้ยว-แคร็กเกอร์ช็อกโกแลตทิวลี่บอล 18ก.(1x12)/(148765),PACK,,,47.25,,,,I,7,,,,,,
'14000015,MILK CHOCOLATE FLAVOURED MEIJI 830ML.(298142),นมพาสเจอร์ไรซ์รสช็อกโกแลตเมจิ 830 มล. (298142),BTL,,,52.25,,,,N,0,,,,,,
'15050030,แป้งมันฮ่องกง 400ก.ตราใบหยก(173147),แป้งมันฮ่องกง 400ก.ตราใบหยก(173147),BAG,,,52.50,,,,I,7,,,,,,
'15010029,GREEN MOONG DAL ALPINE 500 G. (106344),ถั่วเขียวอัลไพน์ 500ก.(106344),BAG,,,57.75,,,,N,0,,,,,,
'15010058,YELLOW MOONG DAL ALPINE 500G.(106342),ถั่วเหลืองอัลไพน์ 500ก.(106342),BAG,,,57.75,,,,N,0,,,,,,
'15010017,CHANA DAL ALPINE 500G.(106375),ถั่วลูกไก่ผ่าซีก(เหลือง)ยี่ห้ออัลไพน์ 500ก.(106375),BAG,,,57.75,,,,N,0,,,,,,
'15080004,CUSTARD CAKE EURO 17G.(1x12)/(140478),ขนมคัสตาร์ดเค้ก ยูโร่ 17ก.(1x12)/(140478),PACK,,,53.50,,,,I,7,,,,,,
15080007,SNACK ORIGINAL ROCK LAYS 11/13ก. (1x12/PACK)(166685),มันฝรั่งแผ่นหยักเกลือเหลือง เลย์ 11/13ก.(1x12)/(166685),Pack,,,53.50,,,,I,7,,,,,,
'15080006,SNACK ORIGINAL ROCK LAYS 13 G. (1x12)/(166537),มันฝรั่งแผ่นหยักเกลือเหลือง เลย์ 13ก.(1x12)/(166537),PACK,,,53.50,,,,I,7,,,,,,
'15080037,SNACK-CRACKER MILK OK 30 G. (1x12) (143269),ขนมขบเคี้ยว-ขนมปังกรอบรสนมโอเค 30ก.(1x12)/(143269),PACK,,,54.50,,,,I,7,,,,,,
'15080095,ขนมปังกรอบแผ่นบาง รสนม 30ก.1*12/แพ็ค ตราโอเค(143269),ขนมปังกรอบแผ่นบาง รสนม 30ก.1*12/แพ็ค ตราโอเค(143269),Pack,,,54.50,,,,I,7,,,,,,
'15010043,PEANUT GROUND RAITIP 500G.(829924),ถั่วลิสงป่นไร่ทิพย์ 500ก.(829924),BAG,,,54.50,,,,I,7,,,,,,
15010242,ถั่วลิสงคั่วซีก(ไทย) ตราไร่ทิพย์ 500ก.(829926),ถั่วลิสงคั่วซีก(ไทย) ตราไร่ทิพย์ 500ก.(829926),BAG,,,54.50,,,,I,7,,,,,,
'15120035,CHILLI SAUCE SRIRACHA 900G.(237969),ซอสพริก ศรีราชา 900ก.(237969),BAG,,,55.75,,,,I,7,,,,,,
'14000017,MILK NO SUGAR ADDED TOFUSAN 830ML.(202206),น้ำนมถั่วเหลืองรสจืดโทฟุซัง 830มล.(202206),BTL,,,55.75,,,,I,7,,,,,,
