SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'14010015,MARGARINE BLUE BAND BEST FOODS 1KG.(866196),มาร์การีน-บลูแบนด์เบสฟู้ดส์ 1 กก.(866196),BAG,,,105,,,,N,0,,
'14030003,WHIPPING CREAM SPRAY EMBORG 500G.,วิปปิ้งครีมสเปรย์เอ็มบอร์ก 500ก.,CAN,,,250,,,,N,0,,
'14020007,MOZZARELLA CHEESE SHREDDED ANCHOR 2KG. (179715),มอสซาเรลล่าชีสชนิดขูดแองเคอร์ 2 กก.(179715),BAG,,,265,,,,N,0,,
'14010016,MARGARINE BLUEBAND 2KG.(866198),มาการีน-บลูแบนด์เบสฟู้ดส์ 2 กก.(866198),TANK,,,330,,,,N,0,,
'14010002,BUTTER SALT ALLOWRIE 8G.(1x100),เนยเค็มตลับอลาวรี่ 8ก.(1x100),BOX,,,340,,,,N,0,,
'14010003,BUTTER UN-SALT ALLOWRIE 8G.(1x100),เนยจืดตลับอลาวรี่ 8ก.(1x100),BOX,,,340,,,,N,0,,
'14020008,CHEESE CHEDDAR 84 SLICE(ANCHOR)(1 PACK=1.04KG),เชดด้าชีส 84 สไลด์ ANCHOR(1PACK=1.04KG),PACK,,,340,,,,N,0,,
'14020009,CHEESE EDAM BALL 1-2 KG.(9040802),อีดัมชีสบอล 1-2 กก./ลูก(9040802),KG,,,390,,,,N,0,,
'14010008,เนยจืดบัตเตอร์เบลนด์เซสท์ 5 กก.,เนยจืดบัตเตอร์เบลนด์เซสท์ 5 กก.,BOX,,,500,,,,N,0,,
'14010011,BUTTER COOKING ALLOWRIE UN-SALT 5 KG.,เนยจืดอลาวรี่ 5 กก./แท่ง,BOX,,,685,,,,N,0,,
'14020016,CHEESE CREAM ANCHOR 1KG.(142554),ครีมชีสแองคอร์ 1 กก.(142554),KG,,,740,,,,N,0,,
'14010012,BUTTER DAIRY 82% GREEN CORMAN  2KG.(1x5),เนยแผ่นแดรี่บัตเตอร์ 82% เขียวคอร์แมน 2 กก.(1x5),CASE,,,6430,,,,N,0,,
