SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12010145,OKRA,กระเจี๊ยบเขียว,KG,,,40,,,,N,0,,
'12010067,RHY ZOME,กระชาย,KG,,,75,,,,N,0,,
'12010087,กระเทียมจีนหัว(829336),กระเทียมจีนหัว(829336),KG,,,70,,,,N,0,,
'12010158,WHOLE THAI GARLIC,กระเทียมไทย,KG,,,160,,,,N,0,,
'12010086,กระเทียมไทยกลีบ,กระเทียมไทยกลีบ,KG,,,160,,,,N,0,,
'12010132,GARLIC LARGE,กระเทียมใหญ่,KG,,,70,,,,N,0,,
'12010098,GARLIC LARGE & TO LEVER OUT,กระเทียมใหญ่(แกะ),KG,,,85,,,,N,0,,
'12010034,HOT BASIL,กระเพรา,KG,,,55,,,,N,0,,
'12010033,GREEN OAK 0.5 KG.,กรีนโอ๊ด 0.5 กก.,KG,,,150,,,,N,0,,
'12000004,BANANA SWEET,กล้วยน้ำว้า,BUNCH,,,40,,,,N,0,,
'12010038,KWANG TUNG,กวางตุ้ง,KG,,,30,,,,N,0,,
'12010114,CABBAGE  WHITE,กะหล่ำปลีขาว,KG,,,33,,,,N,0,,
'12010103,RED CABBAGE,กะหล่ำม่วง,KG,,,35,,,,N,0,,
'12010042,LETTUCE ICEBERG,กาดแก้ว,KG,,,75,,,,N,0,,
'12010082,WHITE LETTUCE,กาดขาว,KG,,,33,,,,N,0,,
'12010041,LETTUCE GREEN,กาดหอมสีเขียว,KG,,,90,,,,N,0,,
'12010020,CHINESES CHIVES,กุ้ยฉ่ายเขียว(ต้น),KG,,,60,,,,N,0,,
'12000008,DRAGON FRUIT,แก้วมังกรขาว,KG,,,55,,,,N,0,,
'12010111,TURMERIC WHITE,ขมิ้นขาว,KG,,,100,,,,N,0,,
'12010037,KAMIN FRESH,ขมิ้นสด,KG,,,50,,,,N,0,,
'12010131,GALANGA WHOLE STRONG,ข่าแก่,KG,,,45,,,,N,0,,
'12010022,CORN ON THE COB,ข้าวโพดฝัก(ปอกเปลือก),KG,,,33,,,,N,0,,
'12010129,CORN ON THE NO COB,ข้าวโพดฝัก(ไม่ปอกเปลือก),KG,,,22,,,,N,0,,
'12010001,BABY CORN,ข้าวโพดอ่อน,KG,,,45,,,,N,0,,
'12010031,GINGER OLD,ขิงแก่,KG,,,60,,,,N,0,,
'12010032,GINGER SLICED,ขิงฝอย,KG,,,65,,,,N,0,,
'12010138,KANANG,แขนง,KG,,,75,,,,N,0,,
'12010036,KALE,คะน้า,KG,,,60,,,,N,0,,
'12010088,คะน้าฮ่องกง,คะน้าฮ่องกง,KG,,,150,,,,N,0,,
'12010108,CELERY THAI,คื่นช่ายไทย,KG,,,140,,,,N,0,,
12010011,CELERY IMPORT,คื่นช่ายฝรั่ง,KG,,,70,,,,,,,
15060045,เครื่องแกงคั่ว,เครื่องแกงคั่ว,KG,,,130,,,,,,,
'12000035,CANTALOUP ORANGE,แคนตาลูปส้ม,KG,,,53,,,,N,0,,
'12010010,CARROT,แครอท,KG,,,18,,,,N,0,,
'12010116,ACAEIAL INSUAVIS,ชะอม,BUNDLE,,,35,,,,N,0,,
'12010044,LONG PARSLES,ชีใบเลื่อย,KG,,,65,,,,N,0,,
'12010153,SHOWN LEAVES CUT,โชนหั่น,KG,,,45,,,,N,0,,
'12010079,TURNIP DRIED FLAKE,ไชโป๊วสับ,KG,,,60,,,,N,0,,
'12010080,TURNIP FLAKE,ไชโป๊วหวานฝอย,KG,,,60,,,,N,0,,
'12010085,ZUCHINI,ซูกินีเขียว,KG,,,85,,,,N,0,,
'12010093,CAULIFIOWER EXPORT,ดอกกะหล่ำนอก,KG,,,60,,,,N,0,,
'12010094,CAULIFLOWER,ดอกกะหล่ำใน,KG,,,65,,,,N,0,,
'12010139,KEELEK FLOWER,ดอกขี้เหล็กต้ม,KG,,,50,,,,N,0,,
'12010146,ONION SPRING FLOWER,ดอกหอม,KG,,,95,,,,N,0,,
'12010039,LEEK ( TON KRA THIAM ),ต้นกระเทียม,KG,,,120,,,,N,0,,
'12010058,ONION SPRING,ต้นหอม,KG,,,90,,,,N,0,,
'12010117,ALFALFA SPROUTS 50G.,ต้นอ่อนอัลฟาฟ่า 50ก.,PACK,,,70,,,,N,0,,
'12010040,LEMONGRASS,ตะไคร้,PCS,,,1,,,,N,0,,
'12010163,ตะไคร้ 1*100/มัด,ตะไคร้ 1*100/มัด,BUNDLE,,,110,,,,N,0,,
'12010107,TAM LUNG,ตำลึง(เด็ด),KG,,,75,,,,N,0,,
'12000023,PANDANUS LEAVES,เตยหอม,KG,,,30,,,,N,0,,
15150007,BEAN CURE YELLOW,เต้าหู้เหลืองแผ่น,PCS,,,10,,,,,,,
'12010115,CUCUMBER JAPANESE,แตงกวาญี่ปุ่น,KG,,,95,,,,N,0,,
'12010024,CUCUMBER SMALL,แตงกวาเล็ก,KG,,,33,,,,N,0,,
'12010023,CUCUMBER LARGE,แตงกวาใหญ่,KG,,,23,,,,N,0,,
'12000015,JINTARA WATERMELON,แตงโมจินตรา,KG,,,22,,,,N,0,,
'12010027,FRENCH BEAN,ถั่วแขก,KG,,,45,,,,N,0,,
'12010005,BEANSPROUTS CLEANED,ถั่วงอก,KG,,,18,,,,N,0,,
'12010148,PICKLE NUT BIG HEADS,ถั่วดองหัวโต,KG,,,150,,,,N,0,,
'12010070,STRING BEANS,ถั่วฝักยาว,KG,,,50,,,,N,0,,
'12010004,BEANS WING,ถั่วพลู,KG,,,80,,,,N,0,,
'12010106,SNOW PEA,ถั่วลันเตา,KG,,,160,,,,N,0,,
'12010072,SWEET PEA /KG,ถั่วลันเตาหวาน/กก.,KG,,,160,,,,N,0,,
'12000007,COCONUT MILK FRESH,น้ำกะทิสด,KG,,,80,,,,N,0,,
'12010092,BROCCOLI,บล็อคโคลี่,KG,,,55,,,,N,0,,
'12010045,LUFFA,บวบเหลี่ยม,KG,,,25,,,,N,0,,
'12010124,BUTTER HEAD,บัตเตอร์เฮด,KG,,,135,,,,N,0,,
'12010122,BEETROOT,บีทรูท,KG,,,50,,,,N,0,,
'12010118,BABY CARROT,เบบี้เเครอท,KG,,,180,,,,N,0,,
'12010140,KEELEK LEAVES,ใบขี้เหล็กต้ม,KG,,,40,,,,N,0,,
'12010012,CHAPOO LEAVES,ใบชะพลู,KG,,,55,,,,N,0,,
'12010162,ใบชะมวง,ใบชะมวง,KG,,,75,,,,N,0,,
'12020001,BANANA LEAVE,ใบตอง,Kg,,,25,,,,N,0,,
'12010130,FRESH THYME LEAF (26260),ใบไทม์สด(26260),KG,,,650,,,,N,0,,
'12010069,SMALL LOTUS LEAF,ใบบัวบก,KG,,,90,,,,N,0,,
'12010035,KAFFIR LIME LEAVE,ใบมะกรูด,KG,,,55,,,,N,0,,
'12010046,MANGLUK LEAVE,ใบแมงลัก,KG,,,60,,,,N,0,,
'12010063,RA LEAF,ใบรา,KG,,,60,,,,N,0,,
'12010029,ROSEMARY LEAF (31538),ใบโรสแมรี่สด(31538),KG,,,650,,,,N,0,,
'12010075,THAI PARSLEY,ผักชีไทย,KG,,,130,,,,N,0,,
'12010102,PARSLEY FRENCH,ผักชีฝรั่ง/พาสเลย์,KG,,,150,,,,N,0,,
'12010025,DILL LEAVES,ผักชีลาว,KG,,,110,,,,N,0,,
'12010019,CHINESE MORNING GLORY,ผักบุ้งจีน,KG,,,30,,,,N,0,,
'12010049,MORNING GLORY,ผักบุ้งไทย,KG,,,23,,,,N,0,,
'12010073,SWEET VEGELTABLE,ผักหวาน,Kg,,,110,,,,N,0,,
'12010059,PAK MEANG,ผักเหมียง,KG,,,100,,,,N,0,,
'12010074,TARO ROOT,เผือก,KG,,,40,,,,N,0,,
'12000013,GUAVA FRUIT-กิมจู,ฝรั่งกิมจู,KG,,,55,,,,N,0,,
'12010095,CHILI BRID GREEN (CUT),พริกขี้หนูเขียว(เด็ด),KG,,,70,,,,N,0,,
'12010126,CHILI BRID GREEN,พริกขี้หนูเขียว(ไม่เด็ด),KG,,,60,,,,N,0,,
'12010013,CHILI BRID RED,พริกขี้หนูแดง,KG,,,65,,,,N,0,,
'12010014,CHILI BRID RED (CUT),พริกขี้หนูแดงเด็ด,KG,,,80,,,,N,0,,
'12010009,BIRD CHILI (233298),พริกขี้หนูสวนไม่เด็ด(233298),KG,,,150,,,,N,0,,
'12010017,CHILLI FINGER ( GREEN ),พริกชี้ฟ้าเขียว,KG,,,60,,,,N,0,,
'12010018,CHILLI FINGER ( RED ),พริกชี้ฟ้าแดง,KG,,,75,,,,N,0,,
'12010028,PEPPER CORN,พริกไทยอ่อน,KG,,,130,,,,N,0,,
'12010006,BELL PEPPER GREEN,พริกยักษ์เขียว,KG,,,90,,,,N,0,,
'12010007,BELL PEPPER RED,พริกยักษ์แดง,KG,,,105,,,,N,0,,
'12010008,BELL PEPPER YELLOW,พริกยักษ์เหลือง,KG,,,135,,,,N,0,,
'12010043,LOCAL PEPPER GREEN,พริกหยวก,KG,,,90,,,,N,0,,
'12010016,CHILI DRY SMALL,พริกแห้งเล็ก,KG,,,230,,,,N,0,,
'12010127,CHILI DRY SMALL (CUT) 0.5KG.,พริกแห้งเล็ก(เด็ด) 0.5 กก.,KG,,,250,,,,N,0,,
'12010015,CHILI DRY LARGE,พริกแห้งใหญ่,KG,,,180,,,,N,0,,
'12010047,MARROW VAGETABLE,ฟักเขียว,KG,,,15,,,,N,0,,
'12010136,JAPANESE PUMPKIN,ฟักทองญี่ปุ่น,KG,,,65,,,,N,0,,
'12010062,PUMPKIN LARGE,ฟักทองใหญ่,KG,,,20,,,,N,0,,
'12010097,FRILLICE ICEBERG,ฟิลเลย์ไอซ์เบิร์ก,KG,,,150,,,,N,0,,
'12010077,TOMATO RED,มะเขือเทศท้อ,KG,,,60,,,,N,0,,
'12010109,TOMATO BIG BEEF,มะเขือเทศเนื้อ,KG,,,100,,,,N,0,,
'12010076,TOMATO QUEEN,มะเขือเทศราชินี,KG,,,90,,,,N,0,,
'12010078,TOMATO SEDA,มะเขือเทศสีดา,KG,,,50,,,,N,0,,
'12010021,CHOA PRAYA EGGPLANT,มะเขือเปราะ,KG,,,35,,,,N,0,,
'12010110,EGG PLANT SMALL ( SPLIT ),มะเขือพวง(เด็ด),KG,,,100,,,,N,0,,
'12010096,EGGPLANT PURPLE,มะเขือม่วงกลม,KG,,,110,,,,N,0,,
'12010026,EGG PLANT GREEN LONG,มะเขือยาวเขียว,KG,,,40,,,,N,0,,
'12000017,LEMON FRUIT,มะนาวแป้น(ผิวสวยๆ),PCS,,,3,,,,N,0,,
'12000039,LEMON YELLOW BIG,มะนาวเหลือง,KG,,,70,,,,N,0,,
