SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'31000021,BATTERY(AA)-ALKALINE1.5V Panasonic,ถ่านแบตเตอร์รี่(AA)-อัลคาไลน์ ยี่ห้อพานาโซนิค,PCS,,,25,,,,A,7,,
'31000023,DRY BATTERY - AAA - ALKALINE Panasonic,ถ่านแบตเตอร์รี่ AAA อัลคาไลน์ ยี่ห้อพานาโซนิค,PCS,,,25,,,,A,7,,
'31000028,BATTERY Size D  Panasonic/Green,ถ่านไฟฉายก้อนใหญ่ไซด์ D ยี่ห้อพานาโซนิค(สีเขียว),PCS,,,25,,,,A,7,,
'40010015,BLACK SILICONE L 6301 ( SONY ),ซิลิโคนดำรุ่น L6301 ยี่ห้อ SONY,PCS,,,215,,,,A,7,,
'40010016,CLEAR SILICONE SONIE 330 ML.,ซิลิโคนใส ยี่ห้อโซนี่ 330 ML.,PCS,,,215,,,,A,7,,
'40010165,พุ๊กตัวหนอน #  7,พุ๊กตัวหนอน #  7,BOX,,,,,,,A,7,,
'41010007,THERMOROOM AIR TTLT-TTL004 ODIGITAL /A80063-171,THERMOROOM AIR TTLT-TTL004 ODIGITAL /A80063-171,SET,,,,,,,A,7,,
'41010044,สเปร์ยโฟมสำหรับล้างแอร์ ยี่ห้อนอร์ก้า 500 มล.,สเปร์ยโฟมสำหรับล้างแอร์ ยี่ห้อนอร์ก้า 500 มล.,Can,,,,,,,A,7,,
'41050020,"BALL VALVE(MINI) SANWA 3WAY 1/2""","มินิบอลวาวล์ 1/2"" ยี่ห้อซันวา 3 ทาง(ผผผ) ",PCS,,,,,,,A,7,,
'40010001,ELECTRIC TAPE(BLACK COLOUR)-3M,เทปพันสายไฟสีดำ ยี่ห้อ 3 เอ็ม,ROLL,,,,,,,A,7,,
'40010002,GLUE HOT BROVO 20G.,กาวร้อนตราโบโว 20G.,PCS,,,,,,,A,7,,
'40010009,"CABLE TINE 6"" (1*100)/BAG",เคเบิ้ลไทน์ 6 นิ้ว (1*100)/ถุง,BAG,,,25,,,,A,7,,
'40010010,TILE GRONT CROCODILE(PEARL WHITE) 1 KG/BAG,กาวยาแนวป้องกันเชื้อราตราจะเข้(ขาวมุก) 1กก./ถุง,BAG,,,,,,,A,7,,
'40010015,BLACK SILICONE L 6301 ( SONY ),ซิลิโคนดำรุ่น L6301 ยี่ห้อ SONY,PCS,,,215,,,,A,7,,
'40010016,CLEAR SILICONE SONIE 330 ML.,ซิลิโคนใส ยี่ห้อโซนี่ 330 ML.,PCS,,,,,,,A,7,,
'40010024,ยางกันแมลง 1 เมตรรุ่น king#11-01สีน้ำตาล,ยางกันแมลง 1 เมตรรุ่น king#11-01สีน้ำตาล,PCS,,,,,,,A,7,,
'40010061,"CUTTING FIBER 14"" # MAKITA",ใบไฟเบอร์ 14 นิ้ว ยี่ห้อมากีต้า,PCS,,,,,,,A,7,,
