SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,
15010044,PEELED PEANUTS RAITIP 500G.(1x6)/(185825),ถั่วลิสงเลาะเปลือกไร่ทิพย์ 500ก.(1x6)/(185825),BAG,0,0,60,,,,,,,,
15010050,RICE ROASTED RAITIP 500G. (221067),ข้าวคั่วไร่ทิพย์ 500ก.(221067),BAG,0,0,30,,,,,,,,
15010065,SAKU DRY SEED 500G./BAG,สาคูเม็ดเล็กตราปลามังกร(สีขาว) 500ก./ถุง,BAG,0,0,40,,,,,,,,
15010184,หัวหอมเจียวไร่ทิพย์ 500ก.(915848) : ,หัวหอมเจียวไร่ทิพย์ 500ก.(915848),BAG,,,165,,,,,,,,
15130084,CINAMON STICK(MAI HOOM) 500G. RAITIP,อบเชย(ไม้หอม) 500ก.ตราไร่ทิพย์,BAG,0,0,330,,,,,,,,
'15000028,TEA POWDER LOCAL 400 G. (155655),ชาตรามือฉลากแดง 400ก.(155655),BAG,,,85,,,,N,0,,,
'15010014,CASHEWNUT HALF,เม็ดมะม่วงหิมพานต์อบซีก,BAG,,,270,,,,N,0,,,
'15010043,PEANUT GROUND RAITIP 500G.(829924),ถั่วลิสงป่นไร่ทิพย์ 500ก.(829924),BAG,,,110,,,,N,0,,,
'15010053,SHRIMP SANCK MANOHRA 1KG.(119144),ข้าวเกรียบกุ้งดิบมโนห์รา 1 กก.(119144),BAG,,,210,,,,N,0,,,
'15010072,FRIED GARLIC 0.5KG,กระเทียมเจียว 0.5 กก.,BAG,,,55,,,,N,0,,,
'15010099,CHEST NUT 100G.,เกาลัดอบก่อหยวน 100ก.,BAG,,,50,,,,N,0,,,
'15010162,TEK KA KEE 200 G.,เต็กกากี่ 200 ก.,BAG,,,85,,,,N,0,,,
'15010179,น้ำใบย่านาง,น้ำใบย่านาง,BAG,,,20,,,,N,0,,,
'15040001,BEAN VERMICHILI 500G. (742222),วุ้นเส้นตราต้นไผ่ 500ก.(742222),BAG,,,85,,,,N,0,,,
'15040006,NOODLE GLASS 400G.(1x12),เส้นหมี่หุ้นช้างสามเศียร 400ก.(1x12),BAG,,,35,,,,N,0,,,
'15040008,WAI WAI 500G. (1x3)/(154504),หมี่อบแห้งไวไว 500ก.(1x3)/(154504),BAG,,,38,,,,N,0,,,
'15040009,WAI WAI NOODLE DRIED 180G.(1x12)/(990899),เส้นหมี่อบแห้งไวไว 180ก.(1x12)/(990899),BAG,,,20,,,,N,0,,,
'15050006,แป้งมันสำปะหลังตราเจดีย์ 400ก.,แป้งมันสำปะหลัง ตราเจดีย์ 400ก.,BAG,,,35,,,,N,0,,,
'15090021,SALT,เกลือป่นตรามือ(มัด),BAG,,,98,,,,N,0,,,
'15090022,SALT 180G.,เกลือตรามือ 180ก.,BAG,,,15,,,,N,0,,,
'15090023,SALT SACKED SAVEPAK 1KG.,เกลือทะเลแท้ 100% (ชนิดเม็ด)เซพแพ็ค 1 กก.,BAG,,,18,,,,N,0,,,
'15130036,CHICKEN BROTH FLAVORED ROD-D 800G.(100113),ผงปรุงอาหารรสไก่ รสดี  800ก.(100113),BAG,,,120,,,,N,0,,,
'15140011,STICKY RICE WHITE,ข้าวเหนียวขาวดิบ,BAG,,,50,,,,N,0,,,
'15140012,BROWN RICE,ข้าวกล้อง,BAG,,,120,,,,N,0,,,
'15140014,RICE BERRY,ข้าวไรเบอรี่,BAG,,,120,,,,N,0,,,
16010044,ชาร้อน(สำหรับไหว้ศาล),ชาร้อน(สำหรับไหว้ศาล),BAG,,,15,,,,,,,,
'15000002,LIPTON TEA YELLOW SIZE 2G.( 1*100/BOX )/(210390),ชาลิปตันเหลืองซอง 2ก.( 1*100)/(210390),BOX,,,265,,,,N,0,,,
'12010149,PICKLED GINGE,ขิงดอง,BTL,,,220,,,,N,0,,,
'15010024,FERMENTED FISH SAUCE TUM-MUA 350ML.(841206),น้ำปลาร้าปรุงรสตราตำมั่ว 500มล.(841206),BTL,,,50,,,,N,0,,,
'15010054,TAIPLA  BOTTLE LARGE,ไตปลาขวดใหญ่,BTL,,,40,,,,N,0,,,
'15010113,GARLIC PICKLE MAE JIN 870 G. (154549),กระเทียมดองแม่จินต์ 870ก.(154549),BTL,,,220,,,,N,0,,,
'15010175,ไตปลายาคูล,ไตปลายาคูล,BTL,,,12,,,,N,0,,,
'15080031,COLOUR FOOD ORANGE WINNER 16 OZ.,สีผสมอาหาร-สีส้มวินเนอร์ 16OZ.,BTL,,,25,,,,N,0,,,
'15080032,COLOUR FOOD RED WINNER 1OZ.,สีผสมอาหาร-สีแดงวินเนอร์ 1OZ.,BTL,,,25,,,,N,0,,,
'15080034,COLOUR FOOD YELLOW  WINNER 16OZ.,สีผสมอาหาร-สีเหลืองวินเนอร์ 16OZ.,BTL,,,25,,,,N,0,,,
'15120062,YEN TA FOUR SAUCE,ซอสเย็นตาโฟ,BTL,,,45,,,,N,0,,,
'15130031,CURRY PEWDER  200 G.(184165),ผงกะหรี่ปืนไขว้ 200ก.(184165),BTL,,,150,,,,N,0,,,
12000084,BANANA SWEET(SEEDLESS),กล้วยน้ำว้า(ไม่มีเมล็ด),BUNCH,0,0,45,,,,,,,,
'12000003,BANANA EGGS,กล้วยไข่,BUNCH,,,45,,,,N,0,,,
'12000004,BANANA SWEET,กล้วยน้ำว้า,BUNCH,,,45,,,,N,0,,,
'12000037,BANANA LARGE,กล้วยหอม,BUNCH,,,75,,,,N,0,,,
'12000041,BANANA FINGER,กล้วยเล็บมือนาง,BUNCH,,,60,,,,N,0,,,
'12010073,SWEET VEGELTABLE,ผักหวาน,BUNDLE,,,30,,,,N,0,,,
'12010084,YOD MUN POO,ยอดมันปู,BUNDLE,,,12,,,,N,0,,,
'12010116,ACAEIAL INSUAVIS,ชะอม,BUNDLE,,,45,,,,N,0,,,
'12010141,MANGO CREST,ยอดมะม่วงหิมพานต์,BUNDLE,,,10,,,,N,0,,,
'12010147,PAK GROOD ( EDIBIE FERN ),ผักกูด,BUNDLE,,,25,,,,N,0,,,
'12010163,ตะไคร้ 1*100/มัด,ตะไคร้ 1*100/มัด,BUNDLE,,,95,,,,N,0,,,
'12010166,ยอดกระถิน,ยอดกระถิน,BUNDLE,,,12,,,,N,0,,,
'31000017,ดอกไม้กำห่อใบเตย (ไม่เอาดาวเรือง) (DPP),ดอกไม้กำห่อใบเตย(ไม่เอาดาวเรือง)(DPP),BUNDLE,,,25,,,,,,,,
31000007,ดอกมัมสีเหลือง,ดอกมัมสีเหลือง,BUNDLE,,,100,,,,,,,,
'14000021,CREAMER SWEETENED BEVERAGE 388 G.(1x3)/(24700),ครีมเทียมข้นหวานคาร์เนชัน 388ก.(1x3)/(24700),CAN,,,38,,,,N,0,,,
'14000022,ครีมพร่องไขมันคาร์เอ็กตร้า 385ก.(1x6)/23569,ครีมพร่องไขมันคาร์เอ็กตร้า 385ก.(1x6)/(23569),CAN,,,38,,,,N,0,,,
'15010078,CANNED FISH IN TOMATO SAUCE,ปลากระป๋องในซอสมะเขือเทศ,CAN,,,21,,,,N,0,,,
'15010080,TUNA STEAK IN OIL NAUTILUS 170G.,เนื้อทูน่าสเต็กในน้ำมันถั่วเหลืองนอติลุส 170ก.,CAN,,,48,,,,N,0,,,
'15010083,GREEN MUSTARD PICKLE PIGEON 140G.(1x6)/(67886),ผักกาดดองนกพิราบคู่ 140ก.(1x6)/(67886),CAN,,,21,,,,N,0,,,
'15010116,GREEN MUSTARD PIGEON DOUBLE 140G.(1x6)/(68666),ผักกาดดอง(ฝาดึง)นกพิราบคู่ 140ก.(1x6)/(68666),CAN,,,21,,,,N,0,,,
'15010135,MACKEREL IN TOMATO ROZA 155 G. (1x10) (142387),ปลาป๋องในซอสมะเขือเทศโรซ่า 155ก.(1x10)/(142387),CAN,,,21,,,,N,0,,,
'12010002,BANANA FLOWER,หัวปลี,EA,,,15,,,,N,0,,,
11000007,ROASTED FISH ,ปลาย่าง,KG,,,175,,,,,,,,
11030004,CRAB PICKLES,ปูเค็ม,KG,,,120,,,,,,,,
12000036,CHOKUN ORANGE,ส้มโชกุน(ใหญ่ 5 ลูก/เล็ก 9 ลูกสำหรับผลไม้ไหว้ศาล),KG,,,65,,,,,,,,
12000063,SA LEE FRUIT B 5 / S 5 PCS,สาลี่น้ำผึ้งถ้าใหญ่ 3 / เล็ก 5 ลูก(ผลไม้ไหว้ศาล),KG,,,65,,,,,,,,
12000083,PASSION FRUIT,เสาวรสสด,KG,,,65,,,,,,,,
12010011,CELERY IMPORT,คื่นช่ายฝรั่ง,KG,,,70,,,,,,,,
12010073,SWEET VEGELTABLE,ผักหวาน,Kg,0,0,150,,,,,,,,
12010146,ONION SPRING FLOWER,ดอกหอม,KG,0,0,120,,,,,,,,
12010169,FENNEL,เฟนเนล,KG,0,0,120,,,,,,,,
12010171,EGGPLANT PURPLE LONG : ,มะเขือม่วงยาว,KG,,,38,,,,,,,,
12010174,ผักกระเฉด,ผักกระเฉด,Kg,0,0,50,,,,,,,,
15010143,PAE KUY,เม็ดแป๊ะก๊วย,KG,0,0,180,,,,,,,,
15010186,เนื้อปลาใบเค็มชิ้น,เนื้อปลาใบเค็มชิ้น,KG,0,0,220,,,,,,,,
15020004,BALE FRUIT DRY,มะตูมแห้ง,KG,0,0,280,,,,,,,,
15060045,ครื่องแกงคั่ว,เครื่องแกงคั่ว,KG,,,100,,,,,,,,
15090006,PLAM SUGAR RED,น้ำตาลปี๊ปแดง KG,KG,,,38,,,,,,,,
15130019,PEPER BLACK POWDER 1KG.(169261),พริกไทยดำป่น 1 กก.(169261),KG,0,0,150,,,,,,,,
15150003,FISH CURD ,เต้าหู้ปลา,KG,,,175,,,,,,,,
'11000007,ROASTED FISH,ปลาย่าง,KG,,,175,,,,N,0,,,
'12000007,COCONUT MILK FRESH,น้ำกะทิสด,KG,,,75,,,,N,0,,,
'12000008,DRAGON FRUIT,แก้วมังกรขาว,KG,,,65,,,,N,0,,,
'12000009,GRAPE RED IMPORT 1KG.(112406),องุ่นแดงนอก 1 กก.(112406),KG,,,120,,,,N,0,,,
'12000011,GRATED COCONUT,มะพร้าวขูดขาว,KG,,,80,,,,N,0,,,
'12000014,JACK FRUIT PEELED WITH SEED,ขนุนแกะ(มีเม็ด),KG,,,100,,,,N,0,,,
'12000015,JINTARA WATERMELON,แตงโมจินตรา,KG,,,28,,,,N,0,,,
'12000018,LEMON FRUIT BIG ( NO SEED ),มะนาวใหญ่ไร้เม็ด,KG,,,60,,,,N,0,,,
'12000019,MANGO,มะม่วงดิบ,KG,,,45,,,,N,0,,,
'12000021,MANGO YELLOW (2-3 ลูก/กก.) (189501),มะม่วงน้ำดอกไม้สุก(2-3 ลูก/กก.)/(189501),KG,,,130,,,,N,0,,,
'12000023,PANDANUS LEAVES,เตยหอม,KG,,,35,,,,N,0,,,
'12000025,PAPAYA RAW,มะละกอดิบ,KG,,,13,,,,N,0,,,
'12000033,SA LEE FRUIT,สาลี่ทอง,KG,,,65,,,,N,0,,,
'12000038,แห้วปอกเปลือก,แห้วปอกเปลือก,KG,,,140,,,,N,0,,,
'12000039,LEMON YELLOW BIG,มะนาวเหลือง,KG,,,51,,,,N,0,,,
'12000047,DRAGON FRUIT 3 PCS,แก้วมังกรขาว(ขอ3ลูกผลไม้ไหว้ศาล),KG,,,65,,,,N,0,,,
'12000048,GRAPES RED,องุ่นแดง,KG,,,120,,,,N,0,,,
'12000070,แห้วสดปอกเปลือก 1 กก. (265577),แห้วสดปอกเปลือก 1 กก.(265577),KG,,,140,,,,N,0,,,
'12000074,มะม่วงแก้วขมิ้น (ดิบ),มะม่วงแก้วขมิ้น(ดิบ),KG,,,48,,,,N,0,,,
'12010001,BABY CORN,ข้าวโพดอ่อน,KG,,,48,,,,N,0,,,
'12010004,BEANS WING,ถั่วพลู,KG,,,85,,,,N,0,,,
'12010005,BEANSPROUTS CLEANED,ถั่วงอก,KG,,,15,,,,N,0,,,
'12010006,BELL PEPPER GREEN,พริกยักษ์เขียว,KG,,,85,,,,N,0,,,
'12010007,BELL PEPPER RED,พริกยักษ์แดง,KG,,,90,,,,N,0,,,
'12010008,BELL PEPPER YELLOW,พริกยักษ์เหลือง,KG,,,105,,,,N,0,,,
'12010009,BIRD CHILI (233298),พริกขี้หนูสวนไม่เด็ด(233298),KG,,,220,,,,N,0,,,
'12010010,CARROT,แครอท,KG,,,20,,,,N,0,,,
'12010012,CHAPOO LEAVES,ใบชะพลู,KG,,,65,,,,N,0,,,
'12010013,CHILI BRID RED,พริกขี้หนูแดง,KG,,,55,,,,N,0,,,
'12010014,CHILI BRID RED (CUT),พริกขี้หนูแดงเด็ด,KG,,,75,,,,N,0,,,
'12010015,CHILI DRY LARGE,พริกแห้งใหญ่,KG,,,150,,,,N,0,,,
'12010016,CHILI DRY SMALL,พริกแห้งเล็ก,KG,,,200,,,,N,0,,,
'12010017,CHILLI FINGER ( GREEN ),พริกชี้ฟ้าเขียว,KG,,,55,,,,N,0,,,
'12010018,CHILLI FINGER ( RED ),พริกชี้ฟ้าแดง,KG,,,55,,,,N,0,,,
'12010019,CHINESE MORNING GLORY,ผักบุ้งจีน,KG,,,42,,,,N,0,,,
'12010020,CHINESES CHIVES,กุ้ยฉ่ายเขียว(ต้น),KG,,,65,,,,N,0,,,
'12010021,CHOA PRAYA EGGPLANT,มะเขือเปราะ,KG,,,25,,,,N,0,,,
'12010022,CORN ON THE COB,ข้าวโพดฝัก(ปอกเปลือก),KG,,,28,,,,N,0,,,
'12010023,CUCUMBER LARGE,แตงกวาใหญ่,KG,,,18,,,,N,0,,,
'12010024,CUCUMBER SMALL,แตงกวาเล็ก,KG,,,30,,,,N,0,,,
'12010025,DILL LEAVES,ผักชีลาว,KG,,,75,,,,N,0,,,
'12010026,EGG PLANT GREEN LONG,มะเขือยาวเขียว,KG,,,38,,,,N,0,,,
'12010027,FRENCH BEAN,ถั่วแขก,KG,,,48,,,,N,0,,,
'12010028,PEPPER CORN,พริกไทยอ่อน,KG,,,100,,,,N,0,,,
'12010029,ROSEMARY LEAF (31538),ใบโรสแมรี่สด(31538),KG,,,1000,,,,N,0,,,
'12010030,GALANGA WHOLE YOUNG(323648),ข่าอ่อน(323648),KG,,,40,,,,N,0,,,
'12010031,GINGER OLD,ขิงแก่,KG,,,48,,,,N,0,,,
'12010032,GINGER SLICED,ขิงฝอย,KG,,,48,,,,N,0,,,
'12010033,GREEN OAK 0.5 KG.,กรีนโอ๊ด 0.5 กก.,KG,,,90,,,,N,0,,,
'12010034,HOT BASIL,กระเพรา,KG,,,55,,,,N,0,,,
'12010035,KAFFIR LIME LEAVE,ใบมะกรูด,KG,,,55,,,,N,0,,,
'12010036,KALE,คะน้า,KG,,,30,,,,N,0,,,
'12010037,KAMIN FRESH,ขมิ้นสด,KG,,,50,,,,N,0,,,
'12010038,KWANG TUNG,กวางตุ้ง,KG,,,30,,,,N,0,,,
'12010039,LEEK ( TON KRA THIAM ),ต้นกระเทียม,KG,,,100,,,,N,0,,,
'12010041,LETTUCE GREEN,กาดหอมสีเขียว,KG,,,55,,,,N,0,,,
'12010042,LETTUCE ICEBERG,กาดแก้ว,KG,,,63,,,,N,0,,,
'12010043,LOCAL PEPPER GREEN,พริกหยวก,KG,,,55,,,,N,0,,,
'12010044,LONG PARSLES,ชีใบเลื่อย,KG,,,55,,,,N,0,,,
