SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'31000035,DRINKING STRAW COLORFUL 8MM.( 1*250 PCS ),หลอดดูดข้องอ คละสี 8มม. ( 1*250 ชิ้น ),PACK,,,,,,,A,7,,
'31000036,หลอดดูดข้องอจัมโบ้ 8 มม. สีส้ม(1*200),หลอดดูดข้องอจัมโบ้ 8 มม. สีส้ม(1*200),PACK,,,,,,,A,7,,
'31000037,DRINKING STRAW WHTIE 6 MM.( 1 * 250 PCS ),หลอดดูดข้องอสีขาว 6 มม. ( 1 * 250 อัน ),PACK,,,,,,,A,7,,
'31000038,หลอดดูดข้องอสีน้ำตาล 6มม.(ห่อฟิล์ม)1*100/แพ็ค,หลอดดูดข้องอสีน้ำตาล 6มม.(ห่อฟิล์ม)1*100/แพ็ค,PACK,,,,,,,A,7,,
'31000074,DRINKING STRAW WHITE  6mm.1*100/bag,หลอดดูดข้องอสีขาว 6มม.(ซองกระดาษ)1*100/ห่อ,BAG,,,20.61,,,,A,7,,
'31000144,หลอดดูดข้องอจัมโบ้ 8 มม.(คละสี) 1*250/แพ็ค,หลอดดูดข้องอจัมโบ้ 8 มม.(คละสี) 1*250/แพ็ค,PACK,,,,,,,A,7,,
'31000145,หลอดดูดข้องอน้ำตาล 6 มม.(ไม่ห่อฟิล์ม) 1*250/ห่อ,หลอดดูดข้องอน้ำตาล 6 มม.(ไม่ห่อฟิล์ม) 1*250/ห่อ,PACK,,,19.63,,,,A,7,,
'32000035,RUBBER BIG,ยางวงใหญ่,PACK,,,67.76,,,,A,7,,
'34030002,METCH  GUN,ปืนยิงแก๊ส,PCS,,,32.4,,,,A,7,,
'34030008,"COLD PLASTIC BAG 6"" X 9 ""","ถุงพลาสติกเย็น 6"" X 9""",KG,,,98.13,,,,A,7,,
'34030009,"COLD PLASTIC BAG 8"" X 14""","ถุงพลาสติกเย็น 8"" X 14""",KG,,,98.13,,,,A,7,,
'34030010,"BAMBOO STICK 6""(1*200)","ไม้เสียบ BBQ. 6""(1*200)",PACK,,,24.85,,,,A,7,,
'34030016,"COLD PLASTIC BAG 5"" X 8""","ถุงพลาสติกเย็น 5"" X 8""",KG,,,98.13,,,,A,7,,
'34030017,ถุงหูหิ้วใส 8*16 นิ้ว,ถุงหูหิ้วใส 8*16 นิ้ว,KG,,,127.58,,,,A,7,,
