SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010006,WATER MINERE 500ML. (1x12)/(198281),πÌÈ“·√Ë¡‘‡π‡√Ë 500 ¡≈.(1x12)/(198281),PACK,,,82,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000017,SODA WATER ROCK 325 ML.(1x24)/(810465),‚´¥“√ÍÕ§ 325 ¡≈. (1x24)/(810465),TRAY,,,184,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000008,SODA WATER ONE WAY SINGHA 325 ML.(1x24)/(160629),‚´¥“«—π‡«¬Ï  ‘ßÀÏ 325¡≈.(1x24)/(160629),TRAY,,,193,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22140007,SANG SOM 70 CL. (192995),SANG SOM 70 CL. (192995),Btl,,,279,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000010,SPRITE PLASTIC BTL 1.25 L. (1x12) (358930),SPRITE PLASTIC BTL 1.25 L. (1x12) (358930),PACK,,,307,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000001,COKE CAN 325 ML.(1x24)/(358579),‚§È°(°√–ªÎÕß) 325¡≈.(1x24)/(358579),TRAY,,,309,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000002,COKE LIGHT CAN 325 ML.(1x24)/(100512),‚§È°‰≈∑Ï(°√–ªÎÕß) 325¡≈.(1x24)/(100512),TRAY,,,309,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000003,COKE PLASTIC BTL 1.25 L. (1x12)/(358891),‚§È°(¢«¥) 1.25≈.(1x12)/(358891),PACK,,,324,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000013,COKE ZERO CAN 325 ML. (1x24) (100511),‚§È°´’‚√Ë(°√–ªÎÕß) 325 ¡≈.(1x24)/(100511),TRAY,,,326,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000004,ORANGE FANTA CAN 325 ML.(1x24)/(358657),πÈ” È¡·øπµÈ“(°√–ªÎÕß) 325¡≈.(1x24)/(358657),TRAY,,,333,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
