SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'11010017,กุ้งขาวเล็กแกะเปลือก,กุ้งขาวเล็กแกะเปลือก,KG,,,0,,,,N,0,,
'12000015,JINTARA WATERMELON,แตงโมจินตรา,KG,,,0,,,,N,0,,
'12000024,PAPAYA HONLAND,มะละกอฮอลแลนด์,KG,,,0,,,,N,0,,
'12000027,PINEAPPLE SRIRACHA (120101),สับปะรดศรีราชา/ปัตตาเวีย (120101),KG,,,0,,,,N,0,,
'12000028,ROSE APPLE RED (828275),ชมพู่แดง (828275),KG,,,0,,,,N,0,,
'12000032,MANGO YELLOW,มะม่วงโชคอนันต์สุก,KG,,,0,,,,N,0,,
'12000035,CANTALOUP ORANGE,แคนตาลูปส้ม,KG,,,0,,,,N,0,,
'12000036,CHOKUN ORANGE,ส้มโชกุน(ใหญ่ 5 ลูก/เล็ก 9 ลูกสำหรับผลไม้ไหว้ศาล),KG,,,0,,,,N,0,,
'12000047,DRAGON FRUIT 3 PCS,แก้วมังกรขาว(ขอ3ลูกผลไม้ไหว้ศาล),KG,,,0,,,,N,0,,
'12000053,LONGAN,ลำไย,KG,,,0,,,,N,0,,
'12000056,ORANGE LOCAL,ส้มสายน้ำผึ้ง,KG,,,0,,,,N,0,,
'12000057,ORANGE LOCAL NO.1,ส้มเขียวหวาน เบอร์ 1,KG,,,0,,,,N,0,,
'12000058,ORANGE LOCAL NO.O,ส้มเขียวหวาน เบอร์ 0,KG,,,0,,,,N,0,,
'12000060,PINEAPPLE PU-LE (816843),สัปปะรดภูแล (816843),KG,,,0,,,,N,0,,
'12000063,SA LEE FRUIT B 5 / S 5 PCS,สาลี่น้ำผึ้งถ้าใหญ่ 3 / เล็ก 5 ลูก(ผลไม้ไหว้ศาล),KG,,,0,,,,N,0,,
'12000067,TONGDEE POMELO 1 PCS. 120244,ส้มโอทองดี 1 ลูก.(120244),PCS,,,0,,,,N,0,,
'12000068,แก้วมังกรแดง,แก้วมังกรแดง,KG,,,0,,,,N,0,,
'12000073,มะพร้าวทึนทึก,มะพร้าวทึนทึก,PCS,,,0,,,,N,0,,
'12000075,ส้มโชกุนลูกใหญ่,ส้มโชกุนลูกใหญ่,KG,,,0,,,,N,0,,
'12010120,BABY POTATO,เบบี้โปเต้โต้,KG,,,0,,,,N,0,,
'12010125,CALAHASH,ลูกน้ำเต้า,KG,,,0,,,,N,0,,
'12010128,CHINESE SALTED RADISH,หัวไชโป๊วเค็ม,KG,,,0,,,,N,0,,
'12010129,CORN ON THE NO COB,ข้าวโพดฝัก(ไม่ปอกเปลือก),KG,,,0,,,,N,0,,
'12010135,INDIAN ONION 10 KG.,หอมแดงอินเดีย 10 กก./กส.,SACK,,,0,,,,N,0,,
'12010137,KAI LAN (151020),ยอดคะน้าฮ่องกง (151020),KG,,,0,,,,N,0,,
'12010156,TOMATO RED CHERRY,มะเขือเทศเชอรี่สีแดง,KG,,,0,,,,N,0,,
