SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'41090005,"BRUSH 2""  FOR  PAINT","แปรงทาสี 2"" ยี่ห้ออินดี้",PCS,,,,,,,A,7,,
'41090006,สีพ่นอุตสาหกรรมสีดำ#999 ยี่ห้อ TOA ขนาด 1 ลิตร ,สีพ่นอุตสาหกรรมสีดำ#999 ยี่ห้อ TOA ขนาด 1 ลิตร ,GAL,,,,,,,A,7,,
'41090010,สีพ่นอุตสาหกรรมสีขาว NO.900 3.75 ลิตร,สีพ่นอุตสาหกรรมสีขาว NO.900 3.75 ลิตร,GAL,,,,,,,A,7,,
'41090012,JOTASHIELD(EARLY RAIN)# 0411 9 L. ,สีทาภายนอกโจตัน(กึ่งเงา)#74-0411,TANK,,,,,,,A,7,,
'41090020,JOTUN ESSENCE # 8236 SIZE 9 L.,สีทาภายใน ยี่ห้อโจตัน #8236 ขนาด 9 ลิตร,TANK,,,,,,,A,7,,
'41090047,สีทาถนนสะท้อนแสง สีเหลือง 3.785 ลิตร,สีทาถนนสะท้อนแสง สีเหลือง 3.785 ลิตร,GAL,,,,,,,A,7,,
'41090050,สีพ่นอุตสาหกรรม TOA # 900 สีขาว ขนาด 3.75 ลิตร,สีพ่นอุตสาหกรรม TOA # 900 สีขาว ขนาด 3.75 ลิตร,GAL,,,625,,,,A,7,,
'41090051,สีพ่นอุตสาหกรรมTOAสีดำเงา814,สีพ่นอุตสาหกรรมTOAสีดำเงา814,TANK,,,,,,,A,7,,
'41090052,สีย้อมไม้ชนิดกึ่งเงา WS-2011ยี่ห้อ Woodtect 3.78L.,สีย้อมไม้ชนิดกึ่งเงา WS-2011ยี่ห้อ Woodtect 3.78L.,GAL,,,720,,,,A,7,,
'41090066,สีย้อมไม้(ด้าน) อะควาเดคกิ้งสแตนสีมะเกลือ รุ่น AD-505 ยี่ห้อวูดเทค 3.5 ลิตร,สีย้อมไม้(ด้าน) อะควาเดคกิ้งสแตนสีมะเกลือ รุ่น AD-505 ยี่ห้อวูดเทค 3.5 ลิตร,Gal,,,,,,,A,7,,
'41100008,SAND PAPER FOR WOOD CIRCULAR NO.3,กระดาษทรายขัดไม้ NO.3,METER,,,,,,,A,7,,
'41100015,กระดาษทรายแดง เบอร์ 100,กระดาษทรายแดง เบอร์ 100,METER,,,82,,,,A,7,,
