SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
14050025,ICE CREAM BELGIAN CHOCOLATE(HGD )CUP 100ML.(1*24)/CASE,ICE CREAM BELGIAN CHOCOLATE(HGD )CUP 100ML.(1*24)/CASE,Case,,,1948,,,,A,7,,
14050026,ICE CREAM BELGIAN CHOCOLATE(HGD )CUP 100ML.(1*12)/CASE,ICE CREAM BELGIAN CHOCOLATE(HGD )CUP 100ML.(1*12)/CASE,Case,,,1004,,,,A,7,,
14050027,ICE CREAM MACADAMIA NUT (HGD )CUP 100ML.(1*24)/CASE,ICE CREAM MACADAMIA NUT (HGD )CUP 100ML.(1*24)/CASE,Case,,,1948,,,,A,7,,
14050028,ICE CREAM MACADAMIA NUT (HGD )CUP 100ML.(1*12)/CASE,ICE CREAM MACADAMIA NUT (HGD )CUP 100ML.(1*12)/CASE,Case,,,1004,,,,A,7,,
14050029,ICE CREAM VANILLA(HGD )CUP 100ML.(1*24)/CASE,ICE CREAM VANILLA(HGD )CUP 100ML.(1*24)/CASE,Case,,,1948,,,,A,7,,
14050030,ICE CREAM VANILLA(HGD )CUP 100ML.(1*12)/CASE,ICE CREAM VANILLA(HGD )CUP 100ML.(1*12)/CASE,Case,,,1004,,,,A,7,,
14050031,ICE CREAM STRAWBERRY(HGD )CUP 100ML.(1*24)/CASE,ICE CREAM STRAWBERRY(HGD )CUP 100ML.(1*24)/CASE,Case,,,1948,,,,A,7,,
14050032,ICE CREAM STRAWBERRY(HGD )CUP 100ML.(1*12)/CASE,ICE CREAM STRAWBERRY(HGD )CUP 100ML.(1*12)/CASE,Case,,,1004,,,,A,7,,
14050033,ICE CREAM  COOKIES&CREAM(HGD )CUP 100ML.(1*24)/CASE,ICE CREAM  COOKIES&CREAM(HGD )CUP 100ML.(1*24)/CASE,Case,,,1948,,,,A,7,,
14050034,ICE CREAM CARAMEL BISCUIT & CREAM(HGD )CUP 100ML.(1*24)/CASE,ICE CREAM CARAMEL BISCUIT & CREAM(HGD )CUP 100ML.(1*24)/CASE,Case,,,1948,,,,A,7,,
