SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'11000018,FISH HEAD IS CHOPPED,หัวปลามง(สับ),KG,,,32,,,,N,0,,
'10050003,BALLS FISH SHEET 500G.,ลูกชิ้นปลาแผ่น 500 กรัม,PACK,,,50,,,,N,0,,
'11040005,OYSTER LOCAL,หอยนางรมไทยใหญ่,PCS,,,50,,,,N,0,,
'11040006,SWEET CLAM ( LOCAL ),หอยหวานไทย,KG,,,56,,,,N,0,,
'11000009,TAJONG FISH(HEAD CUT),ปลาตาจง(ตัดหัว),KG,,,58,,,,N,0,,
'11040001,หอยตลับใหญ่,หอยตลับใหญ่,KG,,,60,,,,N,0,,
'11000020,KIM SURE FISH FILLET,เนื้อปลากิมซั่วแล่,KG,,,63,,,,N,0,,
'11040003,MUSSEL,หอยแมลงภู่,KG,,,65,,,,N,0,,
'11000006,PLA TU (HEAD CUT),ปลาทูลัง(ตัดหัว),KG,,,70,,,,N,0,,
'11000027,TUNA FISH ( THAI ) ( HEAD CUT ),ปลาลัง(ตัดหัว),KG,,,70,,,,N,0,,
'11000022,SABA FISH (108009),ปลาซาบะ(108009),KG,,,72,,,,N,0,,
'11000005,PLA DAENG FISH (HEAD CUT),ปลากล้วยแดง(ตัดหัว),KG,,,73,,,,N,0,,
'10050041,LOUK CHIN PLA,ลูกชิ้นปลากลม,PACK,,,74,,,,N,0,,
'10050039,FISH MEAT BALL,ลูกชิ้นปลากลมธรรมดา,KG,,,74,,,,N,0,,
'10050006,CHICKEN MEAT BALL,ลูกชิ้นไก่,KG,,,80,,,,N,0,,
'10050030,CHICKEN 'S TENDON BALLS,ลูกชิ้นเอ็นไก่,KG,,,80,,,,N,0,,
'10050023,KANIKAMAOKO 500G./PACK,ปูอัด 500G./แพ็ค,PACK,,,85,,,,N,0,,
'10050038,FISH BALL - PFP 500G.,ลูกชิ้นปลายี่ห้อ PFP 500ก.,PACK,,,85,,,,N,0,,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,,,96,,,,N,0,,
'11040004,MUSSEL MEAT WITH STEAM,เนื้อหอยแมลงภู่ลวก,KG,,,98,,,,N,0,,
'11000002,CAT FISH FRESH,ปลาดุกตัว,KG,,,100,,,,N,0,,
'10050027,BALL FISH SMALL,ลูกชิ้นปลากลมเล็ก(ลูกชิ้นปลาบัวลอย),KG,,,100,,,,N,0,,
'11020005,FROZEN SQUID ( NOODLE ),หมึกกรอบแช่(สำหรับทำเย็นตาโฟ),KG,,,104,,,,N,0,,
'11000011,ปลามงตัวสับ(เฉพาะเนื้อ),ปลามงตัวสับ(เฉพาะเนื้อ),KG,,,109,,,,N,0,,
'11000012,SEA BASS 700-800G.,ปลากระพงขาว 700-800 ก.,KG,,,117,,,,N,0,,
'11000024,SEA BASS SIZE 700-800G.(803572),ปลากระพงขาวแบบทำ 700-800ก.(803572),KG,,,128,,,,N,0,,
'11000025,TAMA FISH,ปลาตะมะ(สับรวมหัว),KG,,,135,,,,N,0,,
'11040007,UNDULATED SURF CLAM MEAT,เนื้อหอยลาย,KG,,,140,,,,N,0,,
'11000008,SEA BASS CUT,ปลากระพงขาว(หั่นรวมหัว),KG,,,145,,,,N,0,,
'11040008,เนื้อหอยแครงลวก,เนื้อหอยแครงลวก,KG,,,149,,,,N,0,,
'11000021,MANGROVE SNAPPER FILLET,เนื้อปลากระพงแสม,KG,,,154,,,,N,0,,
'11000017,FISH EGG,ไข่ปลา,KG,,,155,,,,N,0,,
'11000007,ROASTED FISH,ปลาย่าง,KG,,,158,,,,N,0,,
'11000026,Tama Fish Cut  No Head,ปลาตะมะ(หั่นไม่หัว),KG,,,160,,,,N,0,,
