SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'26010040,JUICE CONCENTRATED-PASSION FRUIT SQUASH 750 ML.,น้ำผลไม้เข้มข้น-เสาวรสสควอซ 750มล.,Btl,,,230,,,,A,7,,
'26010041,JUICE CONCENTRATED-KIWI SQUASH 750 ML.,น้ำผลไม้เข้มข้น-กวีสควอช 750มล.,Btl,,,230,,,,A,7,,
'26010042,JUICE CONCENTRATED-APPLE SQUASH 750 ML.,น้ำผลไม้เข้มข้น-แอปเปิ้ลสควอซ 750มล.,Btl,,,230,,,,A,7,,
'26010043,JUICE CONCENTRATED-TAMARIND SQUASH 750 ML.,น้ำผลไม้เข้มข้น-มะขามสควอซ 750มล.,Btl,,,230,,,,A,7,,
'26010044,JUICE CONCENTRATED-YUZU ORANG SQUASH 750 ML.,น้ำผลไม้เข้มข้น-ส้มยูสุสควอซ 750มล.,Btl,,,280,,,,A,7,,
'26010064,JUICE CONCENTRATED-BLUE LYCHEE SQUASH 750 ML.,น้ำผลไม้เข้มข้น-บลูลิ้นจี่สควอซ 750มล.,Btl,,,230,,,,A,7,,
'26010065,JUICE CONCENTRATED-LEMON&LIME SQUASH 750 ML.,น้ำผลไม้เข้มข้น-เลมอนสควอซ 750มล.,Btl,,,230,,,,A,7,,
'26010066,JUICE CONCENTRATED-PEACH SQUASH 750 ML.,น้ำผลไม้เข้มข้น-พีชสควอซ 750มล.,Btl,,,230,,,,A,7,,
'26010067,JUICE CONCENTRATED-MIXED BERRY SQUASH 750 ML.,น้ำผลไม้เข้มข้น-มิกซ์เบอรี่สควอซ 750มล.,Btl,,,230,,,,A,7,,
'26010073,JUICE CONCENTRATED-MANGO SQUASH 750 ML.,น้ำผลไม้เข้มข้น-มะม่วงสควอช 750 มล.,Btl,,,230,,,,A,7,,
'26010079,JUICE CONCENTRATED-STRAWBERRY SQUASH 750 ML.,น้ำผลไม้เข้มข้น-สตอเบอรี่สควอซ 750 มล.,Btl,,,230,,,,A,7,,
'26010045,SYRUP CONCENTRATED-ROSE 750 ML.,ไซรัปเข้มข้น-กลิ่นกุหลาบ 750มล.,Btl,,,180,,,,A,7,,
'26010061,SYRUP CONCENTRATED-COCONUT 750ML.,ไซรัปเข้มข้น-มะพร้าว 750มล.,Btl,,,180,,,,A,7,,
'26010062,SYRUP CONCENTRATED-LYCHEE 750ML.,ไซรัปเข้มข้น-ลิ้นจี่ 750มล.,Btl,,,160,,,,A,7,,
'26010087,SYRUP CONCENTRATED-STRAWBERRY 750 ML.,ไซรัปเข้มข้น-สตอรเบอรี่ 750 มล.,Btl,,,160,,,,A,7,,
