A,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'32000002,DEE SCALE 3.75 L.,น้ำยาขจัดคราบตะกรัน 3.75 ลิตร,GAL,,,510,,,,A,7,,
'32000003,DEE-SS-POLISHER 3.75L,น้ำยาเคลือบเงาสแตนเลส 3.75 ลิตร,GAL,,,650,,,,A,7,,
'32000010,OVEN & HOT PLATE ( 3 x 5 L.),น้ำยาขจัดคราบไหม้เกรียมไขมันเตาทอด (3 x 5 ลิตร),CASE,,,1500,,,,A,7,,
'32000011,RINSE DRY 20L.,ผลิตภัณฑ์ที่ช่วยในการเคลือบแห้ง 20 ลิตร,TANK,,,2300,,,,A,7,,
'32000012,RINSE DRY 5L.,น้ำยาเคลือบแห้งภาชนะ(รินท์ ดราย) 5 ลิตร,GAL,,,950,,,,A,7,,
'32000029,CHLOR-DET  20 L.,น้ำยาล้างจานด้วยเครื่อง(คลอร์เดท) 20 ลิตร,TANK,,,1400,,,,A,7,,
'32000030,LIME LIQUID 20L.,น้ำยาทำความสะอาดภาชนะด้วยมือ 20 ลิตร,TANK,,,520,,,,A,7,,
'32000031,MULTI -DC 3.75L.,น้ำยาทำความสะอาดครบไขมันและฆ่าเชื้อ 3.75 ลิตร,GAL,,,480,,,,A,7,,
'32000063,CLEAR GLASS WASH 3*5L./CASE,น้ำยาล้างแก้วด้วยเครื่อง 3*5L./ลัง,CASE,,,1400,,,,A,7,,
'32000069,ELEGANCE 3.75 LT,น้ำยาทำความสะอาดพื้นฆ่าเชื้อ 3.75 ลิตร,GAL,,,350,,,,A,7,,
'32000083,MULTI-DC 20L.,น้ำยาทำความสะอาดฆ่าเชื้อ(ไขมัน น้ำมัน สแตนเลส)20L.,TANK,,,1600,,,,A,7,,
'32000086,PINEFRESH 1*20L.,น้ำยาทำความสะอาดฆ่าเชื้อดับกลิ่น 20ล.,TANK,,,950,,,,A,7,,
