SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'13000003,HERB CONCENTRATE BUTTER PEA AND JASMIN 2L.,น้ำอัญชันมะลิเข้มข้น 2 ลิตร,BTL,,,210,,,,A,7,,
'13000004,HERB CONCENTRATE BUTTERFLY PEA 2L.,น้ำอัญชันเข้มข้น 2 ลิตร,BTL,,,210,,,,A,7,,
'13000005,HERB CONCENTRATE CHRYSANTHEMUM 2L.,น้ำเก็กฮวยเข้มข้น 2 ลิตร,BTL,,,210,,,,A,7,,
'13000006,HERB CONCENTRATE ROSELLE 2L.,น้ำกระเจี๊ยบเข้มข้น 2 ลิตร,BTL,,,210,,,,A,7,,
'13000007,JUICE FRESH APPLE 5L.,น้ำผลไม้สด-แอปเปิ้ลสด 5 ลิตร,BTL,,,135,,,,A,7,,
'13000008,JUICE FRESH ORANGE (TANGERINE) 5L.,น้ำผลไม้สด-ส้มเขียวหวาน  5 ลิตร,BTL,,,135,,,,A,7,,
'13000009,JUICE FRESH PINEAPPLE 5L.,น้ำผลไม้สด-สับปะรด 5 ลิตร,BTL,,,135,,,,A,7,,
'13000015,JUICE LIME 100% 1L.,น้ำมะนาว100% 1 ลิตร,BTL,,,125,,,,A,7,,
'13000016,JUICE CONCENTRATE APPLE 2L.,น้ำผลไม้เข้มข้น-แอปเปิ้ล 2 ลิตร,BTL,,,210,,,,A,7,,
'13000017,JUICE CONCENTRATE BUTTERFLY PEA WITH COCONUT 2L.,น้ำผลไม้เข้มข้น-มะพร้าวอัญชัน 2 ลิตร,BTL,,,210,,,,A,7,,
'13000018,JUICE CONCENTRATE BUTTERFLY PEA WITH HONEY LEMON 2L.,น้ำผลไม้เข้มข้น-น้ำผึ้งมะนาวอัญชัน 2 ลิตร,BTL,,,210,,,,A,7,,
'13000019,JUICE CONCENTRATE GUAVA 2L.,น้ำผลไม้เข้มข้น-ฝรั่ง 2 ลิตร,BTL,,,210,,,,A,7,,
'13000020,HERB CONCENTRATE LEMON GRASS 2L.,น้ำสมุนไพรเข้มข้น-ตะไคร้สกัด 2 ลิตร,BTL,,,210,,,,A,7,,
'13000021,JUICE CONCENTRATE ORANGE TANGERINE 2L.,น้ำผลไม้เข้มข้น-ส้ม 2 ลิตร,BTL,,,210,,,,A,7,,
'13000022,JUICE FRESH GRAPE 5L.,น้ำผลไม้สด-องุ่น 5 ลิตร,GAL,,,140,,,,A,7,,
'13000023,JUICE FRESH GUAVA 5L.,น้ำผลไม้สด-ฝรั่ง 5 ลิตร,GAL,,,135,,,,A,7,,
'13000024,JUICE FRESH LYCHEE JUICE 5L.,น้ำผลไม้สด-ลิ้นจี่ 5 ลิตร,GAL,,,140,,,,A,7,,
'13000025,JUICE FRESH ORANGE #2 5L.,น้ำผลไม้สด-ส้มสายน้ำผึ้ง(#2) 5 ลิตร,GAL,,,250,,,,A,7,,
'13000026,JUICE FRESH ORANGE(VALENCIA) 5L.,น้ำผลไม้สด-ส้มวาเลนเซีย 5 ลิตร,GAL,,,135,,,,A,7,,
'13000027,HERB FRESH ROSELLE 5L.,น้ำสมุนไพรสด-กระเจี๊ยบ 5 ลิตร,GAL,,,140,,,,A,7,,
'13000028,JUICE  FRESH MANGO 5L.,น้ำผลไม้สด-มะม่วง 5 ลิตร,GAL,,,155,,,,A,7,,
12000046,"JUICE CONCENTRATE PINEAPPLE 2L.
BTL",น้ำผลไม้เข้มข้น-สับปะรด 2 ลิตร,BTL,,,210,,,,A,7,,
