SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'15090023,SALT SACKED SAVEPAK 1KG.(818661),เกลือทะเลแท้ 100% (ชนิดเม็ด)ตราเซพแพ็ค 1 กก.(818661),BAG,,,9.82,,,,A,7,,
'15050026,แป้งกวนไส้ ตราดาว 500 กรัม. (847900),แป้งกวนไส้ ตราดาว 500ก.(847900),BAG,,,34.35,,,,A,7,,
'15090010,น้ำเชื่อมเข้มข้น ยี่ห้อมิตรผล 800ก.1*3/(231001),น้ำเชื่อมเข้มข้น ยี่ห้อมิตรผล 800ก.1*3/(231001),BAG,,,36.31,,,,A,7,,
'15090063,SUGAR ICING 800G.M BAKEHOUSE(184755),น้ำตาลไอซ์ซิ่ง 800ก.ตราเอ็มเบคเฮ้าส์(184755),BAG,,,36.31,,,,A,7,,
'15090062,SUGAR ICING 900G.MITRPHOL(233461),น้ำตาลไอซ์ซิ่ง 900ก.ตรามิตรผล(233461),BAG,,,37.29,,,,A,7,,
'15090018,SUGAR ICING 900G.LIN(202995),น้ำตาลไอซ์ซิ่ง 900ก.ตราลิน(202995),BAG,,,38.27,,,,A,7,,
'14030008,FILLING STRAWBERRY BESTFOOD 900G. (1x9)/(183443),ฟิลลิ่งสตรอเบอร์รี่เบสท์ฟู้ด 900ก.(1x9)(183443),BAG,,,42.20,,,,A,7,,
'14030006,FILLING BLUEBERRY BESTFOOD 900G.(1x9)/(183452),ฟิลลิ่งบลูเบอรี่เบสท์ฟู๊ดส์ 900ก.(1x9)/(183452),BAG,,,43.18,,,,A,7,,
'14030007,FILLING ORANGE BESTFOOD 900G. (1*9)/(195761),ฟิลลิ่งส้มเบสท์ฟู๊ดส์ 900ก.(1*9)(195761),BAG,,,43.18,,,,A,7,,
'15050029,แป้งทอดกรอบ ยี่ห้อยูเอฟเอ็ม 1กก.(161927),แป้งทอดกรอบ ยี่ห้อยูเอฟเอ็ม 1กก.(161927),BAG,,,46.13,,,,A,7,,
'15050030,แป้งมันฮ่องกง 400ก.ตราใบหยก(173147),แป้งมันฮ่องกง 400ก.ตราใบหยก(173147),BAG,,,49.07,,,,A,7,,
'15010041,PAPAD LIJJAT 200G.(157371),แผ่นแป้งปาปาดัมลิจัท 200ก.(157371),BAG,,,53.97,,,,A,7,,
'15130074,ผงปรุงรสไก่ 400ก.ตรารสดี(106250),ผงปรุงรสไก่ 400ก.ตรารสดี(106250),BAG,,,54.96,,,,A,7,,
'15050008,แป้งทอดกรอบ ยี่ห้อคนอร์ 500ก.1*6/ลัง(121579),แป้งทอดกรอบ ยี่ห้อคนอร์ 500ก.1*6/ลัง(121579),BAG,,,56.92,,,,A,7,,
'16010043,"FROZEN ROLL PASTRY SPRING HOME 5"" (1x50)/(37414)","แผ่นปอเปี๊ยะแช่แข็ง สปริงโฮม 5""(1x50)/(37414)",BAG,,,57.90,,,,A,7,,
'15060001,MASALA POWDER KITCHEN KING MDH 100G.(157074),มาซาลาผง-ไก่เอ็มดีเอช 100ก.(157074),BAG,,,60.84,,,,A,7,,
'15050001,FLOUR CORN KNORR 700G.(15002),แป้งข้าวโพด คนอร์ 700ก.(15002),BAG,,,68.69,,,,A,7,,
'15030002,PASTA-SPAGHETTI AGNESI NO.02 500G.(142242),พาสต้า-เส้นสปาเก็ตตี้ #2 แอคเนซี่ 500ก.(142242),BAG,,,69.68,,,,A,7,,
'15040001,BEAN VERMICHILI 500G. (742222),วุ้นเส้นตราต้นไผ่ 500ก.(742222),BAG,,,71.63,,,,A,7,,
'15030005,PASTA-FARFALE AGNESI NO.61 500G.(756054),พาสต้า-ฟาร์ฟาเลย์ #61 /500ก.ยี่ห้อแอคนีซี(756054),BAG,,,72.62,,,,A,7,,
'15010197,GINKGO IN SYRUP JINGJAI 500G.(225112),แปะก๊วยในน้ำเชื่อม ยี่ห้อจริงใจ 500ก.(225112),BAG,,,76.55,,,,A,7,,
'15010027,GINKGO IN SYRUP ARO 500 G. (213881),แปะก๊วยในน้ำเชื่อมเอโร่ 500ก.(213881),BAG,,,77.52,,,,A,7,,
'15030013,PASTA-ELICHE TRICOLOR AGNESI NO.656 500G./BAG(609453),พาสต้า-เอลิเกไตรคัลเลอร์#656 ยี่ห้อแอคนีซี 500ก./ถุง(609453),BAG,,,77.52,,,,A,7,,
'15130004,CHICKEN BROTH  KNORR AROY SURE 800 G 1*10 (844335),ผงปรุงรสไก่ คนอร์อร่อยชัวร์ 800ก.1*10/(844335),BAG,,,77.52,,,,A,7,,
'15130028,LEMON POWDER 400G.(201908),ผงมะนาว คนอร์ 400ก.(201908),BAG,,,77.52,,,,A,7,,
'15010218,ถั่วแดงอะซึกิญี่ปุ่นกวน 500ก.ตราอะซึกิ(237005),ถั่วแดงอะซึกิญี่ปุ่นกวน 500ก.ตราอะซึกิ(237005),BAG,,,78.51,,,,A,7,,
'14010021,TOPPING BLUEBERRY ARO 1.2 KG. (126098),ท็อปปิ้งรสบลูเบอรี่เอโร่ 1.2กก.(126098),BAG,,,80.47,,,,A,7,,
'14010022,TOPPING STRAWBERRY SAUCE ARO 1.2 KG.(165217),ท็อปปิ้งรสสตรอเบอรี่เอโร่ 1.2กก.(165217),BAG,,,80.47,,,,A,7,,
'14030002,TOPPING CHOCOLATE SAUCE ARO 1.2 KG (165215),ท็อปปิ้งรสช็อคโกแลตเอโร่ 1.2กก.(165215),BAG,,,80.47,,,,A,7,,
'10050056,ไส้กรอกแดง ยี่ห้อแหลมทอง 1 กก.(894581),ไส้กรอกแดง ยี่ห้อแหลมทอง 1 กก.(894581),BAG,,,83.41,,,,A,7,,
'15130075,ผงปรุงรส รสเห็ดหอม 800ก.ตราฟ้าไทย(214796),ผงปรุงรส รสเห็ดหอม 800ก.ตราฟ้าไทย(214796),BAG,,,84.39,,,,A,7,,
'15030007,PASTA-FUSILLI TRICOLOR LA MOLISANA 309 500G.(194820),พาสต้า-ฟูซิลี่ตริคัลเลอร์ลาโมลิซาน่า#309 500ก.(194820),BAG,,,85.38,,,,A,7,,
'15090043,น้ำตาลทรายแดง 500ก.(230457) ยี่ห้อมิตรผล1*4/แพ็ค,น้ำตาลทรายแดง 500ก.(230457) ยี่ห้อมิตรผล1*4/แพ็ค,PACK,,,85.38,,,,A,7,,
'14010006,MUSTARD ARO 1 KG. (140500),มัสตาร์ดเอโร่ 1 กก.(140500),BAG,,,86.35,,,,A,7,,
'15010072,FRIED GARLIC 0.5KG.(121730),กระเทียมเจียว 0.5 กก.ยี่ห้อ คุณชาย(121730),BAG,,,86.35,,,,A,7,,
'15130036,CHICKEN BROTH FLAVORED ROD-D 800G.(100113),ผงปรุงอาหารรสไก่ รสดี  800ก.(100113),BAG,,,92.24,,,,A,7,,
'15010121,ITO KATSUO KEZURI MK 50G.(825782),ปลาโอท้องแถบอบแห้งเส้นเอ็มเค 50ก.(825782),BAG,,,93.23,,,,A,7,,
'10050060,ลูกชิ้นปลาสไตล์ภูเก็ต 480ก.ตราฟิชจอย(832617),ลูกชิ้นปลาสไตล์ภูเก็ต 480ก.ตราฟิชจอย(832617),BAG,,,97.15,,,,A,7,,
'15130066,TURMERIC POWDER SAHIBA 500G.(102550),ผงขมิ้น-500G.SAHIBA (102550),BAG,,,106.96,,,,A,7,,
'10050010,FISH BALL ARO 800G.(100920),ลูกชิ้นปลากลมขนาดใหญ่เอโร่ 800ก.(100920),BAG,,,116.78,,,,A,7,,
'15010159,SEEDS SUNFLOWER ROASTED HERITAGE 500G.(228875),เมล็ดทานตะวันอบเฮอริเทจ 500ก.(228875),BAG,,,119.72,,,,A,7,,
'15030010,PASTA- TAGLIATELLE MEZZANE AGNESI 500G.(110457),พาสต้า-ตักเลียตะเล่เมสะเน่ แอคเนซี่ 500ก.(110457),BAG,,,119.72,,,,A,7,,
'15080014,BAKING POWDER BEST FOOD 1KG.(204345),ผงฟู เบสท์ฟูดส์ 1 กก.1*18/ลัง(204345),BAG,,,122.66,,,,A,7,,
'15010165,TRUFFLE FROZEN ARO 1 KG. (842057),แห้วแช่แข็งเอโร่ 1 กก.(842057),BAG,,,126.59,,,,A,7,,
