SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'15090008,SALT PHUNG TIP  0.5KG.(1x6)/(106960),เกลือปรุงทิพย์  0.5 กก.(1x6)/(106960),BAG,,,6.5,,,,A,7,,,,,,,
'15090009,SALT PHUNG TIP 1KG.(1x24)/(106971),เกลือปรุงทิพย์ 1 กก.(1x24)/(106971),KG,,,13,,,,A,7,,,,,,,
'15010008,BREAD CRUMBS LOBO 200G.(1x3)/(163223),เกล็ดขนมปังป่นปรุงรสโลโบ 200ก.(1x3)/(163223),BAG,,,25,,,,A,7,,,,,,,
'14000021,CREAMER SWEETENED BEVERAGE 388 G.(1x3)/(24700),ครีมเทียมข้นหวานคาร์เนชัน 388ก.(1x3)/(24700),CAN,,,25,,,,A,7,,,,,,,
'14000009,SWEETENED CREAMER CARNATION 388G.(1x6)/(24700),ครีมเทียมข้นหวานคาร์เนชัน 388ก.(1x6)/(24700),CAN,,,25,,,,A,7,,,,,,,
'15120059,TOMATO SAUCE HEINZ  300 G. (1x3) (853136),ซอสมะเขือเทศ ไฮน์ 300ก.(1x3)/(853136),GAL,,,25,,,,A,7,,,,,,,
'14000001,COOKING AND BAKERIES CARNATION 385ก.(1x3)/(24388),นมข้นจืดสำหรับทำอาหารคาร์เนชั่น 385ก.(1x3)/(24388),CAN,,,25,,,,A,7,,,,,,,
'14000023,นมจืดเอกตร้าคาร์เนชั่น 385ก.,นมจืดเอกตร้าคาร์เนชั่น 385ก.,CAN,,,25,,,,A,7,,,,,,,
'15120005,COCONUT CREAM AROY-D 250ML.(1x6)/(147234),น้ำกะทิ อร่อยดี 250 มล./(147234),BOX,,,25,,,,A,7,,,,,,,
'15120009,MAGGI SAUCE 200ML.(1x6)/(108102),ซอสปรุงเหยาะจิ้ม แม็กกี้ 200มล.(1x6)/(108102),BTL,,,31,,,,A,7,,,,,,,
'15120019,SOUR SAUCE DEER HEAD 600ML.(1x3)/840159,ซอสเปรี้ยวหัวกวาง 600 มล.(1x3)/(840159),BTL,,,33,,,,A,7,,,,,,,
'15120032,BLACK SOYA SAUCE NO.5 940CC.(1x3)/(147395),ซีอิ๋วดำ#5เด็กสมบูรณ์ 940มล.(1x3)/(147395),BTL,,,35,,,,A,7,,,,,,,
'15090011,SUGAR WHITE  1KG.,น้ำตาลทรายขาว 1 กก.,KG,,,35,,,,A,7,,,,,,,
'15090007,SUGAR PURE REFINED MITR PHOL 1 KG. (1x5) (230449),น้ำตาลทรายขาวบริสุทธิ์ มิตรผล 1 กก.(1x5)/(230449),KG,,,35,,,,A,7,,,,,,,
'15120051,SAUCE SOY LIGHT NGUAN CHIANG 700CC. (1x3)/(276458),ซีอิ๊วขาว ตราง่วนเชียง 700มล.(1x3)(276458),BTL,,,37,,,,A,7,,,,,,,
'15090005,NATURAL SUGAR MITR PHOL 1KG. (1x5)/(900501),น้ำตาลอ้อยธรรมชาติ(แดง)มิตรผล 1 กก.(1x5)/(900501),KG,,,38,,,,A,7,,,,,,,
'15120027,SOYBEAN SAUCE 800G.(1x3)/(147573),เต้าเจี้ยว เด็กสมบูรณ์ 800ก.(1x3)/(147573),BTL,,,39,,,,A,7,,,,,,,
15090010,น้ำเชื่อมเข้มข้น ยี่ห้อมิตรผล 800ก.1*3/(231001),น้ำเชื่อมเข้มข้น ยี่ห้อมิตรผล 800ก.1*3/(231001),BAG,0,0,39,,,,A,7,,,,,,,
'15050003,FLOUR RICE ERAWAN 1KG.(183877),แป้งข้าวเจ้า ช้างสามเศียร 1 กก.(183877),KG,,,40,,,,A,7,,,,,,,
'15050022,FLOUR STICKY RICE 1KG.,แป้งข้าวเหนียว ช้างสามเศียร 1 กก.,KG,,,40,,,,A,7,,,,,,,
'15050027,แป้งข้าวโพด ซุปเปอร์ไฟน์ 1 กก.,แป้งข้าวโพดซุปเปอร์ไฟน์ 1 กก.,KG,,,40,,,,A,7,,,,,,,
'15050028,แป้งมันสำปะหลัง ตราเจดีย์ 1 กก.,แป้งมันสำปะหลัง ตราเจดีย์ 1 กก.,KG,,,40,,,,A,7,,,,,,,
'15050002,FLOUR KITE 1KG.( 1x10 )/(184647),แป้งสาลี ตราว่าว 1 กก.( 1x10 )/(184647),KG,,,40,,,,A,7,,,,,,,
'15090018,ICING SUGAR LIN 900 G. (202995),น้ำตาลไอซ์ซิ่งลิน 900ก.(202995),BAG,,,40,,,,A,7,,,,,,,
'15010080,TUNA STEAK IN OIL NAUTILUS 170G.,เนื้อทูน่าสเต็กในน้ำมันถั่วเหลืองนอติลุส 170ก.,CAN,,,42,,,,A,7,,,,,,,
'15050015,FLOUR GOGI POWDER 500G. (1x3)/(101079),แป้งโกกิ 500ก.(1x3)/(101079),BAG,,,45,,,,A,7,,,,,,,
'15120040,CHILLI SAUCE SRIRACHA 570 G. (1x3) (93548),ซอสพริกศรีราชาพาณิชย์ 570ก.(1x3)/(93548),BTL,,,45,,,,A,7,,,,,,,
'15050024,FLOUR WHEAT UFM RED LOTUS 1 KG. (1x10) (184651),แป้งเค้ก ตราบัวแดง 1 กก.(1x10)/(184651),KG,,,47,,,,A,7,,,,,,,
'15120055,SOYBEAN SAUCE #1 HEALTHY BOY 700ML.(1x3)/(146465),ซีอิ๊วขาว#สูตร1 เด็กสมบูรณ์ 700มล.(1x3)/(146465),BTL,,,48.75,,,,A,7,,,,,,,
'15050026,แป้งกวนไส้ ตราดาว 500 กรัม. (847900),แป้งกวนไส้ ตราดาว 500ก.(847900),BAG,,,50,,,,A,7,,,,,,,
'15090001,BROWN SUGAR GROUND (เฉาก๊วย) 1KG.,น้ำตาลทรายแดงละเอียดมิตรผล(เฉาก๊วย) 1 กก.,BAG,,,50,,,,A,7,,,,,,,
'15070020,CEREAL RICE KRISPIES KELLOGG'S 130G.,ซีเรียล-ไรซ์คริสปีส์เคลล็อกส์ 130ก.,BOX,,,51.41,,,,A,7,,,,,,,
'15050008,BATTER MIX KNORR 500G.(121579),แป้งทอดกรอบ คนอร์ 500ก.(121579),BAG,,,55,,,,A,7,,,,,,,
'15090024,SUGAR BROWN BAKERY MITRPHOL 1KG.(827160),น้ำตาลทรายแดงสำหรับเบเกอรี มิตรผล 1 ก. (827160),KG,,,55,,,,A,7,,,,,,,
'13000012,JUICE PINEAPPLE CHABAA 1L.,น้ำผลไม้-สับปะรดชบา 1 ลิตร,BOX,,,55,,,,A,7,,,,,,,
'15120039,BLACK SOYA SAUCE 700CC.(1x3)/(394251),ซีอิ๊วหวานง่วนเชียง 700ซีซี.(1x3)/(394251),BTL,,,58,,,,A,7,,,,,,,
'15120041,COCONUT CREAM CHAOKOH 1L.(1x2)/(164898),น้ำกะทิชาวเกาะ 1ล.(1x2)/(164898),BOX,,,58,,,,A,7,,,,,,,
'15040001,BEAN VERMICHILI 500G. (742222),วุ้นเส้นตราต้นไผ่ 500ก.(742222),BAG,,,60,,,,A,7,,,,,,,
26010078,SYRUP CONCENTRATED-HULBLUEBOY SA-LA 710 ML.1*12/80899,ไซรับเข้มข้น-กลิ่นสละสีแดง ตราเฮลซ์บลูบอย 710 มล.,Btl,,,62,,,,A,7,,,,,,,
'15120004,COCONUT CREAM A-ROI-DEE 1L.(1x2)/(171607),น้ำกะทิ อร่อยดี 1ล.(1x2)/(171607),BOX,,,62,,,,A,7,,,,,,,
26010088,SYRUP CONCENTRATED-CREAM SODA HELBLUEBOY 710 ML.1*12/79365,น้ำหวานเข้มข้น-กลิ่นครีมโซดา ตราเฮลซ์บลูบอย 710 มล.1*12/79365,Btl,,,62,,,,A,7,,,,,,,
'26010035,SYRUP CONCENTRATED-CREAM SODA HELBLUEBOY 710 ML.,น้ำหวานเข้มข้น-กลิ่นครีมโซดาเฮลซ์บลูบอย 710มล.,BTL,,,62,,,,A,7,,,,,,,
'13000002,JUICE APPLE TIPCO 1L.(1x3)/(438113),น้ำผลไม้-แอปเปิ้ลทิปโก้ 1 ลิตร(1x3)/(438113),BOX,,,65,,,,A,7,,,,,,,
'13000001,JUICE APPLE MALEE 1L.(1x3)/(757822),น้ำผลไม้-แอปเปิ้ลมาลี 1 ลิตร(1x3)/(757822),BOX,,,65,,,,A,7,,,,,,,
'13000014,JUICE  PINEAPPLE TIPCO 970ML.(1x3)/(438100),น้ำผลไม้-น้ำสับปะรดทิปโก้ 970 มล.(1x3)/(438100),BOX,,,65,,,,A,7,,,,,,,
'26010004,JUICE GUAVA MALEE 1L.,น้ำผลไม้-ฝรั่งมาลี 1 ลิตร,BOX,,,65,,,,A,7,,,,,,,
'13000011,JUICE MANGO MALEE 1L.,น้ำผลไม้-มะม่วงผสมผลไม้รวมมาลี 1 ลิตร,BOX,,,65,,,,A,7,,,,,,,
26010074,JUICE ORANGE MALEE 1L.1*3(693134),น้ำผลไม้-ส้มเขียวหวาน ตรามาลี 1 ลิตร1*3(693134),Box,0,0,65,,,,A,7,,,,,,,
'13000013,JUICE PINEAPPLE MALEE 1L.(757848),น้ำผลไม้-สับประรดมาลี 1 ลิตร(757848),BOX,,,65,,,,A,7,,,,,,,
'13000032,JUICE PINEAPPLE MALEE 1L,น้ำผลไม้-สับปะรดมาลี 1 ลิตร,BTL,,,65,,,,A,7,,,,,,,
'26010010,TOMATO JUICE DOI KHAM 1 L. (212782),น้ำมะเขือเทศดอยคำ 1 ลิตร(212782),BOX,,,67,,,,A,7,,,,,,,
'13000010,JUICE MANGO DOI-KHAM 1L.(830205),น้ำมะม่วงดอยคำ 1 ลิตร(830205),BOX,,,67,,,,A,7,,,,,,,
'15000020,GREEN TEA NUMBER ONE 200G.(155848),ชาเขียวนมสีเขียวตรามือ 200ก.(155848),BAG,,,70,,,,A,7,,,,,,,
'15000028,TEA POWDER LOCAL 400 G. (155655),ชาตรามือฉลากแดง 400ก.(155655),BAG,,,70,,,,A,7,,,,,,,
'15050001,FLOUR CORN KNORR 700G.(15002),แป้งข้าวโพด คนอร์ 700ก.(15002),BAG,,,72,,,,A,7,,,,,,,
15090004,MAPLE SYRUP IMPERIAL 730G.(156302) ,น้ำเชื่อมเมเบิ้ล อิมพีเรียล 730มล.(156302),BTL,0,0,72,,,,A,7,,,,,,,
'15050025,FLOUR WHOLE WHEAT IMPERIAL 1KG.(156559),แป้งสาลีโฮลวีทแบบหยาบ อิมพิเรียล 1 กก.(156559),BAG,,,75,,,,A,7,,,,,,,
'15080010,POWDER PEARL AA MERMAID 50G.(1x2)/(859017),ผงวุ้นซองสีเขียว ตรานางเงือก 50ก.(1x2)/(859017),PCS,,,75,,,,A,7,,,,,,,
'15120038,GOLDEN LABEL DISTILLED VINEGAR 5% 4500ML.,น้ำส้มสายชู ฉลากทอง 4500มล.,GAL,,,76,,,,A,7,,,,,,,
'15120037,VINEGAR WHITE DISTILLED 5L.(117817),น้ำส้มสายชูภูเขาทอง 5 ลิตร(117817),GAL,,,80,,,,A,7,,,,,,,
'15090017,HONEY SYRUP IMPERIAL 670ML.(119562),น้ำเชื่อมรสน้ำผึ้ง อิมพีเรียล 670มล.(119562),BTL,,,83,,,,A,7,,,,,,,
'15010052,SEOSONING OIL MAEPRANOM 750ML.,น้ำมันน้ำพริกเผาตราแม่ประนอม 750 มล.,BTL,,,83,,,,A,7,,,,,,,
'15130073,พริกป่นแดง 1 กก. (169229),พริกป่นแดง 500 ก.(169229),BAG,,,85,,,,N,0,,,,,,,
'15030001,PASTA-PENNE RIGATE AGNESI NO.19 500G.(142246),พาสต้า-เพนเน่ริกาเต้แอคเนซี่ NO.19 500ก.(142246),BAG,,,85,,,,A,7,,,,,,,
'15030002,PASTA-SPAGHETTI AGNESI NO.02 500G.(142242),พาสต้า-เส้นสปาเก็ตตี้ #3 แอคเนซี่ 500ก.(142242),BAG,,,85,,,,A,7,,,,,,,
'15030003,PASTA-CHIFFERI RIGATI AGNESI 500G.(756093),พาสต้า-ซิฟฟารีรีกาติแอคเนซี 500ก.(756093),BAG,,,85,,,,A,7,,,,,,,
15030010,PASTA- TAGLIATELLE MEZZANE AGNESI 500G.(110457),พาสต้า-ตักเลียตะเล่เมสะเน่ แอคเนซี่ 500ก.(110457),BAG,,,85,,,,A,7,,,,,,,
'15030005,PASTA-FARFALE AGNESI NO.61 500G.(756054),พาสต้า-ฟาร์ฟาเลย์ #61 /500ก.(756054),BAG,,,85,,,,A,7,,,,,,,
15030009,PASTA-FUSILLI LA AGNESI NO.78 500G./BAG,พาสต้า-ฟูชิลลี่ ยี้ห้อแอคนีซี 500ก./ถุง,BAG,0,0,85,THB,0,0,A,7,,,,,,,
15030011,PASTA-RIGATONI NO.49 AGNESI 500G.,พาสต้า-ริกาโตนี#49 แอคเนซี่ 500ก.,BAG,0,0,85,,,,A,7,,,,,,,
'15120050,SAUCE LEA&PERRINS 150 ML. (1x2)(226185),ซอสเปรี้ยวลีแอนด์เพอร์รินส์ 150มล.(1x2)/(226185),BTL,,,102,,,,A,7,,,,,,,
'14010024,BUTTER WHITE OPCREAM 1 KG.(177832),เนยขาวโอลิมปิคครีมโอพีครีม 1 กก.(177832),BAG,,,105,,,,A,7,,,,,,,
'15000006,COFFEE MATE SIZE 3G.(1*100)/(899868),คอฟฟี่เมต 3ก.1*100/ถุง,BAG,,,105,,,,A,7,,,,,,,
'15130031,CURRY PEWDER  200 G.(184165),ผงกะหรี่ปืนไขว้ 200ก.(184165),BTL,,,105,,,,A,7,,,,,,,
'15080067,YEAST DRIED INSTANT BRUGGEMAN BROWN 500G.(125585),ยีสต์รสหวานบรักกี้มานสีน้ำตาล 500ก.(125585),BOX,,,105,,,,A,7,,,,,,,
'15040009,WAI WAI NOODLE DRIED 180G.(1x12)/(990899),เส้นหมี่อบแห้งไวไว 180ก.(1x12)/(990899),BAG,,,115,,,,A,7,,,,,,,
'15070015,CEREAL KOKO POP KELLOGGS SIZE 350/400G.(197654),ซีเรียล-โกโก้ป๊อปเคลล็อกซ์ 350/400ก.(197654),BOX,,,115,,,,A,7,,,,,,,
'15070014,CEREAL KELLOGG 'S FROOT LOOPS 285G.,ซีเรียล-ฟรุตลูปส์เคลล็อกส์  285ก.,BOX,,,115,,,,A,7,,,,,,,
'15090003,SUGAR EQUAL 1G.(1*100),น้ำตาลอีควอน์ 1ก.(1*100),PACK,,,115,,,,A,7,,,,,,,
'14010015,MARGARINE BLUE BAND BEST FOODS 1KG.(866196),มาร์การีน-บลูแบนด์เบสฟู้ดส์ 1 กก.(866196),BAG,,,115,,,,A,7,,,,,,,
'15040008,WAI WAI 500G. (1x3)/(154504),หมี่อบแห้งไวไว 500ก.(1x3)/(154504),BAG,,,115,,,,A,7,,,,,,,
'15080056,MILK MMD8000,หัวนมผง ตราเอ็มเอ็มดี 8000,BAG,,,115,,,,A,7,,,,,,,
'15120029,TAMARIND SAUCE KAORR 1KG.(1x9)/(144146),ซอสมะขามเปียกเข้มข้น คนอร์ 1 กก.(1x9)/(144146),BAG,,,130,,,,A,7,,,,,,,
'15070003,CEREAL HONEY STARS NESTLE 300G.(175854),ซีเรียล-ฮันนี่สตาร์เนสท์เล่ 300ก.(175854),BOX,,,130,,,,A,7,,,,,,,
'15080029,COCOA POWDER TULIP 500 G. (844709),ผงโกโก้สีเข้ม ทิวลิป 500ก.(844709),BAG,,,130,,,,A,7,,,,,,,
'15070007,CEREAL KELLOGG'S ALL BRAN 315G.,ซีเรียล-ออลบรานเคลล็อกส์  315ก.,BOX,,,134,,,,A,7,,,,,,,
13000029,WATER NAMHOM COCONUT ALL COCO 1KG.(813492),น้ำมะพร้าวน้ำหอม 100% ออลโคโค 1 กก.(813492),KG,0,0,135,THB,0,0,A,7,,,,,,,
'15080016,BREAD PROVER KS505 IMPERIAL 1KG.,สารเสริม KS505 อิมพีเรียล 1 กก.,BAG,,,135,,,,A,7,,,,,,,
'15050019,FLOUR POTATO STARCH 1 KG.,แป้งมันฮ่องกง 1 กก.,KG,,,140,,,,A,7,,,,,,,
'14030015,WHIPPING CREAM ELL&VIRE 1L.,WHIPPING CREAM ELL&VIRE 1L. Emborg C ook and Whip  embrog,BOX,,,145,,,,A,7,,,,,,,
'26010001,SYRUP CONCENTRATED-CARAMEL LONGBEAC 740 ML.(810422),ไซรัปเข้มข้น-กลิ่นคาราเมลลองบีช 740มล.(810422),BTL,,,145,,,,A,7,,,,,,,
'26010032,SYRUP CONCENTRATED-LYCHEE LONGBEACH 740ML.(810413),ไซรัปเข้มข้น-กลิ่นลิ้นจี่ลองบีช 740มล.(810413),BTL,,,145,,,,A,7,,,,,,,
'26010011,SYRUP CONCENTRATED-VANILLA LONGBEACH 740 ML.(810423),ไซรัปเข้มข้น-กลิ่นวานิลลาลองบีช 740มล.(810423),BTL,,,145,,,,A,7,,,,,,,
'15010177,กระเทียมดองแม่จินต์ 1800ก.(154533),กระเทียมดองแม่จินต์ 1800ก.(154533),BTL,,,145,,,,N,0,,,,,,,
'15110008,น้ำมันงาตราโกลเต้นพอท 640 มล.,น้ำมันงา โกลเต้นพอท 640มล.,BTL,,,145,,,,A,7,,,,,,,
