SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'FD100053,BEEF BONE LOCAL,กระดูกวัว,KG,,,65,,,,N,0,,
'FD100004,BEEF BONE CUT,กระดูกวัวตัด,KG,,,65,,,,N,0,,
'FD100072,HOG'S MAW,กระเพาะหมู,KG,,,250,,,,N,0,,
'FD110115,PRAWN IQF SIZE 41-50 PCS/KG.(816722),กุ้งขาวแช่แข็ง 41-50 ตัว/กก.(816722),KG,,,120,,,,N,0,,
'FD100065,CHICKEN WHOLE,ไก่ตัว,KG,,,60,,,,N,0,,
'FD171266,CHICKEN MEAT GROUND,ไก่บด,KG,,,65,,,,N,0,,
'FD100008,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,,53,,,,N,0,,
'FD100043,CHICKEN HAM,ไก่แฮม,KG,,,155,,,,N,0,,
'FD161215,SHRIMP SHAOMAI (1x40PCS.),ขนมจีบกุ้ง (1x40ชิ้น),PACK,,,185,,,,A,7,,
'FD100102,ขาหมู (ขาหน้า),ขาหมู (ขาหน้า),KG,,,80,,,,N,0,,
'FD171326,ขาหมูเยรมันยี่ห้อซีพีคุโรบุตะ 700ก./ชิ้น,ขาหมูเยอรมันยี่ห้อซีพีคุโรบุตะ 700ก./ชิ้น,PCS,,,295,,,,N,0,,
'FD140566,QUAIL EGG PEEL(1x50),ไข่นกกระทาปอกเปลือก(1x50),PACK,,,85,,,,N,0,,
'FD140522,CHEESE CREAM ANCHOR 1KG.(142554),ครีมชีสแองคอร์ 1 กก.(142554),KG,,,850,,,,A,7,,
'FD100032,PORK NECK,คอหมู,KG,,,178,,,,N,0,,
'FD100020,MIXED OFFAL CHICKEN,เครื่องในไก่,KG,,,110,,,,N,0,,
'FD140503,CHEESE CHEDDAR 84 SLICE(ANCHOR)(1 PACK=1.04KG),เชดด้าชีส 84 สไลด์ ANCHOR(1PACK=1.04KG),PACK,,,440,,,,A,7,,
'FD140516,CHEESE CHEDDAR 84 SLICE WHITE(1KG/PACK ),เชดด้าชีส 84 สไลด์สีขาว(แพ็คละ 1 กก.),PACK,,,440,,,,A,7,,
'FD161222,SWEET CREAM BUN(20 PCS/PACK),ซาลาเปาไส้ครีม(1*20 PCS/PACK),PACK,,,165,,,,A,7,,
'FD161226,BLACK BEAN BUN (1x20 ),ซาลาเปาไส้ถั่วดำ(1x20 ),PACK,,,165,,,,A,7,,
'FD161248,RED PORK BUN(1x20),ซาลาเปาไส้หมูแดง(1x20),PACK,,,165,,,,A,7,,
'FD100090,SALAME BELUCKY,ซาลามี่บีลัคกี้,KG,,,780,,,,A,7,,
'FD171261,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,36,,,,N,0,,
'FD100039,ซี่โครงหมูแผ่น 5 นิ้ว,ซี่โครงหมูแผ่น 5 นิ้ว,KG,,,116,,,,N,0,,
