SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,
13000029,WATER NAMHOM COCONUT ALL COCO 1KG.(813492),น้ำมะพร้าวน้ำหอม 100% ออลโคโค 1 กก.(813492),KG,,,135,,,,A,7,,,
14010025,SALTED COMPOUND BUTTER ALLOWRIE 5 KG./BOX(59644),เนยเค็มคอมพาวด์ 5 กก.ยี่ห้ออลาวรี่(59644),Box,,,883,,,,A,7,,,
14030018,FILLING CHERRY 21OZ.WILDERNESS(184177),ฟิลลิ่งเชอรี่ 21 ออนซ์ ตราไวลด์เดอร์เนส(184177),Can,,,165,,,,A,7,,,
15000021,LIPTON TEA YELLOW SIZE 2G.( 1*100/BOX )/(210390) ,ชาลิปตันเหลืองซอง 2ก.( 1*100)/(210390),BOX,,,210,,,,A,7,,,
15030010,PASTA- TAGLIATELLE MEZZANE AGNESI 500G.(110457),พาสต้า-ตักเลียตะเล่เมสะเน่ แอคเนซี่ 500ก.(110457),BAG,0,0,85,,,,A,7,,,
15080089,สารแต่งกลิ่น-กลิ่นมะพร้าวน้ำหอม ตราวินเนอร์ 454ก.,สารแต่งกลิ่น-กลิ่นมะพร้าวน้ำหอม ตราวินเนอร์ 454ก.,Btl,,,180,,,,A,7,,,
15080090,สารแต่งกลิ่น-กลิ่นใบเตย ตราวินเนอร์ 454ก.,สารแต่งกลิ่น-กลิ่นใบเตย ตราวินเนอร์ 454ก.,Btl,,,180,,,,A,7,,,
15080091,สารแต่งกลิ่น-กลิ่นกล้วย ตราวินเนอร์ 454ก.,สารแต่งกลิ่น-กลิ่นกล้วย ตราวินเนอร์ 454ก.,Btl,,,180,,,,A,7,,,
15080092,สารแต่งกลิ่น-กลิ่นส้ม ตราวินเนอร์ 454ก.,สารแต่งกลิ่น-กลิ่นส้ม ตราวินเนอร์ 454ก.,Btl,,,180,,,,A,7,,,
15080094,สารแต่งกลิ่น-กลิ่นนมครีมฮอกไกโด ตราเดอะวัน 454ก.,สารแต่งกลิ่น-กลิ่นนมครีมฮอกไกโด ตราเดอะวัน 454ก.,Btl,,,180,,,,A,7,,,
17070001,COCONU CHUNKED NAM HOM ALL COCO 1KG.(813532) ,เนื้อมะพร้าวน้ำหอมแบบแผ่นแช่แข็ง 1 กก. (813532),KG,,,150,,,,A,7,,,
26000017,JUICE SAI NAM PHUENG 100% MALEE 200 ML.(1x24)/CASE,น้ำผลไม้-น้ำส้มสายน้ำผึ้ง 100% มาลี 200 มล.(1x24)/ลัง,Case,,,400,,,,A,7,,,
26010071,JUICE CONCENTRATED-CRANBERRY OCEAN SPRAY 1L.(857270),น้ำผลไม้เข้มข้น-แครนเบอรี่โอเชี่ยนสเปรย์ 1 ลิตร(857270),Btl,0,0,140,,,,A,7,,,
26010072,JUICE CONCENTRATED-GRENADINE RED JUMBO A 720 ML.,น้ำหวานเข้มข้น-แกรนนาดีนสีแดง ตราจัมโบ้เอ 720 มล.,Btl,0,0,160,,,,A,7,,,
26010078,SYRUP CONCENTRATED-HULBLUEBOY SA-LA 710 ML.1*12/80899,ไซรับเข้มข้น-กลิ่นสละสีแดง ตราเฮลซ์บลูบอย 710 มล.,Btl,0,0,62,,,,A,7,,,
26010088,SYRUP CONCENTRATED-CREAM SODA HELBLUEBOY 710 ML.1*12/79365,น้ำหวานเข้มข้น-กลิ่นครีมโซดา ตราเฮลซ์บลูบอย 710 มล.1*12/79365,Btl,0,0,62,,,,A,7,,,
'13000001,JUICE APPLE MALEE 1L.(1x3)/(757822),น้ำผลไม้-แอปเปิ้ลมาลี 1 ลิตร(1x3)/(757822),BOX,,,65,,,,A,7,,,
'13000002,JUICE APPLE TIPCO 1L.(1x3)/(438113),น้ำผลไม้-แอปเปิ้ลทิปโก้ 1 ลิตร(1x3)/(438113),BOX,,,65,,,,A,7,,,
'13000010,JUICE MANGO DOI-KHAM 1L.(830205),น้ำมะม่วงดอยคำ 1 ลิตร(830205),BOX,,,67,,,,A,7,,,
'13000011,JUICE MANGO MALEE 1L.,น้ำผลไม้-มะม่วงผสมผลไม้รวมมาลี 1 ลิตร,BOX,,,65,,,,A,7,,,
'13000012,JUICE PINEAPPLE CHABAA 1L.,น้ำผลไม้-สับปะรดชบา 1 ลิตร,BOX,,,65,,,,A,7,,,
'13000013,JUICE PINEAPPLE MALEE 1L.(757848),น้ำผลไม้-สับประรดมาลี 1 ลิตร(757848),BOX,,,65,,,,A,7,,,
'13000014,JUICE  PINEAPPLE TIPCO 970ML.(1x3)/(438100),น้ำผลไม้-น้ำสับปะรดทิปโก้ 970 มล.(1x3)/(438100),BOX,,,65,,,,A,7,,,
'13000029,WATER NAMHOM COCONUT ALL COCO 1KG.(813492),น้ำมะพร้าวน้ำหอม 100% ออลโคโค 1 กก.(813492),KG,,,135,,,,A,7,,,
'13000030,JUICE CONCENTRATE ORANGE SUNGUICK 1L.(112790),น้ำผลไม้เข้มข้น-ส้มซันควิก 1ล.(112790),BTL,,,220,,,,A,7,,,
'13000032,JUICE PINEAPPLE MALEE 1L,น้ำผลไม้-สับปะรดมาลี 1 ลิตร,BTL,,,65,,,,A,7,,,
'14000001,COOKING AND BAKERIES CARNATION 385ก.(1x3)/(24388),นมข้นจืดสำหรับทำอาหารคาร์เนชั่น 385ก.(1x3)/(24388),CAN,,,25,,,,A,7,,,
'14000003,MILK FALCON 385ML.(1x6)/(104517),นมข้นจืดนกเหยี่ยว 385มล.(1x6)/(104517),CAN,,,25,,,,A,7,,,
'14000007,MILK SWEET CONDENSED CANATION 388G.(1x6)(829604),นมข้นหวานคาร์เนชันพลัส 388ก.(1x6)/(829604),CAN,,,25,,,,A,7,,,
'14000008,MILK UNSWEET CANATION 385G.(1x6)/(24388),นมจืดคาเนชั่น 385ก.(1x6)/(24388),CAN,,,25,,,,A,7,,,
'14000009,SWEETENED CREAMER CARNATION 388G.(1x6)/(24700),ครีมเทียมข้นหวานคาร์เนชัน 388ก.(1x6)/(24700),CAN,,,25,,,,A,7,,,
'14000011,MILK FLAVOURED FALCON 385ML.(1x6)/(104517),นมข้นจืดนกเหยี่ยว 385 มล.(1x6)(104517),CAN,,,25,,,,A,7,,,
'14000021,CREAMER SWEETENED BEVERAGE 388 G.(1x3)/(24700),ครีมเทียมข้นหวานคาร์เนชัน 388ก.(1x3)/(24700),CAN,,,25,,,,A,7,,,
'14000023,นมจืดเอกตร้าคาร์เนชั่น 385ก.,นมจืดเอกตร้าคาร์เนชั่น 385ก.,CAN,,,25,,,,A,7,,,
