SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'31000003,HAND SOAP LIQUID 3.8L( สีขาวมุก/ชมพูมุก ),สบู่เหลวล้างมือ 3.8 L ( สีขาวมุก/ชมพูมุก ),GAL,,,145,,,,A,7,,
'31000008,"PAPER NAPKIN WHITE-NOLOGO 13""*13""1P (1*500S*8)","กระดาษเช็ดปากสีขาวไม่มีโลโก้ 13*13"" 1P(1*500S*8)",CASE,,,725,,,,A,7,,
'31000014,TISSUE INTERFOLD HAND L-FOLD 1P(1*300S*24),กระดาษเช็ดมือหนา 1 ชั้น(1*300ผ*24),CASE,,,1046.25,,,,A,7,,
'31000022,TISSUE PAPER ROLL 2P 17M.1*144(ROOM),ทิชชูม้วนเล็ก 2 ชั้นยาว 17ม.( 1*144 /ลัง)-ห้องพัก,CASE,,,745,,,,A,7,,
'31000116,TISSUE FACIAL REFILL 2P( 1*200S*50),กระดาษเช็ดหน้าแบบเติมหนา 2 ชั้น(1*200*50),CASE,,,1170,,,,A,7,,
'31000118,TISSUES FACIAL SCOTT(CUBIC) 2P(1*60S*48),กระดาษทิชชู่ยี่ห้อสก๊อตเช็ดหน้าหนา 2 ชั้น(1*60*48),CASE,,,878.85,,,,A,7,,
'32000007,"GARBAGE BAG BLACK 30*40""(1*30KG)/SACK","ถุงขยะสีดำขนาด 30*40""(1*30กก)/กส",KG,,,36,,,,A,7,,
'32000008,"GARBAGE BAG BLACK 36 x 45""(1*30KG)/SACK","ถุงขยะสีดำขนาด 36x 45""(1*30กก)/กส",KG,,,36,,,,A,7,,
'32000013,RUBBER GLOVE BLACK NITRILE (POWDER-FREE) M,ถุงมือยางไนไตรสีดำ(ไม่มีแป้ง) 1*50คู่/กล่อง,BOX,,,150,,,,A,7,,
'32000015,RUBBER GLOVE WHITE POWDERD SIZE M(100P/BOX),ถุงมือยางอนามัยสีขาวแบบมีแป้งไซด์M (100ชิ้น/กล่อง),BOX,,,150,,,,A,7,,
'32000025,TISSUE PAPER POP-UP 1P(1x200S*60),กระดาษเช็ดปากป๊อบอัพหนา 1 ชั้น(1x200*60),CASE,,,420,,,,A,7,,
'32000034,"WIPER WITH LONG HANDLE - 24""",ไม้ปาดน้ำด้ามยาวหน้ากว้างขนาด 24 นิ้ว,SET,,,360,,,,A,7,,
'32000038,"GARBAGE BAG(BLACK) 22*30""",ถุงขยะสีดำขนาด 22*30 นิ้ว,KG,,,36,,,,A,7,,
'32000072,"GARBAGE BAG BLACK 18*20""(1*30KG)/SACK","ถุงขยะสีดำขนาด 18*20""(1*30กก)/กส",KG,,,36,,,,A,7,,
'32000073,"GARBAGE BAG BLACK 24*28""","ถุงขยะสีดำขนาด 24*28""",KG,,,36,,,,A,7,,
'32000104,ไม้ม๊อบถูพื้น 10 นิ้ว,ไม้ม๊อบถูพื้น 10 นิ้ว,PCS,,,195,,,,A,7,,
