รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน, ราคาเสนอ ,แถม,ส่วนลด %,ส่วนลด,ประเภทภาษี,อัตราภาษี,รหัสสินค้าผู้ขาย,หมายเหตุ,หมายเหตุ
'10000004,GRASS FED AUS. FRPZEN BEEF MINCE 3 KG.,เนื้อบดออสเตรเลีย 3 กก.,KG,,,360,,,,N,0,,,
'10000010,SRIPLOPN AUS EBONY PRIME MB4-5 GRAINFED 5-7.5KG/PCS,เนื้อสันนอกออสเตรเลียเกรด MB4-5/5-7.5กก./ชิ้น,KG,,,"1,550.00",,,,N,0,,,
'10010013,PORK RIB FROZEN SIZE 600-700G. (6-7KG./BOX),ซี่โครงหมูแผ่นขนาด 5 นิ้ว 600-700 (6-7กก./กล่อง),KG,,,350,,,,N,0,,,
'10030002,SMOKED DUCK BREAST 1 กก.,อกเป็ดรมควัน 1 กก.,KG,,,730,,,,N,0,,,
'10040003,LAMP SHOULDER BONELESS NZ,ไหล่แกะไม่ติดกระดูกนิวซีแลนด์,KG,,,610,,,,N,0,,,
'10050002,BACON SMOKED US (2.0-2.5 MM/S) 35-43 PCS/KG 5KG.,BACON SMOKED US (2.0-2.5 MM/S) 35-43 PCS/KG 5KG.,CASE,,,"1,075.00",,,,A,7,,,
'10050034,CHORIZO 1.5-1.8 KG.,CHORIZO 1.5-1.8 KG.,KG,,,535,,,,A,7,,,
'11000029,TUNA SAKU AAA (1DT004),เนื้อทูน่าสากุเกรด3A(1DT004),KG,,,620,,,,N,0,,,
'14030016,WHIPPING CREAM LACTOFIL GOLD 1L.(1x12),วิปปิ้งครีมแลคโตฟิลโกลด์ 1ล.(1x12),CASE,,,"1,680.00",,,,A,7,,,
'15010004,BALSAMIC VINEGAR 5L.(12501),BALSAMIC VINEGAR 5L.(12501),GAL,,,"1,050.00",,,,A,7,,,
'15010039,OLIVES BLACK PITTED 4 KG.(58023B),มะกอกดำไม่มีเมล็ดขนาด 4 กก.(58023B),CAN,,,"1,180.00",,,,A,7,,,
'15010087,ALMOND POWDER ARO 500G.(819965),อัลมอนด์ผงเอโร่ 500 กรัม(819965),BAG,,,350,,,,A,7,,,
'15110001,EXTRA VIRGIN OLIVE OIL (COPPINI) ITALY 5L.,น้ำมันมะกอก EXTRA VIRGIN(COPPINI) ITALY 5L.,GAL,,,350,,,,A,7,,,
'16000002,"FRENCH FRIES 7/7"" SHOESTRING (1x8)","มันฝรั่งซูสตริง ตราซันนี่เดย์ 7/7"" (1x8)",CASE,,,688,,,,A,7,,,
'16000004,HASH BROWN TRIANGLE 10KG.,มันฝรั่งแฮชบราวน์ ไทรแองเกิ้ล 10กก.,CASE,,,"1,220.00",,,,A,7,,,
'16010018,CHICKEN NUGGET 1KG.,นัตเก็ตไก่ 1กก.,KG,,,115,,,,A,7,,,
'17000001,RIBEYE AUS EBONY CHOICE 5-8 KG.,เนื้อริบอายออสสเตรเลีย 5-8 กก.,KG,,,"1,550.00",,,,N,0,,,
FD100008,BEEF RIB EYE ( AUS )MB2-3,ริบอาย ออสเตรเลีย,KG,,,680,,,,N,0,,,
FD100016,BEEF TENDERLION AUS,เนื้อสันในออสเตรเลีย,KG,,,"1,220.00",,,,N,0,,,
FD100017,BEEF TENDERLOIN ( NZ ),เนื้อสันในนิวซีแลนด์,KG,,,810,,,,N,0,,,
FD100024,AUS EBONY GRAINFED ANGUSRIBEYE MB4-5/6.5-8 KG./PCS,เนื้อสันนอกออสเตรเลียเกรด MB4-5/6.5-8 กก./ชิ้น,KG,,,"1,550.00",,,,N,0,,,
FD100047,CHEDDAR CHEESE ORANGE(BLOCK) 2.50 KG  /PCS,CHEDDAR CHEESE ORANGE(BLOCK) 2.50 KG  /PCS,KG,,,450,,,,A,7,,,
FD102006,LAMP RACK 7 RIB 75 MM.( NZ ),ซี่โครงแกะ 7 ซี่ 75 มม.นิวซีแลนด์,KG,,,"1,040.00",,,,N,0,,,
FD105041,SMOKED SALMON SILCE,เนื้อปลาแซลมอนรมควันสไลด์,KG,,,770,,,,A,7,,,
FD105072,COD LOIN FILLET,เนื้อปลาคอตแล่,KG,,,790,,,,N,0,,,
FD105306,SCALLOP MEAT -US 20-30 PCS / KG,เนื้อหอยเชลล์ ( US ) 20-30 PCS / KG.,KG,,,850,,,,N,0,,,
FD106016,EDAM BALL 2 KG. (9040802),EDAM BALL 2 KG. (9040802),KG,,,480,,,,A,7,,,
FD106020,GOUDA WHEEL 4-5 KG. (9040801),GOUDA WHEEL 4-5 KG. (9040801),KG,,,500,,,,A,7,,,
FD106035,MOZZARELLA CHEESE  BLOCK  2 KG.,มอซซาเรลล่าชีส แท่ง 2 กก.,BLOCK,,,275,,,,A,7,,,
