รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12000001,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),PCS,,,17,,,,N,0,,
'12000002,APPLE RED,แอปเปิ้ลแดง(6 ลูก/กก.),PCS,,,20,,,,N,0,,
'12000005,BLUEBERRY FRESH 125G.(103133),บลูเบอรี่สด 125ก.(103133),PACK,,,115,,,,N,0,,
'12000008,DRAGON FRUIT,แก้วมังกรขาว,KG,,,45,,,,N,0,,
'12000022,ORANGE SUNQUID KG,ส้มซันควิด,KG,,,89,,,,N,0,,
'12000025,PAPAYA RAW,มะละกอดิบ,KG,,,25,,,,N,0,,
'12000039,LEMON YELLOW BIG,มะนาวเหลือง,KG,,,82,,,,N,0,,
'12000040,AVOCADO(EACH),อโวคาโด(ลูก),PCS,,,58,,,,N,0,,
'12010001,BABY CORN,ข้าวโพดอ่อน,KG,,,55,,,,N,0,,
'12010005,BEANSPROUTS CLEANED,ถั่วงอก,KG,,,29,,,,N,0,,
'12010006,BELL PEPPER GREEN,พริกยักษ์เขียว,KG,,,95,,,,N,0,,
'12010007,BELL PEPPER RED,พริกยักษ์แดง,KG,,,105,,,,N,0,,
'12010008,BELL PEPPER YELLOW,พริกยักษ์เหลือง,KG,,,105,,,,N,0,,
'12010010,CARROT,แครอท,KG,,,20,,,,N,0,,
'12010011,CELERY IMPORT,คื่นช่ายฝรั่ง,SET,,,59,,,,N,0,,
'12010013,CHILI BRID RED,พริกขี้หนูแดง,KG,,,90,,,,N,0,,
'12010017,CHILLI FINGER ( GREEN ),พริกชี้ฟ้าเขียว,KG,,,90,,,,N,0,,
'12010018,CHILLI FINGER ( RED ),พริกชี้ฟ้าแดง,KG,,,90,,,,N,0,,
'12010019,CHINESE MORNING GLORY,ผักบุ้งจีน,KG,,,42,,,,N,0,,
'12010021,CHOA PRAYA EGGPLANT,มะเขือเปราะ,KG,,,45,,,,N,0,,
'12010023,CUCUMBER LARGE,แตงกวาใหญ่,KG,,,28,,,,N,0,,
'12010024,CUCUMBER SMALL,แตงกวาเล็ก,KG,,,42,,,,N,0,,
'12010025,DILL LEAVES,ผักชีลาว,KG,,,100,,,,N,0,,
'12010026,EGG PLANT GREEN LONG,มะเขือยาวเขียว,KG,,,55,,,,N,0,,
'12010027,FRENCH BEAN,ถั่วแขก,KG,,,65,,,,N,0,,
'12010028,PEPPER CORN,พริกไทยอ่อน,KG,,,250,,,,N,0,,
'12010029,ROSEMARY LEAF (31538),ใบโรสแมรี่สด(31538),KG,,,500,,,,N,0,,
'12010033,GREEN OAK 0.5 KG.,กรีนโอ๊ด 0.5 กก.,KG,,,120,,,,N,0,,
'12010034,HOT BASIL,กระเพรา,KG,,,80,,,,N,0,,
'12010035,KAFFIR LIME LEAVE,ใบมะกรูด,KG,,,110,,,,N,0,,
'12010036,KALE,คะน้า,KG,,,39,,,,N,0,,
'12010038,KWANG TUNG,กวางตุ้ง,KG,,,42,,,,N,0,,
'12010039,LEEK ( TON KRA THIAM ),ต้นกระเทียม,KG,,,85,,,,N,0,,
'12010041,LETTUCE GREEN,กาดหอมสีเขียว,KG,,,75,,,,N,0,,
'12010042,LETTUCE ICEBERG,กาดแก้ว,KG,,,75,,,,N,0,,
'12010044,LONG PARSLES,ชีใบเลื่อย,KG,,,100,,,,N,0,,
'12010048,MINT LEAF,สาระแหน่,KG,,,150,,,,N,0,,
'12010050,MUSHROOM ERYNJI 1KG.,เห็ดเออรินจิ 1 กก.,KG,,,72,,,,N,0,,
'12010053,MUSHROOM SHIMEJI BLACK,เห็ดชิเมจิดำ,PACK,,,13,,,,N,0,,
'12010054,MUSHROOM SHIMEJI WHITE,เห็ดชิเมจิขาว,PACK,,,13,,,,N,0,,
'12010057,ONION LARGE,หอมใหญ่,KG,,,31,,,,N,0,,
'12010058,ONION SPRING,ต้นหอม,KG,,,100,,,,N,0,,
'12010060,POTATO LARGE,มันฝรั่งใหญ่,KG,,,34,,,,N,0,,
'12010061,POTATO SWEET,มันเทศ,KG,,,25,,,,N,0,,
'12010062,PUMPKIN LARGE,ฟักทองใหญ่,KG,,,42,,,,N,0,,
'12010064,RADICHIO,เรดิชิโอ้,KG,,,165,,,,N,0,,
'12010065,RED CORAL,เรดโครอล,KG,,,130,,,,N,0,,
'12010066,RED OAK 0.5 KG.,เรดโอ๊ด 0.5 กก.,KG,,,120,,,,N,0,,
'12010067,RHY ZOME,กระชาย,KG,,,85,,,,N,0,,
'12010068,ROMAIN COS CHINESE,โรแมนคอส,KG,,,75,,,,N,0,,
'12010070,STRING BEANS,ถั่วฝักยาว,KG,,,65,,,,N,0,,
'12010071,SWEET BASIL,โหระพา,KG,,,80,,,,N,0,,
'12010072,SWEET PEA /KG,ถั่วลันเตาหวาน/กก.,KG,,,150,,,,N,0,,
'12010075,THAI PARSLEY,ผักชีไทย,KG,,,180,,,,N,0,,
'12010076,TOMATO QUEEN,มะเขือเทศราชินี,KG,,,85,,,,N,0,,
'12010077,TOMATO RED,มะเขือเทศท้อ,KG,,,60,,,,N,0,,
'12010081,TURNIP WHITE,หัวไชเท้า,KG,,,28,,,,N,0,,
'12010082,WHITE LETTUCE,กาดขาว,KG,,,36,,,,N,0,,
'12010085,ZUCHINI,ซูกินีเขียว,KG,,,85,,,,N,0,,
'12010086,กระเทียมไทยกลีบ,กระเทียมไทยกลีบ,KG,,,150,,,,N,0,,
'12010087,กระเทียมจีนหัว(829336),กระเทียมจีนหัว(829336),KG,,,80,,,,N,0,,
'12010088,คะน้าฮ่องกง,คะน้าฮ่องกง,KG,,,120,,,,N,0,,
'12010090,SHALLOT,หอมแดงไทย,KG,,,110,,,,N,0,,
'12010091,ASPARAGUS GREEN 1KG.,หน่อไม้ฝรั่งสด 1 กก.,KG,,,205,,,,N,0,,
'12010092,BROCCOLI,บล็อคโคลี่,KG,,,65,,,,N,0,,
