SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'34040002,INTESTINAL DRUG 200 CC.(8851847000904),ยาธาตุน้ำขาวกระต่ายบิน 200 cc. (8851847000904),BTL,,,62,,,,I,7,,
'34040009,PARACETAMAL SMALL (1*100)/8852978001150,ยาพาราแซนตามอล(1*100เม็ด)/8852978001150,BTL,,,135,,,,I,7,,
'34040010,"FIRST AID TAPE 0.5"" ( 8850304002604 )",เทปใสแต่งแผล  1/2 นิ้ว,PCS,,,20,,,,I,7,,
'34040011,TENSOPLAST (1*100)/(8850672210014),พลาสเตอร์ยา(1*100)/(8850672210014),BOX,,,75,,,,I,7,,
'34040013,BETADINE 15CC.(8850336100088),เบตาดีน  15ซีซี.(8850336100088),BTL,,,60,,,,I,7,,
'34040015,เกลือแร่บำรุงร่างกาย(แก้ท้องร่วง)ยี่ห้อออรีด้า(1*100)/กล่อง,เกลือแร่บำรุงร่างกาย(แก้ท้องร่วง)ยี่ห้อออรีด้า(1*100)/กล่อง,BOX,,,250,,,,I,7,,
'34040018,หน้ากากอนามัย 3 ชั้น( 1*50)/8859095901363,หน้ากากอนามัย 3 ชั้น( 1*50)/8859095901363,BOX,,,50,,,,I,7,,
'34040031,FIRST AID BAG SIZE  6*8*12.(แคนตัน),กระเป๋าแพทย์แบบสะพายสีดำ 6*8*12 นิ้ว(แคนตัน),SET,,,420,,,,I,7,,
'34040045,TYLENOL 500MG.(1*10TAB)/8850007850229,ยาแก้ปวดไทลินอล 500 มก.(1*10TAB)/8850007850229,PCS,,,13,,,,I,7,,
'34040055,ผ้าพันแผล รถพยาบาล 2*2 นิ้ว(8850185001468),ผ้าพันแผล รถพยาบาล 2*2 นิ้ว(8850185001468),PCS,,,6,,,,I,7,,
'34040069,สำลีแผ่น ตรารถพยาบาล 50ก.(8850185002618),สำลีแผ่น ตรารถพยาบาล 50ก.(8850185002618),Pack,,,34,,,,I,7,,
'34040070,ALCOHOL SIRIBANCHA 60ML.(8851124100600),แอลกอฮอร์ 60 มล.ตราศิริบัญชา,Btl,,,10,,,,I,7,,
