SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'20010005,WATER NATURAL SANPELLGRINO 500 ML.(1*24),น้ำแร่ธรรมชาติ ซานเพลลีกรีโน 500 มล.(1*24),BTL,,,59,,,,A,7,,
'14020001,BURRTA COW 100G.(54110),บลูราต้าชีสมอสน้ำ 100ก.(54110),PACK,,,84,,,,A,7,,
16010009,"TORTILLAS 8"" (1x10 PCS)","แผ่นตอติญ่า 8"" (1x10 ชิ้น)",PACK,,,105,,,,A,7,,
'15080053,LADY FINGER  400G.,LADY FINGER  400G.,BAG,,,145,,,,A,7,,
'15010095,BROWN LENTILS 1KG.,BROWN LENTILS 1KG.,BAG,,,150,,,,A,7,,
15140013,ORGANIC RED QUINOA 1 KG.(44R10092),ข้าวครินัวออร์แกนิคแดง 1 กก.(44R10092),BAG,,,175,,,,A,7,,
'15120012,RED WINE VINEGAR AGED  1 L. (12602),น้ำส้มสายชูไวน์แดง 1 ลิตร(12602),BTL,,,185,,,,A,7,,
15120024,WHITE WINE VINEGAR AGED 1L.(12605),น้ำส้มสายชูไวน์ขาว 1 ลิตร(12605),BTL,,,185,,,,A,7,,
16010041," FLOUR TORTILLAS MEXICAN 10""EL CHARRO 1*10/PACK",แผ่นแป้งสาลีย่างสุก 10 นิ้ว ยี่ห้อ เอล ชาร์โร 1*10/แพ็ค,Pack,,,210,,,,A,7,,
'17070002,FROZEN MIX BERRY  1KG.,ผลไม้รวมเบอร์รี่แช่แข็ง  1 กก.,KG,,,225,,,,A,7,,
'14010014,MUSTARD DIJON 1KG.(PC001),MUSTARD DIJON 1KG.(PC001),KG,,,235,,,,A,7,,
15010055,PEELED TOMATOES IN TOMATO JUICE  2.5 KG.,มะเขือเทศลูกในน้ำมะเขือเทศ 2.5 กก.,TANK,,,235,,,,A,7,,
'15020007,DRY KIWI,กีวี่อบแห้ง,KG,,,240,,,,A,7,,
'15020005,DRY MANGO,มะม่วงอบแห้ง,KG,,,240,,,,A,7,,
'15020002,PAPAYA DRY,มะละกออบแห้ง,KG,,,240,,,,A,7,,
'15020006,DRY PINEAPPLE,สัปปะรดอบแห้ง,KG,,,240,,,,A,7,,
'14030010,NORMANDY ALL PURPOSE CREAM 35% 1L.(32005),NORMANDY ALL PURPOSE CREAM 35% 1L.(32005),BOX,,,255,,,,A,7,,
'14020003,CHEESE MASCARPONE  500G.,มาสคาร์โพนชีส 500ก.,PACK,,,265,,,,A,7,,
15080040,DARK CHOCOLATE CHIPS  1KG.,ดาร์คช็อกโกแลตชิพส์ 1 กก.,KG,,,275,,,,A,7,,
'14020011,CHEESE ASUTRALIAN MOZZARELLA 2.5KG(44655),CHEESE ASUTRALIAN MOZZARELLA 2.5KG(44655),KG,,,315,,,,A,7,,
'14020024,CHEESE MOZZARELLA FOR PIZZA HAPPY VALLEY 2.5KG.(44655),MOZZARELLA FOR PIZZA HAPPY VALLEY 2.5KG.(44655),KG,,,315,,,,A,7,,
'10050042,MORTADELLA 3-3.2 KG.,มอลตาเดล่าแท่ง 3-3.2 กก.,KG,,,315,,,,A,7,,
'15010007,BLANCHED SLICED ALMONDS 1 KG. ,อัลมอนด์ดิบสไลซ์ 1 KG.,BAG,,,315,,,,A,7,,
'14020002,CHESS GOUDA BLOCK 3KG.(6UH004),CHESS GOUDA BLOCK 3KG.(6UH004),KG,,,325,,,,A,7,,
'14020019,CHEESE EDAM BLOCK 2.8-3.2 KG.,อีดัมชีสบล็อก 2.8-3.2 กก.,KG,,,325,,,,A,7,,
'15020013,มะพร้าวฝอยอบแห้งขนาดเล็ก 1 กก.,มะพร้าวฝอยอบแห้งขนาดเล็ก 1 กก.,BAG,,,340,,,,A,7,,
'14020004,CHEES CHEDDAR ORANGE (84 SLICES),CHEES CHEDDAR ORANGE (84 SLICES),PACK,,,345,,,,A,7,,
