SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'20010006,WATER MINERE 500ML. (1x12)/(198281),นํ้าแร่มิเนเร่ 500 มล.(1x12)/(198281),PACK,,,82,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22140007,SANG SOM 70 CL. (192995),SANG SOM 70 CL. (192995),Btl,,,279,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'20000001,COKE CAN 325 ML.(1x24)/(358579),โค้ก(กระป๋อง) 325มล.(1x24)/(358579),TRAY,,,309,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22020041,DE KUYPER PEACH TREE 70 CL.,DE KUYPER PEACH TREE 70 CL.,Btl,,,565,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'21010018,BEER CHANG LARGE 620 ML.(1x12)/(190814),เบียร์ช้างคลาสสิค(ขวด) 620 มล.(1x12)/(190814),Case,,,602,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22150014,JIM BEAM 70 CL. (210498),JIM BEAM 70 CL. (210498),Btl,,,700,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'21010001,BEER CHANG CLASSIC CAN 320 ML.(1*24)/(250315),เบียร์ช้างคลาสสิค(กระป๋อง) 320 มล. (1*24)/(250315),TRAY,,,714,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21010012,BEER LEO CAN  330 ML.(1x24)/(343824),เบียร์ลีโอ(กระป๋อง) 330 มล.(1x24)/(343824),TRAY,,,728,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21010008,BEER CHANG CLASSIC SMALL BTL 320ML.(1x24)/(330603),เบียร์ช้างคลาสสิค(ขวด ) 320 ML.(1x24)/(330603),CASE,,,742,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'21010006,BEER SINGHA CAN 320 ML.(1x24)/(223275),เบียร์สิงห์(กระป๋อง) 320 มล.(1x24)/(223275),TRAY,,,783,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21010015,BEER SINGHA SMALL 320 ML.(1x24)/(190333),เบียร์สิงห์(ขวด) 320 มล.(1x24)/(190333),CASE,,,797,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22150013,JAMESON WHISKY 70 CL. (105149),JAMESON WHISKY 70 CL. (105149),Btl,,,1018,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22150012,JACK DANIEL'S 70 CL. (184603),JACK DANIEL'S 70 CL. (184603),Btl,,,1149,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22150019,CHIVAS REGEL 70 CL.(118144),CHIVAS REGEL 70 CL.(118144),Btl,,,1253,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
