SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'14050001,ICE CREAM COCONUT MILK ETE 100G.(1x12PCS),ICE CREAM COCONUT MILK ETE 100G. (1x12 PCS),PACK,,,504.72,,,,A,7,,
'14050002,ICE CREAM COOKIE AND CREAM ETE 100G.(1x12PCS),ICE CREAM COOKIE AND CREAM ETE 100G.(1x12PCS),PACK,,,504.72,,,,A,7,,
'14050003,ICE CREAM MANGO ETE 100G.(1x12PCS),ICE CREAM MANGO ETE 100G.(1x12PCS),PACK,,,504.72,,,,A,7,,
'14050004,ICE CREAM RASPBERRY SORBET ETE 100G.(1x12PCS),ICE CREAM RASPBERRY SORBET ETE 100G.(1x12PCS),PACK,,,504.72,,,,A,7,,
'14050005,ICE CREAM RUM RAISIN ETE 100G.(1x12PCS),ICE CREAM RUM RAISIN ETE 100G.(1x12PCS),PACK,,,504.72,,,,A,7,,
'14050006,ICE CREAM SWISS CHOCOLATE ETE 100G.(1x12PCS),ICE CREAM SWISS CHOCOLATE ETE 100G.(1x12PCS),PACK,,,504.72,,,,A,7,,
'14050007,ICE CREAM TRULY STRAWBERRY ETE 100G.(1x12PCS),ICE CREAM TRULY STRAWBERRY ETE 100G.(1x12PCS),PACK,,,504.72,,,,A,7,,
'14050008,ICE CREAM VANILLA BEAN ETE 100G.(1x12PCS),ICE CREAM VANILLA BEAN ETE 100G.(1x12PCS),PACK,,,504.72,,,,A,7,,
'14050009,ICE CREAM POPSICLE DOUBLE CHOC THE ONE ETE(1x20PCS),ICE CREAM POPSICLE DOUBLE CHOC THE ONE ETE(1x20PCS),PACK,,,411.2,,,,A,7,,
'14050010,ICE CREAM POPSICLE EARL GREY HONEY THE ONE ETE(1x20PCS),ICE CREAM POPSICLE EARL GREY HONEY THE ONE ETE(1x20PCS),PACK,,,411.2,,,,A,7,,
'14050011,ICE CREAM POPSICLE LYCHEE THAI FRUIT ETE(1x30PCS),ICE CREAM POPSICLE LYCHEE THAI FRUIT ETE(1x30PCS),PACK,,,560.7,,,,A,7,,
'14050012,ICE CREAM POPSICLE PASSION FRUIT THAI FRUIT ETE(1x30PCS),ICE CREAM POPSICLE PASSION FRUIT THAI FRUIT ETE(1x30PCS),PACK,,,560.7,,,,A,7,,
'14050013,ICE CREAM POPSICLE PISTACHIO THE ONE ETE(1x20PCS),ICE CREAM POPSICLE PISTACHIO THE ONE ETE(1x20PCS),PACK,,,411.2,,,,A,7,,
'14050014,ICE CREAM POPSICLE TRIPLE STRAWBERRY THE ONE ETE(1x20PCS),ICE CREAM POPSICLE TRIPLE STRAWBERRY THE ONE ETE(1x20PCS),PACK,,,411.2,,,,A,7,,
'14050015,ICE CREAM POPSICLE YOUNG COCONUT THAI FRUIT ETE(1x30PCS),ICE CREAM POPSICLE YOUNG COCONUT THAI FRUIT ETE(1x30PCS),PACK,,,560.7,,,,A,7,,
'14050017,ICE CREAM POPSICLE DURIAN THAI FRUIT ETE(1x30 PCS),ICE CREAM POPSICLE DURIAN THAI FRUIT ETE(1x30 PCS),PACK,,,560.7,,,,A,7,,
'14050018,ICE CREAM POPSICLE MANGO THAI FRUIT ETE(1x30 PCS),ICE CREAM POPSICLE MANGO THAI FRUIT ETE(1x30 PCS),PACK,,,560.7,,,,A,7,,
'14050024,ICE CREAM DOLCE LATTE VANILLA 3.6 KG.,ICE CREAM DOLCE LATTE VANILLA 3.6 KG.,BOX,,,278.5,,,,A,7,,
