SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12000001,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),PCS,,,14,,,,N,0,,
'12000002,APPLE RED,แอปเปิ้ลแดง(6 ลูก/กก.),PCS,,,16,,,,N,0,,
'12000003,BANANA EGGS,กล้วยไข่,BUNCH,,,45,,,,N,0,,
'12000004,BANANA SWEET,กล้วยน้ำว้า,BUNCH,,,45,,,,N,0,,
'12000005,BLUEBERRY FRESH 125G.(103133),บลูเบอรี่สด 125ก.(103133),PACK,,,85,,,,N,0,,
'12000006,CHINESE ORANGE,ส้มจีน,KG,,,98,,,,N,0,,
'12000007,COCONUT MILK FRESH,น้ำกะทิสด,KG,,,0,,,,N,0,,
'12000008,DRAGON FRUIT,แก้วมังกรขาว,KG,,,45,,,,N,0,,
'12000009,GRAPE RED IMPORT 1KG.(112406),องุ่นแดงนอก 1 กก.(112406),KG,,,115,,,,N,0,,
'12000010,GRAPES GREEN (320775),องุ่นเขียว(320775),KG,,,240,,,,N,0,,
'12000011,GRATED COCONUT,มะพร้าวขูดขาว,KG,,,0,,,,N,0,,
'12000012,GUAVA FRUIT-แป้นทอง,ฝรั่งแป้นทอง,KG,,,0,,,,N,0,,
'12000013,GUAVA FRUIT-กิมจู,ฝรั่งกิมจู,KG,,,45,,,,N,0,,
'12000014,JACK FRUIT PEELED WITH SEED,ขนุนแกะ(มีเม็ด),KG,,,85,,,,N,0,,
'12000015,JINTARA WATERMELON,แตงโมจินตรา,KG,,,22,,,,N,0,,
'12000016,KIWI FRUIT (1x6)(192259),กีวี (1x6)(192259),PCS,,,22,,,,N,0,,
'12000017,LEMON FRUIT,มะนาวแป้น(ผิวสวยๆ),PCS,,,3,,,,N,0,,
'12000018,LEMON FRUIT BIG ( NO SEED ),มะนาวใหญ่ไร้เม็ด,KG,,,60,,,,N,0,,
'12000019,MANGO,มะม่วงดิบ,KG,,,35,,,,N,0,,
'12000020,MANGO NAM DOK MAI YELLOE 1KG.(1x3)/(828271),มะม่วงน้ำดอกไม้สุกกล่อง 1 กก.(1x3)/(828271),KG,,,0,,,,N,0,,
'12000021,MANGO YELLOW (2-3 ลูก/กก.) (189501),มะม่วงน้ำดอกไม้สุก(2-3 ลูก/กก.)/(189501),KG,,,115,,,,N,0,,
'12000022,ORANGE SUNQUID KG,ส้มซันควิด,KG,,,85,,,,N,0,,
'12000023,PANDANUS LEAVES,เตยหอม,KG,,,0,,,,N,0,,
'12000024,PAPAYA HONLAND,มะละกอฮอลแลนด์,KG,,,85,,,,N,0,,
'12000025,PAPAYA RAW,มะละกอดิบ,KG,,,25,,,,N,0,,
'12000026,PINEAPPLE LARGE,สับปะรดใหญ่,PCS,,,35,,,,N,0,,
'12000027,PINEAPPLE SRIRACHA (120101),สับปะรดศรีราชา/ปัตตาเวีย (120101),KG,,,0,,,,N,0,,
'12000028,ROSE APPLE RED (828275),ชมพู่แดง (828275),KG,,,0,,,,N,0,,
'12000029,YOUNG COCONUT(CUT) - GREEN,มะพร้าวอ่อนปอกเปลือกปาดเขียว(ปาดหัว/ท้าย),PCS,,,21,,,,N,0,,
'12000030,แตงโมกินรี,แตงโมกินรี,KG,,,22,,,,N,0,,
'12000031,องุ่นแดงไร้เมล็ด AUS 1 กก.,องุ่นแดงไร้เมล็ด AUS 1 กก.,KG,,,0,,,,N,0,,
'12000032,MANGO YELLOW,มะม่วงโชคอนันต์สุก,KG,,,0,,,,N,0,,
'12000033,SA LEE FRUIT,สาลี่ทอง,KG,,,0,,,,N,0,,
'12000034,YOUNG COCONUT(CUT) - WHITE,มะพร้าวอ่อนปาดขาว,PCS,,,22,,,,N,0,,
'12000035,CANTALOUP ORANGE,แคนตาลูปส้ม,KG,,,65,,,,N,0,,
'12000036,CHOKUN ORANGE,ส้มโชกุน(ใหญ่ 5 ลูก/เล็ก 9 ลูกสำหรับผลไม้ไหว้ศาล),KG,,,70,,,,N,0,,
'12000037,BANANA LARGE,กล้วยหอม,BUNCH,,,85,,,,N,0,,
'12000038,แห้วปอกเปลือก,แห้วปอกเปลือก,KG,,,0,,,,N,0,,
'12000039,LEMON YELLOW BIG,มะนาวเหลือง,KG,,,73,,,,N,0,,
'12000040,AVOCADO(EACH),อโวคาโด(ลูก),PCS,,,68,,,,N,0,,
'12000041,BANANA FINGER,กล้วยเล็บมือนาง,BUNCH,,,40,,,,N,0,,
'12000042,BLACKBERRIES TH FG 160G.,BLACKBERRIES TH FG 160G.,PACK,,,0,,,,N,0,,
'12000043,BLUEBERRIES JUMBO 125G. (861270),บลูเบอร์รี่จัมโบ้ 125ก.(861270),PACK,,,0,,,,N,0,,
'12000044,CANTALOUP MELON GREEN (160623),แคนตาลูปเมลอนเขียว(160623),KG,,,169,,,,N,0,,
'12000045,COCONUT CREAM FOR STICKY RICE,หัวกะทิ-สำหรับมูนข้าวเหนียว,KG,,,0,,,,N,0,,
'12000046,JUICE CONCENTRATE PINEAPPLE 2L.,น้ำผลไม้เข้มข้น-สับปะรด 2 ลิตร,BTL,,,0,,,,N,0,,
'12000047,DRAGON FRUIT 3 PCS,แก้วมังกรขาว(ขอ3ลูกผลไม้ไหว้ศาล),KG,,,45,,,,N,0,,
'12000048,GRAPES RED,องุ่นแดง,KG,,,115,,,,N,0,,
'12000049,JACK FRUIT PEELED WITH OUT SEED,ขนุนแกะ(เม็ด),KG,,,85,,,,N,0,,
'12000050,JUJUBE,พุทรา,KG,,,55,,,,N,0,,
'12000051,KEOW SAVOY MANGO 1KG. (790998),มะม่วงเขียวเสวย 1 กก.(790998),KG,,,0,,,,N,0,,
'12000052,LONG KONG,ลองกอง,KG,,,0,,,,N,0,,
'12000053,LONGAN,ลำไย,KG,,,65,,,,N,0,,
'12000054,MANDARIN ORANGE,ส้มแมนดาริน,KG,,,0,,,,N,0,,
'12000055,OLD COCONUT,มะพร้าวแก่(ปลอกเปลือก),PCS,,,0,,,,N,0,,
'12000056,ORANGE LOCAL,ส้มสายน้ำผึ้ง,KG,,,45,,,,N,0,,
'12000057,ORANGE LOCAL NO.1,ส้มเขียวหวาน เบอร์ 1,KG,,,43,,,,N,0,,
