SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'22080003,ABSOLUTE VODKA 70 CL. (176697),ABSOLUTE VODKA 70 CL. (176697),BTL,,,675,,,,A,7,,
'22020016,AMARETTO 75 CL,AMARETTO 75 CL,BTL,,,695,,,,A,7,,
'22000004,ANGOSTURA AROMATIC BITTERS 200 ML.,ANGOSTURA AROMATIC BITTERS 200 ML.,BTL,,,980,,,,A,7,,
'22000006,Aperol Aperitif 70 cl.,Aperol Aperitif 70 cl.,BTL,,,1030,,,,A,7,,
'22120003,BACARDI WHIITE RUM 75 CL. (933478),BACARDI WHIITE RUM 75 CL. (933478),BTL,,,710,,,,A,7,,
'22030001,BAILEY'S IRISH CREAM 70 CL,BAILEY'S IRISH CREAM 70 CL,BTL,,,1070,,,,A,7,,
'22150009,BALLANTINE'S FINEST 70 CL,BALLANTINE'S FINEST 70 CL,BTL,,,630,,,,A,7,,
'22150006,BALLENTINE'S FINEST 1 L. (151196),BALLENTINE'S FINEST 1 L. (151196),BTL,,,815,,,,A,7,,
'22100003,BOMBAY GIN 75 CL,BOMBAY GIN 75 CL,BTL,,,1060,,,,A,7,,
'22000007,CAMPARI BITTER 70 CL,CAMPARI BITTER 70 CL,BTL,,,1200,,,,A,7,,
'22000001,CAMPARI BITTER 75 CL. (158697),CAMPARI BITTER 75 CL. (158697),BTL,,,1200,,,,A,7,,
'22150007,CANADIAN CLUB 75 CL,CANADIAN CLUB 75 CL,BTL,,,980,,,,A,7,,
'22130001,CAPTAIN MORGAN BLACK 75 CL. (124117),CAPTAIN MORGAN BLACK 75 CL. (124117),BTL,,,694,,,,A,7,,
'22130007,CHALONG BAY 700 ML.,CHALONG BAY 700 ML.,BTL,,,655,,,,A,7,,
'22020017,CHERRY HERRING 70 CL,CHERRY HERRING 70 CL,BTL,,,1350,,,,A,7,,
'22150008,CHIVAS REGEL 70 CL,CHIVAS REGEL 70 CL,BTL,,,1260,,,,A,7,,
'22020014,COINTREAU 70 CL. (156848),COINTREAU 70 CL. (156848),BTL,,,1285,,,,A,7,,
'22020018,COPA DE ORO COFFEE LIQUEUR 70 CL,COPA DE ORO COFFEE LIQUEUR 70 CL,BTL,,,765,,,,A,7,,
