SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'11010007,WHITE URAD DAL 500G.,WHITE URAD DAL 500G.,BAG,,,50,,,,A,7,,,,,,,
'15000004,TATA TEA  500G./PACK,TATA TEA  500G./PACK,PACK,,,190,,,,A,7,,,,,,,
'15000005,TEA INDIAN TATA 500G.,ชาอินเดียยี่ห้อทาทา 500ก./ถุง,BAG,,,190,,,,A,7,,,,,,,
'15000022,MASALA TEA EVEREST 100G.,MASALA TEA EVEREST 100 G.,BOX,,,120,,,,A,7,,,,,,,
'15010009,BUSH COLOR ORANGE YELLOW 100G.,BUSH COLOR ORANGE YELLOW 100G.,BAG,,,130,,,,A,7,,,,,,,
'15010017,CHANA DAL ALPINE 500G.(106375),ถั่วลูกไก่ผ่าซีกอัลไพน์ 500ก.(106375),BAG,,,50,,,,A,7,,,,,,,
'15010021,CHICK PEA  500G.(862283),ถั่วลูกไก่ขาว 500ก.(862283),BAG,,,60,,,,A,7,,,,,,,
'15010035,RICE FLATENED POHA MOTA  RAJDHANI 500 G. (145815),ข้าวเม่าอินเดียราชดรานี 500ก.(145815),BAG,,,70,,,,A,7,,,,,,,
'15010040,PANI PURI DRY 1KG.(915327),แผ่นแป้งทอดปานิปูริ(อินเดีย) 1KG.(915327),KG,,,75,,,,A,7,,,,,,,
'15010041,PAPAD LIJJAT 200G.(157371),แผ่นแป้งปาปาดัมลิจัท 200ก.(157371),BAG,,,70,,,,A,7,,,,,,,
'15010056,TUR DAL ALPINE 500G. (106334),ถั่วเหลืองผ่าซีกอัลไพน์ 500ก.(106334),BAG,,,50,,,,A,7,,,,,,,
'15010084,MIXED PICKLE 1KG.,MIXED PICKLE 1KG.,KG,,,300,,,,A,7,,,,,,,
'15010085,ACHAR (MIX PICKLE) 1KG./BOX (839527),ACHAR (MIX PICKLE) 1KG./BOX(839527),BOX,,,300,,,,A,7,,,,,,,
'15010086,AJWAIN SEEDS 500G.(102339),AJWAIN SEEDS 500G.(102339),BAG,,,150,,,,A,7,,,,,,,
'15010093,BLACK DAL ALPINE 500G.(106371),ถั่วดำอินเดียอัลไพน์ 500ก.(106371),BAG,,,50,,,,A,7,,,,,,,
'15010108,DAL MASOOR(ORANGE)500G./PACK,DAL MASOOR (ORANGE) 500G./PACK,PACK,,,50,,,,A,7,,,,,,,
'15010114,GITS IDLI MIX POWDER  500G./PACK,GITS IDLI MIX POWDER  500G./PACK,PACK,,,200,,,,A,7,,,,,,,
'15010118,HAR DAL 500G.,HAR DAL 500G.,BAG,,,50,,,,A,7,,,,,,,
'15010123,KHAMAN DHOKLA MIX MTR 500G.,KHAMAN DHOKLA MIX MTR 500G.,PACK,,,200,,,,A,7,,,,,,,
'15010137,MASALA RAVA IDLI MIX MTR 500G.,MASALA RAVA IDLI MIX MTR 500 G.,BAG,,,200,,,,A,7,,,,,,,
'15010144,PEA DAL CHICK KABULI ALPINE 500G.(106379),ถั่วลูกไก่อินเดียอัพไพน์ 500ก.(106379),BAG,,,100,,,,A,7,,,,,,,
'15050005,FLOUR WHEAT CHAKKI RAJDHANI ATTA 5KG.(145812),แป้งข้าวสาลี ราชดรานี ATTA 5กก.(145812),BAG,,,400,,,,A,7,,,,,,,
'15050007,FLOUR GRAM BESAN 500G.(109277),แป้งถั่วลูกไก่ เบซัน 500ก.(109277),BAG,,,80,,,,A,7,,,,,,,
'15050013,DOSA MIX MTR 500G.,แป้งสำเร็จรูป(อินเดีย)DOSA MIX MTR 500G.,BAG,,,200,,,,A,7,,,,,,,
'15050021,FLOUR SEMOLINA SUJI 500 G .,แป้งเซโมลิน่าซูจี 500ก.,BAG,,,50,,,,A,7,,,,,,,
