SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'70000002,BELLEVILLE CHARDONNAY VIOGNIER WHITE 750 ML.,BELLEVILLE CHARDONNAY VIOGNIER WHITE 750 ML.,BTL,,,371,,,,A,7,,
'70010007,LA PIUMA MONTEPLCAINO D ABRUZZO DOC RED 750 ML.,LA PIUMA MONTEPLCAINO D ABRUZZO DOC RED 750 ML.,Btl,,,530,,,,A,7,,
'70000010,PUNCTUM PABLO CLARO ROSADO WHITE 750 ML.,PUNCTUM PABLO CLARO ROSADO WHITE 750 ML.,Btl,,,590,,,,A,7,,
'70000001,ANAKENA BIRDMAN SAUVIGNON BLANC WHITE 750 ML.,ANAKENA BIRDMAN SAUVIGNON BLANC WHITE 750 ML.,BTL,,,595,,,,A,7,,
'70000004,GERARD BERTRAND 6EME SENS WHITE 750 ML.,GERARD BERTRAND 6EME SENS WHITE 750 ML.,BTL,,,630,,,,A,7,,
'70010006,GERARD BERTRAND 6EME SENS RED 750 ML.,GERARD BERTRAND 6EME SENS RED 750 ML.,Btl,,,630,,,,A,7,,
'70040002,PROSECCO SPUMANTE IL FRESCO BRUT VILLA SANDI,PROSECCO SPUMANTE IL FRESCO BRUT VILLA SANDI,BTL,,,730,,,,A,7,,
'70000003,ECLIPSE LUNAR CHARDONNAY WHITE 750 ML.,ECLIPSE LUNAR CHARDONNAY WHITE 750 ML.,BTL,,,,,,,A,7,,
'70000005,OXFORD LANDING CHARDONNAY WHITE 750 ML.,OXFORD LANDING CHARDONNAY WHITE 750 ML.,BTL,,,,,,,A,7,,
'70000006,PUNCTUM FINCA FABIAN VERDEJO WHITE 750 ML.,PUNCTUM FINCA FABIAN VERDEJO WHITE 750 ML.,BTL,,,,,,,A,7,,
'70000007,VILLA SANDI PINOT GRIGIO DELLE VENEZIE WHITE 750 ML.,VILLA SANDI PINOT GRIGIO DELLE VENEZIE WHITE 750 ML.,BTL,,,610,,,,A,7,,
'70000008,OXFORD LANDING SAUVIGNON BLANC WHITE 750 ML.,OXFORD LANDING SAUVIGNON BLANC WHITE 750 ML.,BTL,,,,,,,A,7,,
'70000009,BELLEVILLE ELEGANT WHITE CHARDONNAY 70 CL,BELLEVILLE ELEGANT WHITE CHARDONNAY 70 CL,BTL,,,,,,,A,7,,
'70010001,ANAKENA BIRDMAN MERLOT 750 ML.,ANAKENA BIRDMAN MERLOT 750 ML.,BTL,,,,,,,A,7,,
'70010002,ECLIPSE SOLAR RED SHIRAZ CABERNET 750 ML.,ECLIPSE SOLAR RED SHIRAZ CABERNET 750 ML.,BTL,,,371,,,,A,7,,
'70010003,OXFORD LANDING CABERNET SHIRAZ 750 ML.,OXFORD LANDING CABERNET SHIRAZ 750 ML.,BTL,,,,,,,A,7,,
'70010004,BELLE VILLE GRENACHE SHIRAZ MERLOT RED 750 ML.,BELLE VILLE GRENACHE SHIRAZ MERLOT RED 750 ML.,BTL,,,,,,,A,7,,
'70010005,TAHUNA PINOT NOIR RED 750 ML.,TAHUNA PINOT NOIR RED 750 ML.,BTL,,,,,,,A,7,,
'70010008,PUNCTUM FINCA FABIAN TEMPRANILLO RED 750 ML.,PUNCTUM FINCA FABIAN TEMPRANILLO RED 750 ML.,Btl,,,,,,,A,7,,
'70040001,BELLEVILLE SPARKLING BRUT,BELLEVILLE SPARKLING BRUT,BTL,,,,,,,A,7,,
'70040003,20 CONO SUR TOCORNAL CABERNET SAUVIGNON,20 CONO SUR TOCORNAL CABERNET SAUVIGNON,BTL,,,,,,,A,7,,
70040004,PROSECCO TREVISO IL FRESCO BRUT DOC 750 ML.(0604208/NA),PROSECCO TREVISO IL FRESCO BRUT DOC 750 ML.(0604208/NA),BTL,,,730,,,,A,7,,
