SKU#,Description,Local Description,Unit,Qty From,QtyTo, Quote Price ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'15080077,สีผงช็อกโกแลต 10 กรัม,สีผงช็อกโกแลต 8 กรัม,BTL,,,75,,,,I,7,,
'15080075,สีเจลผสมอาหาร สีม่วง วินเนอร์ 30 มล.,สีเจลผสมอาหาร-สีม่วงวินเนอร์ 30 มล.,BTL,,,75,,,,I,7,,
'15080073,สีเจลผสมอาหาร สีแดง วินเนอร์ 30 มล.,สีเจลผสมอาหาร-สีแดงวินเนอร์ 30 มล.,BTL,,,75,,,,I,7,,
'15080074,สีเจลผสมอาหาร สีขาว เจลวิลตัน 28.30 ก.,สีเจลผสมอาหาร-สีขาวเจลวิลตัน 28.30ก.,BTL,,,75,,,,I,7,,
'15080076,สีเจลผสมอาหารขนาด 28.35 กรัม.,สีเจลผสมอาหารขนาด 28.35 กรัม.,BTL,,,75,,,,I,7,,
'15010106,CORN SUGAR SURUB,แบะแซะใส,KG,,,85,,,,I,7,,
'15080001,BAKING SODA MCGARRETT 1KG.(830864),เบคกิ้งโซดา แม็กกาแรต 1 กก.(830864),BAG,,,85,,,,I,7,,
'15120004,COCONUT CREAM A-ROI-DEE 1L.(1x2)/(171607),น้ำกะทิ อร่อยดี 1ล.(1x2)/(171607),BOX,,,85,,,,I,7,,
'15090029,SUGAR SPRINKLES CIRCLE MIXED SIZE WHITE COLOR 100G,น้ำตาลตกแต่งเค้ก-เม็ดสีขาวมุกคละขนาด 100ก.,PCS,,,95,,,,I,7,,
'15090031,SUGAR SPRINKLES MIXED PINK COLOR 85 G.,น้ำตาลตกแต่งเค้ก-ผสมรูปแบบโทนสีชมพู 85ก.,BAG,,,95,,,,I,7,,
'15080034,COLOUR FOOD YELLOW  WINNER 16OZ.,สีผสมอาหาร-สีเหลืองวินเนอร์ 16OZ.,BTL,,,105,,,,I,7,,
'15080031,COLOUR FOOD ORANGE WINNER 16 OZ.,สีผสมอาหาร-สีส้มวินเนอร์ 16OZ.,BTL,,,105,,,,I,7,,
'15080033,COLOUR FOOD RED WINNER 454ML.,สีผสมอาหาร-สีแดงสดวินเนอร์  454ML.,BTL,,,105,,,,I,7,,
'15080032,COLOUR FOOD RED WINNER 1OZ.,สีผสมอาหาร-สีแดงวินเนอร์ 1OZ.,BTL,,,105,,,,I,7,,
'15080067,YEAST DRIED INSTANT BRUGGEMAN BROWN 500G.(125585),ยีสต์รสหวานบรักกี้มานสีน้ำตาล 500ก.(125585),BOX,,,115,,,,I,7,,
'15080029,COCOA POWDER TULIP 500 G. (844709),ผงโกโก้สีเข้ม ทิวลิป 500ก.(844709),BAG,,,125,,,,I,7,,
26010068,ไซรัปเข้มข้น-กลิ่นคาราเมล ตราลองบีช 740 มล.(810422),ไซรัปเข้มข้น-กลิ่นคาราเมล ตราลองบีช 740 มล.(810422),Btl ,,,145,,,,I,7,,
'15080016,BREAD PROVER KS505 IMPERIAL 1KG.,สารเสริม KS505 อิมพีเรียล 1 กก.,BAG,,,150,,,,I,7,,
'15080072,สารเสริม SP UFM 1 KG.,สารเสริม SP UFM 1 KG.,KG,,,155,,,,I,7,,
15080112,PURPLE SWEET POTATO POWDER 100G.,ผงมันม่วง 100% สายพันธุ์โอกินาว่า 100ก.,Pack,,,160,,,,I,7,,
15080110,BLUEBERRY POWDER 100% 100G.,ผงบลูเบอร์รี่ 100% 100ก.,Pack,,,165,,,,I,7,,
'15080064,VANILLA BEAN STICK MADAGASCAR 15-17 CM.,วนิลาฝักมาดากัสการ์ 15-17 ซม.,PCS,,,170,,,,I,7,,
15080111,STRAWBERRY POWDER 100% 100G.,ผงสตรอว์เบอร์รี่ 100% 100ก.,Pack,,,170,,,,I,7,,
'15080071,สารแต่งกลิ่น-กลิ่นวนิลาวินเนอร์ 454ก.,สารแต่งกลิ่น-กลิ่นวนิลาวินเนอร์ 454ก.,BTL,,,175,,,,I,7,,
'15080070,สารแต่งกลิ่น-กลิ่นนมเนยครีมวินเนอร์ 454ก.,สารแต่งกลิ่น-กลิ่นนมเนยครีมวินเนอร์ 454ก.,BTL,,,175,,,,I,7,,
