SKU#,Description,Local Description,,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'FD120177,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),,PCS,,,10.5,,,,N,0,,
'FD120178,APPLE RED,แอปเปิ้ลแดง(6 ลูก/กก.),,PCS,,,12,,,,N,0,,
'FD120225,JINTARA WATERMELON,แตงโมจินตรา,,KG,,,14,,,,N,0,,
'FD120262,PINEAPPLE SRIRACHA (120101),สับปะรดศรีราชา/ปัตตาเวีย (120101),,KG,,,26,,,,N,0,,
'FD120241,MANGO,มะม่วงดิบ,,KG,,,33,,,,N,0,,
'FD120261,PINEAPPLE LARGE,สับปะรดใหญ่,,PCS,,,33,,,,N,0,,
'FD120378,ORANGE LOCAL NO.1,ส้มเขียวหวาน เบอร์ 1,,KG,,,35,,,,N,0,,
'FD120398,TONGDEE POMELO 1 PCS. 120244,ส้มโอทองดี 1 ลูก.(120244),,PCS,,,35,,,,N,0,,
'FD120209,DRAGON FRUIT,แก้วมังกรขาว,,KG,,,39,,,,N,0,,
'FD120303,CANTALOUP ORANGE,แคนตาลูปส้ม,,KG,,,41,,,,N,0,,
'FD120351,DRAGON FRUIT 3 PCS,แก้วมังกรขาว(ขอ3ลูกผลไม้ไหว้ศาล),,KG,,,42,,,,N,0,,
'FD120338,BANANA FINGER,กล้วยเล็บมือนาง,,BUNCH,,,43,,,,N,0,,
'FD120379,ORANGE LOCAL NO.O,ส้มเขียวหวาน เบอร์ 0,,KG,,,43,,,,N,0,,
'FD120180,BANANA EGGS,กล้วยไข่,,BUNCH,,,45,,,,N,0,,
'FD120377,ORANGE LOCAL,ส้มสายน้ำผึ้ง,,KG,,,46,,,,N,0,,
'FD120320,BANANA LARGE,กล้วยหอม,,BUNCH,,,48,,,,N,0,,
'FD120307,CHOKUN ORANGE,ส้มโชกุน(ใหญ่ 5 ลูก/เล็ก 9 ลูกสำหรับผลไม้ไหว้ศาล),,KG,,,50,,,,N,0,,
'FD120416,ส้มโชกุนลูกใหญ่,ส้มโชกุนลูกใหญ่,,KG,,,55,,,,N,0,,
'FD120259,PAPAYA HONLAND,มะละกอฮอลแลนด์,,KG,,,62,,,,N,0,,
'FD120403,แก้วมังกรแดง,แก้วมังกรแดง,,KG,,,62,,,,N,0,,
'FD120298,SA LEE FRUIT,สาลี่ทอง,,KG,,,65,,,,N,0,,
'FD120390,SA LEE FRUIT B 5 / S 5 PCS,สาลี่น้ำผึ้งถ้าใหญ่ 3 / เล็ก 5 ลูก(ผลไม้ไหว้ศาล),,KG,,,65,,,,N,0,,
'FD120356,GRAPES RED,องุ่นแดง,,KG,,,89,,,,N,0,,
'FD120243,MANGO YELLOW (2-3 ลูก/กก.) (189501),มะม่วงน้ำดอกไม้สุก(2-3 ลูก/กก.)/(189501),,KG,,,90,,,,N,0,,
