SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
10020027,ไก่ไหว้ เจาะคอ(มีหัว-เท้า),ไก่ไหว้ เจาะคอ(มีหัว-เท้า),Kg,,,85,,,,N,0,,,,,,,
11030004,CRAB PICKLES,ปูเค็ม,KG,,,120,,,,N,0,,,,,,,
12000036,CHOKUN ORANGE,ส้มโชกุน(ใหญ่ 5 ลูก/เล็ก 9 ลูกสำหรับผลไม้ไหว้ศาล),KG,,,80,,,,N,0,,,,,,,
12000049,JACK FRUIT PEELED WITH OUT SEED ,ขนุนแกะ(เม็ด),KG,,,100,,,,N,0,,,,,,,
12000055,มะพร้าวแก่(ปลอกเปลือก),มะพร้าวแก่(ปลอกเปลือก),PCS,,,65,,,,,,,,,,,,
12000063,SA LEE FRUIT B 5 / S 5 PCS,สาลี่น้ำผึ้งถ้าใหญ่ 3 / เล็ก 5 ลูก(ผลไม้ไหว้ศาล),KG,,,65,,,,N,0,,,,,,,
12000083,PASSION FRUIT,เสาวรสสด,KG,,,65,,,,N,0,,,,,,,
12010011,CELERY IMPORT,คื่นช่ายฝรั่ง,KG,,,75,,,,N,0,,,,,,,
12010073,SWEET VEGELTABLE,ผักหวาน,Kg,,,150,,,,N,0,,,,,,,
12010146,ONION SPRING FLOWER,ดอกหอม,KG,,,130,,,,N,0,,,,,,,
12010167,สะตอ(แกะ),สะตอ(แกะ),KG,,,400,,,,,,,,,,,,
12010169,FENNEL,เฟนเนล,KG,,,120,,,,N,0,,,,,,,
12010170,อ้อย,อ้อย,PCS,,,30,,,,N,0,,,,,,,
12010171,EGGPLANT PURPLE LONG : ,มะเขือม่วงยาว,KG,,,38,,,,N,0,,,,,,,
12010174,ผักกระเฉด,ผักกระเฉด,Kg,,,50,,,,N,0,,,,,,,
12010178,เห็ดแชมปิญองขาว 250ก.(162252),เห็ดแชมปิญองขาว 250ก.(162252),Pack,,,85,,,,N,0,,,,,,,
12010179,หอมอินโดใหญ่(แกะ),หอมอินโดใหญ่(แกะ),Kg,,,50,,,,N,0,,,,,,,
12010180,บวบงู,บวบงู,KG,,,48,,,,,,,,,,,,
12010181,สะตอ(ฝัก),สะตอ(ฝัก),EA,,,15,,,,,,,,,,,,
14000007,MILK SWEET CONDENSED CANATION 380G.(1x6)(829604),นมข้นหวานคาร์เนชันพลัส 380ก.(1x6)/(829604),CAN,,,38,,,,N,0,,,,,,,
14000008,MILK UNSWEET CANATION 405G.(1x6)/(24388),นมจืด 405ก.ตราคาเนชั่่น(1x6)/(24388),CAN,,,38,,,,N,0,,,,,,,
15010032,KIDNEY BEANS 500G.(830331),ถั่วแดงหลวง 500ก.(830331),BAG,,,85,,,,N,0,,,,,,,
15010044,PEELED PEANUTS RAITIP 500G.(1x6)/(185825),ถั่วลิสงเลาะเปลือกไร่ทิพย์ 500ก.(1x6)/(185825),BAG,,,120,,,,N,0,,,,,,,
15010050,RICE ROASTED RAITIP 500G. (221067),ข้าวคั่วไร่ทิพย์ 500ก.(221067),BAG,,,30,,,,N,0,,,,,,,
