SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,
'15010072,FRIED GARLIC 0.5KG,กระเทียมเจียว 0.5 กก.,BAG,,,120,,,,N,0,,,
'15040001,BEAN VERMICHILI 500G. (742222),วุ้นเส้นตราต้นไผ่ 500ก.(742222),BAG,,,100,,,,N,0,,,
15010243,ตั้งฉ๋าย 200ก.,ตั้งฉ๋าย 200ก.,BAG,,,30,,,,,,,,
'15010054,TAIPLA  BOTTLE LARGE,ไตปลาขวดใหญ่,BTL,,,55,,,,N,0,,,
'15120062,YEN TA FOUR SAUCE,ซอสเย็นตาโฟ,BTL,,,25,,,,N,0,,,
'15010175,ไตปลายาคูล,ไตปลายาคูล,BTL,,,20,,,,N,0,,,
'12010163,ตะไคร้ 1*100/มัด,ตะไคร้ 1*100/มัด,BUNDLE,,,100,,,,N,0,,,
'12010116,ACAEIAL INSUAVIS,ชะอม,BUNDLE,,,35,,,,N,0,,,
'12010141,MANGO CREST,ยอดมะม่วงหิมพานต์,BUNDLE,,,15,,,,N,0,,,
'12010084,YOD MUN POO,ยอดมันปู,BUNDLE,,,15,,,,N,0,,,
'15010078,CANNED FISH IN TOMATO SAUCE,ปลากระป๋องในซอสมะเขือเทศ,CAN,,,30,,,,N,0,,,
'12010002,BANANA FLOWER,หัวปลี,EA,,,22,,,,N,0,,,
'15010139,MAW FISH DRY BIG,กระเพาะปลาแห้งหลอดใหญ่,KG,,,850,,,,N,0,,,
'15010022,DRY SHRIMP MID,กุ้งแห้งกลาง,KG,,,800,,,,N,0,,,
'15130007,CHINESE ANLE ( POY KAK ),โป๊ยกั๊ก,KG,,,700,,,,N,0,,,
'12010130,FRESH THYME LEAF (26260),ใบไทม์สด(26260),KG,,,600,,,,N,0,,,
'15010037,MUSHROOM SHITAKE MID,เห็ดหอมแห้งกลาง,KG,,,500,,,,N,0,,,
'15010071,CINAMON STICK(MAI HOOM),อบเชย(ไม้หอม),KG,,,450,,,,N,0,,,
'12010029,ROSEMARY LEAF (31538),ใบโรสแมรี่สด(31538),KG,,,400,,,,N,0,,,
'12010009,BIRD CHILI (233298),พริกขี้หนูสวนไม่เด็ด(233298),KG,,,360,,,,N,0,,,
'12010099,ITALIAN BASIL,โหระพาอิตาเลียน,KG,,,350,,,,N,0,,,
'12010152,ROCKET,ร็อกเก็ต,KG,,,350,,,,N,0,,,
'15020008,DRY LONGAN,ลำไยอบแห้ง,KG,,,350,,,,N,0,,,
'15010070,BLACK PEPPER 1 kg.,พริกไทยเม็ดดำ1 กก.,KG,,,320,,,,N,0,,,
'15010125,LIME LOCAL,ส้มแขกแห้ง,KG,,,320,,,,N,0,,,
'12010127,CHILI DRY SMALL (CUT) 0.5KG.,พริกแห้งเล็ก(เด็ด) 0.5 กก.,KG,,,250,,,,N,0,,,
'15130005,CHILI POWDER RAI THIP 1KG.,พริกป่นไร่ทิพย์ 1 กก.,KG,,,250,,,,N,0,,,
'15010077,ปลากรอบฉิ้งฉ้างปรุงรส,ปลากรอบฉิ้งฉ้างปรุงรส,KG,,,230,,,,N,0,,,
'12010016,CHILI DRY SMALL,พริกแห้งเล็ก,KG,,,230,,,,N,0,,,
'15010109,DRIED RED CHILLI,พริกขี้หนูแดงแห้ง,KG,,,230,,,,N,0,,,
'16020016,TUB TIM GOB,ทับทิมกรอบ,KG,,,220,,,,N,0,,,
'12010110,EGG PLANT SMALL ( SPLIT ),มะเขือพวง(เด็ด),KG,,,220,,,,N,0,,,
'15010111,DRY SMALL FISH,ปลาฉิ้งฉ้าง,KG,,,200,,,,N,0,,,
'15010112,DRY SMALL FISH (CUT),ปลาฉิ้งฉ้าง(แกะ),KG,,,200,,,,N,0,,,
'12010083,YOD MUI,ยอดหมุย,KG,,,200,,,,N,0,,,
'12010111,TURMERIC WHITE,ขมิ้นขาว,KG,,,190,,,,N,0,,,
'12010028,PEPPER CORN,พริกไทยอ่อน,KG,,,190,,,,N,0,,,
'12010091,ASPARAGUS GREEN 1KG.,หน่อไม้ฝรั่งสด 1 กก.,KG,,,190,,,,N,0,,,
'15060022,กะปิน้ำพริกอย่างดี,กะปิน้ำพริกอย่างดี,KG,,,180,,,,N,0,,,
'11000007,ROASTED FISH,ปลาย่าง,KG,,,180,,,,N,0,,,
'12010015,CHILI DRY LARGE,พริกแห้งใหญ่,KG,,,180,,,,N,0,,,
'15010066,SAUSAGE CHINESE,กุนเชียงไก่ธรรมดา,KG,,,170,,,,N,0,,,
'12010075,THAI PARSLEY,ผักชีไทย,KG,,,170,,,,N,0,,,
'12010097,FRILLICE ICEBERG,ฟิลเลย์ไอซ์เบิร์ก,KG,,,160,,,,N,0,,,
'16020014,STICKY RICE MOON,ข้าวเหนียวมูนขาว,KG,,,155,,,,N,0,,,
