SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'10000001,BEEF BONE CUT,กระดูกวัวตัด,KG,,,1,,,,A,7,,
'10000002,BEEF TENDERLOIN LOCAL,เนื้อสันในวัวไทย,KG,,,2,,,,A,7,,
'10000003,BEEF TOP ROUND,เนื้อสะโพกวัวไทย,KG,,,3,,,,A,7,,
'10000004,GRASS FED AUS. FRPZEN BEEF MINCE 3 KG.,เนื้อบดออสเตรเลีย 3 กก.,KG,,,4,,,,A,7,,
'10000005,เนื้อน่องลาย,เนื้อน่องลาย,KG,,,5,,,,A,7,,
'10000006,BEEF MEAT GROUND,เนื้อไทยบด,KG,,,6,,,,A,7,,
'10000007,BEEF TENDERLOIN LOCAL (AAA),เนื้อสันในวัวโคขุนแต่ง,KG,,,7,,,,A,7,,
'10000008,BEEF BONE LOCAL,กระดูกวัว,KG,,,8,,,,A,7,,
'10000009,BEEF STRIPLON LOCAL,เนื้อสันนอกวัวไทย,KG,,,9,,,,A,7,,
'10000010,SRIPLOPN AUS EBONY PRIME MB4-5 GRAINFED 5-7.5KG/PCS,เนื้อสันนอกออสเตรเลียเกรด MB4-5/5-7.5กก./ชิ้น,KG,,,10,,,,A,7,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,,11,,,,A,7,,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,,12,,,,A,7,,
'10010003,PORK CHOP S-PURE,หมูสันนอกติดกระดูก(ทั้งเส้น),KG,,,13,,,,A,7,,
'10010004,PORK FAT,มันหมูแข็ง,KG,,,14,,,,A,7,,
'10010005,PORK HIP SLICED,หมูเนื้อแดงหั่น,KG,,,15,,,,A,7,,
'10010006,PORK LIVER,ตับหมู,KG,,,16,,,,A,7,,
'10010007,PORK MEAT GROUND B,หมูบดเกรด B ปนมัน 20%,KG,,,17,,,,A,7,,
'10010008,PORK MINCED A,หมูบดเกรด A,KG,,,18,,,,A,7,,
'10010009,PORK NECK,คอหมู,KG,,,19,,,,A,7,,
'10010010,PORK TENDERLOIN,สันในหมู,KG,,,20,,,,A,7,,
'10010011,PORK TOP ROUND,สะโพกหมู,KG,,,21,,,,A,7,,
