SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,
'10050029,CHICKEN HAM GSB 1KG.(150711),ไก่แผ่นรมควันจีเอสบี 1 กก.(150711),KG,,,140,,,,A,7,,,
'10050013,KAI YO SIZE 1KG.,ไก่ยอแท่ง 1 กก.,KG,,,80,,,,A,7,,,
'10050020,CHICKEN HAM,ไก่แฮม,KG,,,140,,,,A,7,,,
'16010008,SHRIMP SHAOMAI (1x40PCS.),ขนมจีบกุ้ง (1x40ชิ้น),PACK,,,140,,,,A,7,,,
'16010015,ขนมจีบไก่ (1*20),ขนมจีบไก่(1*20PACK),PACK,,,140,,,,A,7,,,
'16010031,SHUMAI PORK  (1*25)500G.,ขนมจีบหมู (1*25) 500ก.,Pack,,,130,,,,A,7,,,
'14020012,CHEESE CHEDDAR 84 SLICE WHITE(1KG/PACK ),เชดด้าชีส 84 สไลด์สีขาว(แพ็คละ 1 กก.),PACK,,,310,,,,A,7,,,
16010042,BUN WITH CHINESE DATE(1x20P)/PACK,ซาลาเปาพุทธา(1*20ชิ้น)/แพ็ค,PACK,,,120,,,,A,7,,,
'16010001,BUN WITH CHICKEN(1*20PCS),ซาลาเปาไส้ไก่ (1*20ชิ้น),PACK,,,120,,,,A,7,,,
'16010014,SWEET CREAM BUN(20 PCS/PACK),ซาลาเปาไส้ครีม(1*20 PCS/PACK),PACK,,,110,,,,A,7,,,
'16010016,BLACK BEAN BUN (1x20 ),ซาลาเปาไส้ถั่วดำ(1x20 ),PACK,,,110,,,,A,7,,,
'16010024,RED PORK BUN(1x20),ซาลาเปาไส้หมูแดง(1x20),PACK,,,110,,,,A,7,,,
'16010029,VHINESE STEAMED DOUGHT (1x12/PACK),ซาลาเปาหมั่นโถว (1x12/PACK),PACK,,,100,,,,A,7,,,
'10050036,DRIED SALAMI 0.7-1 KG.,ดรายซาลามี่ 0.7-1 กก.,KG,,,690,,,,A,7,,,
'10050028,BEER HAM,เบียร์แฮม,KG,,,285,,,,A,7,,,
'10050019,CHICKEN BOLOGNA 1.5 KG.,โบโลญญาไก่ 1.5KG.,KG,,,155,,,,A,7,,,
'10050005,CHICKEN CHILL BOLOGNA 1.5 KG.,โบโลญญ่าไก่พริก 1.5 กก.,KG,,,185,,,,A,7,,,
'10050021,PORK BOLOGNA 1.5KG.,โบโลญญ่าหมู 1.5KG.,KG,,,160,,,,A,7,,,
'10050016,PORK CHILL BOLOGNA 1.5KG.,โบโลญญ่าหมูพริก 1.5 กก.,KG,,,195,,,,A,7,,,
'16010006,MIX VEGETABLE SPRING ROLL 25G.(1x40)/(118202),ปอเปี๊ยะผัก ลิตเติ้ลเชฟ 25ก.(1x40)/(118202),PACK,,,220,,,,A,7,,,
'10050042,MORTADELLA 3-3.2 KG.,มอลตาเดล่าแท่ง 3-3.2 กก.,KG,,,285,,,,A,7,,,
'16000004,HASH BROWN TRIANGLE 10KG.,มันฝรั่งแฮชบราวน์ ไทรแองเกิ้ล 10กก.,CASE,,,"1,550",,,,A,7,,,
'14030004,WHIPPING CREAM  MILLAC GOLD,วิปปิ้งครีมมิลล์แลกโก 1 ลิตร,BOX,,,145,,,,A,7,,,
'10050031,CHICKEN SAUSAGE,ไส้กรอกไก่รมควัน(หนังกรอบ) 1000ก.,KG,,,110,,,,A,7,,,
'10050007,"CHICKEN SAUSAGE FRESH 3.5"" 1KG.",ไส้กรอกไก่สด 3.5 นิ้ว 1 กก.,KG,,,150,,,,A,7,,,
'10050008,CHICKEN SAUSAGE OHO/KG,ไส้กรอกหนังกรอบไก่ทอง/กก.,KG,,,110,,,,A,7,,,
'10050011,"POKR FRESH  SAUSAGE 3.5""",ไส้กรอกหมูสด 3.5 นิ้ว,KG,,,220,,,,A,7,,,
'10050022,HAM(PORK),หมูแฮม,KG,,,155,,,,A,7,,,
'10050009,FERMENTED GRILL CHICKEM JPM 850G.(149987),แหนมไก่ดอนเมืองเจพีเอ็ม 850ก.(149987),BAG,,,115,,,,A,7,,,
'10020015,อกไก่รมควัน,อกไก่รมควัน,KG,,,260,,,,A,7,,,
'10050044,PARIS HAM 2 KG,แฮมปารีส 2 KG.,KG,,,420,,,,A,7,,,
