SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'34030080,PLASTIC DUSTPAN & BRUSH,ที่โกยขยะมีฝาปิดพร้อมไม้กวาดพลาสติก,PCS,,,45,,,,A,7,,
'34030081,RUBBER GLOVE WHITE POWDERD SIZE L(100P/BOX),ถุงมือยางอนามัยสีขาวแบบมีแป้งไซด์ L (1*100)/กล่อง,BOX,,,240,,,,A,7,,
'34030086,SPONGE WITH NET ( 1 X 12 PCS ) 3.5*6 นิ้ว 100612,ฟองน้ำตาข่าย ( 1 X 12 ชิ้น )ใช้ล้างแก้ว 3.5*6 นิ้ว,PACK,,,240,,,,A,7,,
'34040019,ผ้าปิดจมูกแบบกระดาษ (1*50)/กล่อง,ผ้าปิดจมูกแบบกระดาษ (1*50)/กล่อง,BOX,,,150,,,,A,7,,
'31000008,"PAPER NAPKIN WHITE-NOLOGO 13""*13""1P (1*500S*8)","กระดาษเช็ดปากสีขาวไม่มีโลโก้ 13*13"" 1P(1*500S*8)",CASE,,,730,,,,A,7,,
'31000014,TISSUE INTERFOLD HAND L-FOLD 1P(1*300S*24),กระดาษเช็ดมือหนา 1 ชั้น(1*300ผ*24),CASE,,,980,,,,A,7,,
'31000022,TISSUE PAPER ROLL 2P 17M.1*144(ROOM),ทิชชูม้วนเล็ก 2 ชั้นยาว 17ม.( 1*144 /ลัง)-ห้องพัก,CASE,,,580,,,,A,7,,
'31000025,CANDLE LIGTH WITH HOLDER (1 X 100 PCS )900492,เทียนถ้วยตั้งโต๊ะ(1*100)/แพ็ค900492,PACK,,,280,,,,A,7,,
'31000046,Alcohol 70%   3800 CC,แอลกอฮอล์ 70%  3800 CC,GAL,,,450,,,,A,7,,
'31000106,SHAWER CAP-หมวกคลุมผมแบบตัวหนอน(100ชิ้นต่อแพ็ค),หมวกคลุมผมแบบตัวหนอน(1*100)/แพ็ค,SET,,,240,,,,A,7,,
'31000116,TISSUE FACIAL REFILL 2P( 1*200S*50),กระดาษเช็ดหน้าแบบเติมหนา 2 ชั้น(1*200*50),CASE,,,1050,,,,A,7,,
'31000119,TOOTH PICK 1*500/Pack 133519,ไม้จิ้มฟัน(ห่อกระดาษ) 1*500/แพ็ค,PACK,,,100,,,,A,7,,
'32000005,EMEREL CREME CLEANSER 32OZ,ครีมขัดสแตนเลสขนาด 32 ออนซ์,BTL,,,365,,,,A,7,,
'32000007,"GARBAGE BAG BLACK 30*40""(1*30KG)/SACK","ถุงขยะสีดำขนาด 30*40""(1*30กก)/กส",KG,,,40,,,,A,7,,
'32000008,"GARBAGE BAG BLACK 36 x 45""(1*30KG)/SACK","ถุงขยะสีดำขนาด 36x 45""(1*30กก)/กส",KG,,,40,,,,A,7,,
'32000009,"GARBAGE BAG WHITE 18X20""(165-170P)/KG",ถุงขยะสีขาวขนาด 18*20 นิ้ว(165-170ใบ)/กก.,KG,,,85,,,,A,7,,
'32000013,RUBBER GLOVE BLACK NITRILE (POWDER-FREE) M,ถุงมือยางไนไตรสีดำ(ไม่มีแป้ง) 1*50คู่/กล่อง,BOX,,,280,,,,A,7,,
'32000014,RUBBER GLOVE ORANGE SIZE M(PAIR),ถุงมือยางสีส้ม(หนา)ไซด์เอ็ม(คู่),PAIR,,,36,,,,A,7,,
'32000015,RUBBER GLOVE WHITE POWDERD SIZE M(100P/BOX),ถุงมือยางอนามัยสีขาวแบบมีแป้งไซด์M (100ชิ้น/กล่อง),BOX,,,240,,,,A,7,,
'32000016,SAFE FIRE ALCOHOL JEL 15 KG.,แอลกอฮอล์เจลอุ่นอาหาร 15 กก.,TANK,,,650,,,,A,7,,
'32000017,"SCOTH BRITE GREEN#96 3M 6*9""(1*10)/PACK","สก็อตไบร์สีเขียว 6*9""(1*10)/แพ็ค",PACK,,,170,,,,A,7,,
'32000019,SOFT BROOM (ด้ามมัดลวด),ไม้กวาดดอกอ้อ(ด้ามมัดลวด),PCS,,,45,,,,A,7,,
'32000022,"SPONG WITH SCOTH BRITE-3M 3*4""(1*10)/PACK","ฟองน้ำใยขัดสองประสงค์ยี่ห้อสก๊อตซ์ไบร์ต 3*4""(1*10)",PACK,,,120,,,,A,7,,
'32000023,SUN LIGHT 20 L.( 8851932042116 ),น้ำยาล้างจาน ซันไลต์ 20 ลิตร,GAL,,,900,,,,A,7,,
'32000033,"SCOTCH-BRITE 3M GREEN NO.96 SIZE 4.5*6""(1*10)","แผ่นใยขัดสีเขียว 3M#96 ขนาด 4.5*6""(1*10)/212259",PACK,,,170,,,,A,7,,
'32000036,"SCOTH BRITE 3M WHITENo.9030 SIZE 4 x 5""(1*10)",สก็อตไบร์สีขาวยี่ห้อ 3M ขนาด 4 x 5 (1 x 10),PACK,,,170,,,,A,7,,
'32000038,"GARBAGE BAG(BLACK) 22*30""",ถุงขยะสีดำขนาด 22*30 นิ้ว,KG,,,40,,,,A,7,,
'32000072,"GARBAGE BAG BLACK 18*20""(1*30KG)/SACK","ถุงขยะสีดำขนาด 18*20""(1*30กก)/กส",KG,,,40,,,,A,7,,
'32000073,"GARBAGE BAG BLACK 24*28""","ถุงขยะสีดำขนาด 24*28""",KG,,,40,,,,A,7,,
'32000091,"SPARE PART FOR FLOOR SQUEEGEE 24""",อะไหล่ยางปาดน้ำพื้น 24 นิ้ว,PCS,,,150,,,,A,7,,
'32000092,"SPARE PART FOR WET MOP 8""","อะไหล่ผ้าม๊อบ 8"" (400 กรัม)",PCS,,,85,,,,A,7,,
'32000100,แปรงทองเหลืองรูปไข่,แปรงทองเหลืองรูปไข่,PCS,,,85,,,,A,7,,
'32000104,ไม้ม๊อบถูพื้น 10 นิ้ว,ไม้ม๊อบถูพื้น 10 นิ้ว,PCS,,,200,,,,A,7,,
34030006,"PLASTIC FILM 18 ""L-RAP(500M.)1*4/CASE",ฟิล์มยืดพลาสติกหุ้มอาหาร 18 นิ้ว1*4/ลัง,ROLL,,,450,,,,A,7,,
