SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'20000001,COKE CAN 325 ML.(1x24)/(358579),‚§È°(°√–ªÎÕß) 325¡≈.(1x24)/(358579),TRAY,,,316.00,,,,I,7,,
'20000002,COKE LIGHT CAN 325 ML.(1x24)/(100512),‚§È°‰≈∑Ï(°√–ªÎÕß) 325¡≈.(1x24)/(100512),TRAY,,,316.00,,,,I,7,,
20000013,COKE ZERO CAN 325 ML. (1x24) (100511),‚§È°´’‚√Ë(°√–ªÎÕß) 325 ¡≈.(1x24)/(100511),TRAY,,,316.00,,,,I,7,,
20000004,ORANGE FANTA CAN 325 ML.(1x24)/(358657),πÈ” È¡·øπµÈ“(°√–ªÎÕß) 325¡≈.(1x24)/(358657),TRAY,,,316.00,,,,I,7,,
20000009,SPRITE CAN 325 ML. (1x24) (358839),SPRITE CAN 325 ML. (1x24)/(358839),TRAY,,,316.00,,,,I,7,,
20000006,SCHWEPPES GINGER ALE CAN 330 ML. (1x24) (146882),SCHWEPPES GINGER ALE CAN 330 ML. (1x24) (146882),TRAY,,,342.00,,,,I,7,,
20000007,SCHWEPPES TONIC WATER CAN 330 ML. (1x24) (146879),SCHWEPPES TONIC WATER CAN 330 ML. (1x24) (146879),TRAY,,,342.00,,,,I,7,,
'20000016,SCHWEPPES SODA WATER CAN 330 ML. (1x24) (146880),SCHWEPPES SODA WATER CAN 330 ML. (1x24) (146880),TRAY,,,342.00,,,,I,7,,
20000005,ORANGE FANTA PLASTIC BTL 1.25L.(1x12)/(359151),πÈ” È¡·øπµÈ“(¢«¥) 1.25≈.(1x12)/(359151),PACK,,,297.00,,,,I,7,,
20000010,SPRITE PLASTIC BTL 1.25 L. (1x12) (358930),SPRITE PLASTIC BTL 1.25 L. (1x12) (358930),PACK,,,297.00,,,,I,7,,
20000003,COKE PLASTIC BTL 1.25 L. (1x12)/(358891),‚§È°(¢«¥) 1.25≈.(1x12)/(358891),PACK,,,297.00,,,,I,7,,
