SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'FD100004,BEEF BONE CUT,กระดูกวัวตัด,KG,,,,,,,N,0,,
'FD100007,BEEF TOP ROUND,เนื้อสะโพกวัวไทย,KG,,,,,,,N,0,,
'FD100018,GRASS FED AUS. FRPZEN BEEF MINCE 3 KG.,เนื้อบดออสเตรเลีย 3 กก.,KG,,,,,,,N,0,,
'FD100037,เนื้อน่องลาย,เนื้อน่องลาย,KG,,,,,,,N,0,,
'FD100041,BEEF TENDERLOIN LOCAL (AAA),เนื้อสันในวัวโคขุนแต่ง,KG,,,,,,,N,0,,
'FD100053,BEEF BONE LOCAL,กระดูกวัว,KG,,,,,,,N,0,,
'FD100054,BEEF STRIPLON LOCAL,เนื้อสันนอกวัวไทย,KG,,,,,,,N,0,,
'FD100094,SRIPLOPN AUS EBONY PRIME MB4-5 GRAINFED 5-7.5KG/PCS,เนื้อสันนอกออสเตรเลียเกรด MB4-5/5-7.5กก./ชิ้น,KG,,,,,,,N,0,,
'FD171278,RIBEYE AUS EBONY CHOICE 5-8 KG.,เนื้อริบอายออสสเตรเลีย 5-8 กก.,KG,,,,,,,N,0,,
'FD171261,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,25,,,,N,0,,
'FD100008,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,,56,,,,N,0,,
'FD100065,CHICKEN WHOLE,ไก่ตัว,KG,,,68,,,,N,0,,
'FD171266,CHICKEN MEAT GROUND,ไก่บด,KG,,,68,,,,N,0,,
'FD171269,CHICKEN TOP ROUND WITH SKIN SLICE (2KG.),สะโพกไก่ติดหนังสไลด์(2กก.),KG,,,68,,,,N,0,,
'FD171296,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,,69,,,,N,0,,
'FD171263,CHICKEN DRUM STICKS 2KG.,น่องไก่ล้วน 2 กก.,KG,,,77,,,,N,0,,
'FD171262,CHICKEN BREAST PACK 2KG.,อกไก่ลอกหนัง 2 กก.,KG,,,78,,,,N,0,,
'FD171284,ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),KG,,,78,,,,N,0,,
