SKU#	Description	Local Description	Unit	Qty From	QtyTo	Quote Price	Foc	Discount Percent	Discount Amount	TaxType	TaxRate	Vendor SKU#	Comment
'30000001	คลิปหนีบดำ 2 นิ้ว NO.108 HORSE (1*12)/กล่อง	คลิปหนีบดำ 2 นิ้ว NO.108 HORSE (1*12)/กล่อง	BOX			66				I	7		
'30000002	คลิปหนีบดำ 1 นิ้ว NO.111 HORSE (1*12)/กล่อง	คลิปหนีบดำ 1 นิ้ว NO.111 HORSE (1*12)/กล่อง	BOX			24				I	7		
'30000004	"กระดาษเครื่องคิดเลข 2.1/4""(1*10)/แพ็ค"	"กระดาษเครื่องคิดเลข 2.1/4""(1*10)/แพ็ค"	PACK			90				I	7		
'30000005	กระดาษการ์ดสีแดง A4120G.(1*50)	กระดาษการ์ดสีแดง A4120G.(1*50)	PACK							I	7		
'30000006	ปากกาเคมี 2 หัว สีดำ ตราม้า	ปากกาเคมี 2 หัว สีดำ ตราม้า	PCS			13				I	7		
'30000007	ปากกาเคมี 2 หัว สีน้ำเงิน ตราม้า	ปากกาเคมี 2 หัว สีน้ำเงิน ตราม้า	PCS			13				I	7		
'30000008	ปากกาเคมี 2 หัว สีแดง ตราม้า	ปากกาเคมี 2 หัว สีแดง ตราม้า	PCS			13				I	7		
'30000009	คัตเตอร์ใหญ่ด้ามพลาสติกขนาด 18 มม.	คัตเตอร์ใหญ่ด้ามพลาสติกขนาด 18 มม.	PCS			22				I	7		
'30000010	ใบมีดคัตเตอร์ใหญ่ 18 มม.30 องศา (1*6)/แพ็ค	ใบมีดคัตเตอร์ใหญ่ 18 มม.30 องศา (1*6)/แพ็ค	PACK			15				I	7		
'30000011	ใบมีดคัตเตอร์เล็ก 9 มม. 30 องศา (1*10)/แพ็ค	ใบมีดคัตเตอร์เล็ก 9 มม. 30 องศา (1*10)/แพ็ค	PACK			12				I	7		
'30000012	คัตเตอร์เล็ก Silver ขนาด 9 มม.ตราม้า	คัตเตอร์เล็ก Silver ขนาด 9 มม.ตราม้า	PCS			32				I	7		
'30000013	กล่องใส่เอกสารขนาดมาตรฐาน 32*40*27 ซม (1*2)	กล่องใส่เอกสารขนาดมาตรฐาน 32*40*27 ซม (1*2)	SET							I	7		
'30000014	เทปโฟม 2 หน้า 21 มม. X 5 เมตร 3M	เทปโฟม 2 หน้า 21 มม. X 5 เมตร 3M	ROLL			195				I	7		
'30000015	ซองกระดาษสีน้ำตาล ขนาด A4 ( 1*50 ชิ้น )	ซองกระดาษสีน้ำตาล ขนาด A4 ( 1*50 ชิ้น )	PACK			150				I	7		
'30000017	ลิ้นแฟ้มเหล็กสีเงิน 8 ซม. (ชุด50ชิ้น) ตราช้าง	ลิ้นแฟ้มเหล็กสีเงิน 8 ซม. (ชุด50ชิ้น) ตราช้าง	BOX			95				I	7		
'30000018	ขี้ผึ้งนับธนบัตรยี่ห้อ elfen	ขี้ผึ้งนับธนบัตรยี่ห้อ elfen	PCS			29				I	7		
