SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'31000005,"LAUNDRY BAG PLASTIC 18*25"" (55-60ใบ)/KG.","ถุงซักรีด 18*25"" (55-60ใบ)/กก.",KG,,,130,,,,A,7,,
'31000008,"PAPER NAPKIN WHITE-NOLOGO 13""*13""1P (1*500S*8)","กระดาษเช็ดปากสีขาวไม่มีโลโก้ 13*13"" 1P(1*500S*8)",CASE,,,730,,,,A,7,,
'31000009,SANITARY BAG NO LOGO,ถุงใส่ผ้าอนามัยไม่มีโลโก้,PCS,,,85,,,,A,7,,
'31000014,TISSUE INTERFOLD HAND L-FOLD 1P(1*300S*24),กระดาษเช็ดมือหนา 1 ชั้น(1*300ผ*24),CASE,,,980,,,,A,7,,
'31000022,TISSUE PAPER ROLL 2P 17M.1*144(ROOM),ทิชชูม้วนเล็ก 2 ชั้นยาว 17ม.( 1*144 /ลัง)-ห้องพัก,CASE,,,580,,,,A,7,,
'31000025,CANDLE LIGTH WITH HOLDER (1 X 100 PCS )900492,เทียนถ้วยตั้งโต๊ะ(1*100)/แพ็ค900492,PACK,,,280,,,,A,7,,
'31000080,GLASS COASTER NO-LOGO(1*50),กระดาษรองแก้วกลมประมาณ 8-9 ซม.(1*50),PACK,,,,,,,A,7,,
'31000106,SHAWER CAP-หมวกคลุมผมแบบตัวหนอน(100ชิ้นต่อแพ็ค),หมวกคลุมผมแบบตัวหนอน(1*100)/แพ็ค,SET,,,240,,,,A,7,,
'31000116,TISSUE FACIAL REFILL 2P( 1*200S*50),กระดาษเช็ดหน้าแบบเติมหนา 2 ชั้น(1*200*50),CASE,,,1050,,,,A,7,,
'31000119,TOOTH PICK 1*500/Pack 133519,ไม้จิ้มฟัน(ห่อกระดาษ) 1*500/แพ็ค,PACK,,,100,,,,A,7,,
'32000013,RUBBER GLOVE BLACK NITRILE (POWDER-FREE) M,ถุงมือยางไนไตรสีดำ(ไม่มีแป้ง) 1*50คู่/กล่อง,BOX,,,280,,,,A,7,,
'32000014,RUBBER GLOVE ORANGE SIZE M(PAIR),ถุงมือยางสีส้ม(หนา)ไซด์เอ็ม(คู่),PAIR,,,36,,,,A,7,,
'32000015,RUBBER GLOVE WHITE POWDERD SIZE M(100P/BOX),ถุงมือยางอนามัยสีขาวแบบมีแป้งไซด์M (100ชิ้น/กล่อง),BOX,,,240,,,,A,7,,
'32000016,SAFE FIRE ALCOHOL JEL 15 KG.,แอลกอฮอล์เจลอุ่นอาหาร 15 กก.,TANK,,,650,,,,A,7,,
'32000017,"SCOTH BRITE GREEN#96 3M 6*9""(1*10)/PACK","สก็อตไบร์สีเขียว 6*9""(1*10)/แพ็ค",PACK,,,180,,,,A,7,,
'32000018,SCOTH BRITE STEEl 3M 10G.(1*12)/PACK,ฝอยเหล็กสแตนเลสยี่ห้อ 3M 10ก.(1*12)/แพ็ค,PACK,,,,,,,A,7,,
'32000019,SOFT BROOM (ด้ามมัดลวด),ไม้กวาดดอกอ้อ(ด้ามมัดลวด),PCS,,,45,,,,A,7,,
'32000020,SOFT BROOM(BAMBOO HANDLE),ไม้กวาดดอกอ้อด้ามไม้ไผ่,PCS,,,45,,,,A,7,,
'32000021,"SPARE MOP WET 10""",อะไหล่ผ้าม๊อบพื้นแบบเปียก 10 นิ้ว,PCS,,,95,,,,A,7,,
'32000022,"SPONG WITH SCOTH BRITE-3M 3*4""(1*10)/PACK","ฟองน้ำใยขัดสองประสงค์ยี่ห้อสก๊อตซ์ไบร์ต 3*4""(1*10)",PACK,,,,,,,A,7,,
'32000023,SUN LIGHT 20 L.( 8851932042116 ),น้ำยาล้างจาน ซันไลต์ 20 ลิตร,GAL,,,900,,,,A,7,,
'32000024,SUN LIGHT-REFILL 3600 ML.,น้ำยาล้างจาน(แบบเติม)ซันไลต์ 3600 มล.,GAL,,,,,,,A,7,,
'32000025,TISSUE PAPER POP-UP 1P(1x200S*60),กระดาษเช็ดปากป๊อบอัพหนา 1 ชั้น(1x200*60),CASE,,,420,,,,A,7,,
'32000026,TISSUE PAPER ROLL 2P 300M.(1*12),กระดาษทิชชู่ม้วนใหญ่ 2ชั้น 300ม.(1*12),CASE,,,750,,,,A,7,,
'32000036,"SCOTH BRITE 3M WHITENo.9030 SIZE 4 x 5""(1*10)",สก็อตไบร์สีขาวยี่ห้อ 3M ขนาด 4 x 5 (1 x 10),PACK,,,170,,,,A,7,,
'32000037,TISSUE PAPER 1P 600M. (1*12),กระดาษทิชชู่ม้วนใหญ่ 1ชั้น 600ม.(1*12),CASE,,,,,,,A,7,,
'32000038,"GARBAGE BAG(BLACK) 22*30""",ถุงขยะสีดำขนาด 22*30 นิ้ว,KG,,,40,,,,A,7,,
'32000040,DETERGENT 25KG.,ผงซักฟอก 25 กก.,TANK,,,850,,,,A,7,,
'32000044,BRUSH DUSTER SHORT 40-45 CM.,ไม้ปัดฝุ่นขนไก่แบบสั้น 40-45 ซม.,PCS,,,,,,,A,7,,
'32000050,SOFTENER COMFORT 20L.( 8851932090742 ),น้ำยาปรับผ้านุ่ม คอมฟอร์ทสีฟ้า 20ล.,GAL,,,,,,,A,7,,
'32000072,"GARBAGE BAG BLACK 18*20""(1*30KG)/SACK","ถุงขยะสีดำขนาด 18*20""(1*30กก)/กส",KG,,,40,,,,A,7,,
'32000073,"GARBAGE BAG BLACK 24*28""","ถุงขยะสีดำขนาด 24*28""",KG,,,40,,,,A,7,,
'32000090,"SPARE DUST MOP 18""",อะไหล่ผ้าม็อบดันฝุ่น 18 นิ้ว,PCS,,,180,,,,A,7,,
'32000091,"SPARE PART FOR FLOOR SQUEEGEE 24""",อะไหล่ยางปาดน้ำพื้น 24 นิ้ว,PCS,,,150,,,,A,7,,
'32000092,"SPARE PART FOR WET MOP 8""","อะไหล่ผ้าม๊อบ 8"" (400 กรัม)",PCS,,,85,,,,A,7,,
'32000099,แปรงทองเหลือง ด้ามยาว,แปรงทองเหลือง ด้ามยาว,PCS,,,120,,,,A,7,,
'32000100,แปรงทองเหลืองรูปไข่,แปรงทองเหลืองรูปไข่,PCS,,,85,,,,A,7,,
'32000104,ไม้ม๊อบถูพื้น 10 นิ้ว,ไม้ม๊อบถูพื้น 10 นิ้ว,PCS,,,200,,,,A,7,,
'34030003,"PLASTIC FILM M-RAP 18""x600M.x9MIC.1*4/CASE","ฟิล์มยืดเอ็มแรป 18""x600ม.x9ไมครอน1*4/ลัง",CASE,,,1800,,,,A,7,,
'34030080,PLASTIC DUSTPAN & BRUSH,ที่โกยขยะมีฝาปิดพร้อมไม้กวาดพลาสติก,PCS,,,45,,,,A,7,,
'34030081,RUBBER GLOVE WHITE POWDERD SIZE L(100P/BOX),ถุงมือยางอนามัยสีขาวแบบมีแป้งไซด์ L (1*100)/กล่อง,BOX,,,240,,,,A,7,,
'34030086,SPONGE WITH NET ( 1 X 12 PCS ) 3.5*6 นิ้ว 100612,ฟองน้ำตาข่าย ( 1 X 12 ชิ้น )ใช้ล้างแก้ว 3.5*6 นิ้ว,PACK,,,240,,,,A,7,,
'34040018,หน้ากากอนามัย 3 ชั้น( 1*50)/8859095901363,หน้ากากอนามัย 3 ชั้น( 1*50)/8859095901363,BOX,,,150,,,,A,7,,
'34040019,ผ้าปิดจมูกแบบกระดาษ (1*50)/กล่อง,ผ้าปิดจมูกแบบกระดาษ (1*50)/กล่อง,BOX,,,150,,,,A,7,,
