SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'31000106,SHAWER CAP-หมวกคลุมผมแบบตัวหนอน(100ชิ้นต่อแพ็ค),หมวกคลุมผมแบบตัวหนอน(1*100)/แพ็ค,SET,,,93.46,,,,A,7,,
'32000015,RUBBER GLOVE WHITE POWDERD SIZE M(100P/BOX),ถุงมือยางอนามัยสีขาวแบบมีแป้งไซด์M (100ชิ้น/กล่อง),BOX,,,88.79,,,,A,7,,
'34040009,PARACETAMAL SMALL (1*100)/8852978001150,ยาพาราแซนตามอล(1*100เม็ด)/8852978001150,BTL,,,126.17,,,,A,7,,
'34040010,"FIRST AID TAPE 0.5"" ( 8850304002604 )",เทปใสแต่งแผล  1/2 นิ้ว,PCS,,,18.69,,,,A,7,,
'34040011,TENSOPLAST (1*100)/(8850672210014),พลาสเตอร์ยา(1*100)/(8850672210014),BOX,,,70.1,,,,A,7,,
'34040013,BETADINE 15CC.(8850336100088),เบตาดีน  15ซีซี.(8850336100088),BTL,,,51.4,,,,A,7,,
'34040018,หน้ากากอนามัย 3 ชั้น( 1*50)/8859095901363,หน้ากากอนามัย 3 ชั้น( 1*50)/8859095901363,BOX,,,56.07,,,,A,7,,
'34040019,ผ้าปิดจมูกแบบกระดาษ (1*50)/กล่อง,ผ้าปิดจมูกแบบกระดาษ (1*50)/กล่อง,BOX,,,56.07,,,,A,7,,
'34040021,SALINE SOLUTION 100ML.(8854060615016),น้ำเกลือล้างแผล 100 มล.(8854060615016),BTL,,,26.17,,,,A,7,,
'34040029,COTTON FABRIC 40G.(1*100)/(8850185000331),สำลีตรารถพยาบาล 40ก.(1*100)/(8850185000331),PACK,,,18.69,,,,A,7,,
'34040046,WATERPROOF TRANSPARENT-SOS PLUS T1 2.5*5.6CM.10P,พลาสเตอร์ปิดแผลกันน้ำ SOS PLUS/T1 2.5*5.6CM.(1*10)/แพ็ค,BOX,,,28.04,,,,A,7,,
'34040047,WATERPROOF TRANSPARENT-SOS PLUS T2 6*7CM.3P,พลาสเตอร์ปิดแผลกันน้ำ SOS PLUS/T2 6*7CM.(1*3)/แพ็ค,PACK,,,32.71,,,,A,7,,
34040012,PONSTAN,ยาแก้ปวดประจำเดือน,PACK,,,,,,,,,,
