SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'41110001,CHLORINE SEED 90 % 50 KG,คลอรีนเม็ด 90 % 50 KG,TANK,,,3800,,,,A,7,,
'41110002,FILLER POWER FOR SWIMMING POOL 20KG,ผงกรองสระน้ำ 20 KG,SACK,,,850,,,,A,7,,
'41110005,WATER CLORINE 12%,คลอรีนน้ำความเข้มข้น 12% ขนาด 20 ลิตร,TANK,,,180,,,,A,7,,
'41110013,HYDROCHLORIC ACID 35 % 20KG,กรดเกลือ 35 % 20 กก.,TANK,,,350,,,,A,7,,
'41110016,WATER ALUM CUBE  30KG.,สารส้มแบบก้อนขนาด 30 กก.,SACK,,,,,,,A,7,,
'41110022,ตรวจวิเคราะห์น้ำ,ตรวจวิเคราะห์น้ำ(สระว่ายน้ำ),SET,,,,,,,A,7,,
'41110023,น้ำยาเช็คค่า PH,น้ำยาเช็คค่า PH,BTL,,,180,,,,A,7,,
'41110024,น้ำยาเช๊คค่าคลอรีน,น้ำยาเช็คค่าคลอรีน,BTL,,,180,,,,A,7,,
'41110027,น้ำยาปรับสภาพน้ำ(เอ็กตร้า เคลีร์ย) 18 ลิตร/ถัง,น้ำยาปรับสภาพน้ำ(เอ็กตร้า เคลีร์ย) 18 ลิตร/ถัง,TANK,,,350,,,,A,7,,
'32000085,NYLON BRUSH WITH HANDLE,แปรงถูพื้นไนลอน ด้ามพลาสติกยาว,PCS,,,,,,,A,7,,
'31000003,HAND SOAP LIQUID 3.8L( สีขาวมุก/ชมพูมุก ),สบู่เหลวล้างมือ 3.8 L ( สีขาวมุก/ชมพูมุก ),GAL,,,,,,,A,7,,
'32000005,EMEREL CREME CLEANSER 32OZ,ครีมขัดสแตนเลสขนาด 32 ออนซ์,BTL,,,,,,,A,7,,
'41080042,COCONUT PLAM BROOM(NOT CUT),ไม้กวาดก้านมะพร้าว(ไม่ตัดปลาย),Pcs,,,,,,,A,7,,
'32000020,SOFT BROOM(BAMBOO HANDLE),ไม้กวาดดอกอ้อด้ามไม้ไผ่,PCS,,,,,,,A,7,,
'32000032,NILON BRUSH HANDLE IRON,แปลงขัดห้องน้ำหลังเตารีด,PCS,,,,,,,A,7,,
