SKU#,Description,Local Description,Unit,Qty From,QtyTo, Quote Price ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12000016,KIWI FRUIT (1x6)(192259),กีวี (1x6)(192259),PCS,,, 93.50 ,,,,N,0,,
'12010029,ROSEMARY LEAF (31538),ใบโรสแมรี่สด(31538),KG,,, 89.25 ,,,,N,0,,
'13000001,JUICE APPLE MALEE 1L.(1x3)/(757822),น้ำผลไม้-แอปเปิ้ลมาลี 1 ลิตร(1x3)/(757822),PACK,,, 205.10 ,,,,A,7,,
'13000002,JUICE APPLE TIPCO 1L.(1x3)/(438113),น้ำผลไม้-แอปเปิ้ลทิปโก้ 1 ลิตร(1x3)/(438113),PACK,,, 190.38 ,,,,A,7,,
'13000014,JUICE  PINEAPPLE TIPCO 970ML.(1x3)/(438100),น้ำผลไม้-น้ำสับปะรดทิปโก้ 970 มล.(1x3)/(438100),PACK,,, 190.38 ,,,,A,7,,
'13000033,JUICE PINEAPPLE UFC 1L. (1x3)/(111543),น้ำผลไม้-สับประรดยูเอฟซี 1ล.(1x3)/(111543),PACK,,, 174.68 ,,,,A,7,,
'14000001,COOKING AND BAKERIES CARNATION 450ก.(1x3)/(24388),นมข้นจืดสำหรับทำอาหารคาร์เนชั่น 450ก.(1x3)/(24388),PACK,,, 156.03 ,,,,A,7,,
'14000003,MILK FALCON 368ML.(1x6)/(104517),นมข้นจืดนกเหยี่ยว 368มล.(1x6)/(104517),PACK,,, 58.88 ,,,,A,7,,
'14000007,MILK SWEET CONDENSED CANATION 380G.(1x6)(829604),นมข้นหวานคาร์เนชันพลัส 380ก.(1x6)/(829604),PACK,,, 157.01 ,,,,A,7,,
'14000008,MILK UNSWEET CANATION 405G.(1x6)/(24388),นมจืดคาเนชั่น 405ก.(1x6)/(24388),PACK,,, 156.03 ,,,,A,7,,
'14000009,SWEETENED CREAMER CARNATION 388G.(1x6)/(24700),ครีมเทียมข้นหวานคาร์เนชัน 388ก.(1x6)/(24700),PACK,,, 147.20 ,,,,A,7,,
