SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
32000002,FURNITURE WAX(DEEP GLOSS) 4*3.8L,น้ำยาเช็ดเฟอร์นิเจอร์ 1*4*3.8 ลิตร,GAL,,,510,,,,A,7,,
'32000010,OVEN & HOT PLATE ( 3 x 5 L.),น้ำยาขจัดคราบไหม้เกรียมไขมันเตาทอด (3 x 5 ลิตร),CASE,,,1500,,,,A,7,,
'32000011,RINSE DRY 20L.,ผลิตภัณฑ์ที่ช่วยในการเคลือบแห้ง 20 ลิตร,TANK,,,2300,,,,A,7,,
'32000012,RINSE DRY 5L.,น้ำยาเคลือบแห้งภาชนะ(รินท์ ดราย) 5 ลิตร,GAL,,,950,,,,A,7,,
'32000029,CHLOR-DET  20 L.,น้ำยาล้างจานด้วยเครื่อง(คลอร์เดท) 20 ลิตร,TANK,,,1400,,,,A,7,,
'32000030,LIME LIQUID 20L.,น้ำยาทำความสะอาดภาชนะด้วยมือ 20 ลิตร,TANK,,,520,,,,A,7,,
'32000031,MULTI -DC 3.75L.,น้ำยาทำความสะอาดครบไขมันและฆ่าเชื้อ 3.75 ลิตร,GAL,,,480,,,,A,7,,
'32000062,CHLOR-DET 20 L.,น้ำยาสำหรับเครื่องล้างจานอัตโนมัติ 20 ลิตร,TANK,,,1400,,,,A,7,,
'32000063,CLEAR GLASS WASH 3*5L./CASE,น้ำยาล้างแก้วด้วยเครื่อง 3*5L./ลัง,CASE,,,1400,,,,A,7,,
32000083,,,TANK,,,1600,,,,A,7,,
'32000065,DISINFECTANT DEODORIZER3M-3.8L/207107,น้ำยาทำความสะอาดฆ่าเชื้อดับกลิ่น3M-3.8 ลิตร/207107,GAL,,,,,,,A,7,,
'32000066,DURAGLOS 4*3.8L,ผลิตภัณฑ์เคลือบเงาพื้นดูรากลอส 4*3.8 ลิตร,CASE,,,,,,,A,7,,
'32000068,ECOLAB GLASS CLAENER 2*2L.,ผลิตภัณฑ์ล้างเช็ดกระจกขนาด 2*2 ลิตร,CASE,,,,,,,A,7,,
'32000069,ELEGANCE 3.75 LT,น้ำยาทำความสะอาดพื้นฆ่าเชื้อ 3.75 ลิตร,GAL,,,350,,,,A,7,,
32000003,,,GAL,,,650,,,,A,7,,
