SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'40010001,ELECTRIC TAPE(BLACK COLOUR)-3M,เทปพันสายไฟสีดำ ยี่ห้อ 3 เอ็ม,ROLL,,,16,,,,A,7,,
'40010002,GLUE HOT BROVO 20G.,กาวร้อนตราโบโว 20G.,PCS,,,35,,,,A,7,,
'40010091,SET HOSES PAY CHROME ( KARAT)# BW01-50,ชุดสายฉีดชำระชุปโครเมี่ยม KARAT# BW01-50,SET,,,,,,,A,7,,
'40010150,ชุดฝักบัวสายอ่อน3Fพร้อมสายและขอแขวน F46306-CHADY-HS,ชุดฝักบัวสายอ่อน3Fพร้อมสายและขอแขวน F46306-CHADY-HS,SET,,,,,,,A,7,,
'40010182,สะดืออ่างอาบน้ำป๊อบอัฟ รุ่น A-1841,สะดืออ่างอาบน้ำป๊อบอัฟ รุ่น A-1841,PCS,,,,,,,A,7,,
'40010183,สายฉีดชำระสีขาว SS03 ,สายฉีดชำระสีขาว SS03 ,PCS,,,,,,,A,7,,
'41010011,AERO TAPE,เทปหุ้มท่อแอร์ AEROTAPE,ROLL,,,,,,,A,7,,
'41040004,KEY TAG SAVETECH M/303A30A(MICROSWITCH),คีย์บ๊อกแนวนอนยี่ห้อเซฟเทค(แบบไมโครสวิทซ์),PCS,,,,,,,A,7,,
'43030003,LED DAYLIGHT T818W 120CM.6500K ,LED DAYLIGHT T818W 120CM.6500K ,PCS,,,75,,,,A,7,,
'43030012,หลอด LED 9W(Warm)70WE27#PHILIPS,หลอด LED 9W(Warm)70WE27#PHILIPS,PCS,,,63,,,,A,7,,
'43030041,PHILIPS PL-L 36W/830 WW,หลอดไฟ PL-L 36W/830 WW (ใช้ในลิฟต์),PCS,,,215,,,,A,7,,
'31000021,ถ่านแบตเตอร์รี่(AA)-อัลคาไลน์ ยี่ห้อพานาโซนิค 1*8/แพ็ค,ถ่านแบตเตอร์รี่(AA)-อัลคาไลน์ ยี่ห้อพานาโซนิค 1*8/แพ็ค,PCS,,,24.5,,,,A,7,,
'31000023,DRY BATTERY - AAA - ALKALINE Panasonic,ถ่านแบตเตอร์รี่ AAA อัลคาไลน์ ยี่ห้อพานาโซนิค,PCS,,,24.5,,,,A,7,,
