SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'22140004,SAENG SOME 70 CL,· ß‚ ¡ 70 CL,BTL,,,279,,,,A,7,,
'20000010,SPRITE PLASTIC BTL 1.25 L. (1x12) (358930),SPRITE PLASTIC BTL 1.25 L. (1x12) (358930),PACK,,,307,,,,A,7,,
'20000006,SCHWEPPES GINGER ALE CAN 330 ML. (1x24) (146882),SCHWEPPES GINGER ALE CAN 330 ML. (1x24) (146882),TRAY,,,314,,,,A,7,,
'20000007,SCHWEPPES TONIC WATER CAN 330 ML. (1x24) (146879),SCHWEPPES TONIC WATER CAN 330 ML. (1x24) (146879),TRAY,,,314,,,,A,7,,
'20000016,SCHWEPPES SODA WATER CAN 330 ML. (1x24) (146880),SCHWEPPES SODA WATER CAN 330 ML. (1x24) (146880),TRAY,,,314,,,,A,7,,
'20000013,COKE ZERO CAN 325 ML. (1x24) (100511),‚§È°´’‚√Ë(°√–ªÎÕß) 325¡≈.(1x24)/(100511),TRAY,,,323,,,,A,7,,
'20000009,SPRITE CAN 325 ML. (1x24) (358839),SPRITE CAN 325 ML. (1x24) (358839),TRAY,,,341,,,,A,7,,
'22140003,MEKHONG 70 CL,MEKHONG 70 CL,BTL,,,384,,,,A,7,,
'22140002,REGENCY 350 ML. (153761),√’‡®π´’(¢«¥·∫π) 350¡≈.(153761),BTL,,,440,,,,A,7,,
'22020008,H.W.BLUE CURACAO 75 CL,H.W.BLUE CURACAO 75 CL,BTL,,,538,,,,A,7,,
'22080002,SMIRNOFF VODKA 70 CL. (107967),SMIRNOFF VODKA 70 CL. (107967),BTL,,,564,,,,A,7,,
'22020006,H.W. CREAM DE BANANA 75 CL,H.W. CREAM DE BANANA 75 CL,BTL,,,570,,,,A,7,,
'22020009,H.W.ORANGE CURACAO 75 CL,H.W.ORANGE CURACAO 75 CL,BTL,,,570,,,,A,7,,
'22010001,H.W.PEACH BRANDY 75 CL,H.W.PEACH BRANDY 75 CL,BTL,,,588,,,,A,7,,
'22010004,H.W.CHERRY BRANDY 75 CL. (185902),H.W.CHERRY BRANDY 75 CL. (185902),BTL,,,588,,,,A,7,,
'22150009,BALLANTINE'S FINEST 70 CL,BALLANTINE'S FINEST 70 CL,BTL,,,631,,,,A,7,,
'22150003,JIM BEAM 70 CL. (210498),JIM BEAM 70 CL. (210498),BTL,,,645,,,,A,7,,
'22150004,JOHNNIE RED LABEL 70 CL. (113126),JOHNNIE RED LABEL 70 CL. (113126),BTL,,,646,,,,A,7,,
'22130001,CAPTAIN MORGAN BLACK 75 CL. (124117),CAPTAIN MORGAN BLACK 75 CL. (124117),BTL,,,693,,,,A,7,,
'22080003,ABSOLUTE VODKA 70 CL. (176697),ABSOLUTE VODKA 70 CL. (176697),BTL,,,695,,,,A,7,,
'24010001,RED WINE FOR COOKING GOSSIPS 3 L. (836004),‰«∑Ï·¥ßª√ÿßÕ“À“√°Õ ´‘∫ 3 ≈‘µ√(836004),BOX,,,745,,,,A,7,,
'22130003,MALIBU 70 CL. (151225),MALIBU 70 CL. (151225),BTL,,,748,,,,A,7,,
'22120003,BACARDI WHIITE RUM 75 CL. (933478),BACARDI WHIITE RUM 75 CL. (933478),BTL,,,755,,,,A,7,,
'22020013,SOUTHERN COMFORT 75 CL,SOUTHERN COMFORT 75 CL,BTL,,,795,,,,A,7,,
'22090002,SIERRA TEQUILA SILVER 70 CL. (166613),SIERRA TEQUILA SILVER 70 CL. (166613),BTL,,,800,,,,A,7,,
'21010013,SAN MIGUEL SMALL BTL 330 ML. (1x24),SAN MIGUEL SMALL BTL 330 ML. (1x24),CASE,,,965,,,,A,7,,
'22000002,MARTINI BIANCO 100 CL. (184495),MARTINI BIANCO 100 CL. (184495),BTL,,,965,,,,A,7,,
'22000003,MARTINI EXTRA DRY 100 CL,MARTINI EXTRA DRY 100 CL,BTL,,,965,,,,A,7,,
'22000004,ANGOSTURA AROMATIC BITTERS 200 ML.,ANGOSTURA AROMATIC BITTERS 200 ML.,BTL,,,972,,,,A,7,,
'22150002,JAMESON WHISKY 70 CL. (105149),JAMESON WHISKY 70 CL. (105149),BTL,,,1018,,,,A,7,,
'22100004,TANQUERAY GIN 75 ML,TANQUERAY GIN 75 ML,BTL,,,1059,,,,A,7,,
'22100003,BOMBAY GIN 75 CL,BOMBAY GIN 75 CL,BTL,,,1060,,,,A,7,,
'22150001,JACK DANIEL'S 70 CL. (184603),JACK DANIEL'S 70 CL. (184603),BTL,,,1149,,,,A,7,,
'22000001,CAMPARI BITTER 75 CL. (158697),CAMPARI BITTER 75 CL. (158697),BTL,,,1215,,,,A,7,,
'22150008,CHIVAS REGEL 70 CL,CHIVAS REGEL 70 CL,BTL,,,1253,,,,A,7,,
'22020010,MIDORI MELON LIQUEUR 70 CL,MIDORI MELON LIQUEUR 70 CL,BTL,,,1288,,,,A,7,,
'22020005,D.O.M BENEDICTINE LIQUEUR 70 CL,D.O.M BENEDICTINE LIQUEUR 70 CL,BTL,,,1669,,,,A,7,,
