SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#
'15050002,FLOUR KITE 1KG.( 1x10 )/(184647),แป้งสาลี ตราว่าว 1 กก.( 1x10 )/(184647),KG,,,40,,,,A,7,
'15010032,KIDNEY BEANS 500G.(830331),ถั่วแดงหลวง 500ก.(830331),BAG,,,60,,,,A,7,
'15010049,RAJMAH RED 500 G. (106384),ถั่วแดง 500ก.(106384),BAG,,,60,,,,A,7,
'15010051,SEMOLINA SUJI RAJDHANI 500G.(145814),แป้งข้าวสาลีอินเดียซูจีราชดรานี  500ก.(145814),BAG,,,60,,,,A,7,
'15010056,TUR DAL ALPINE 500G. (106334),ถั่วเหลืองผ่าซีกอัลไพน์ 500ก.(106334),BAG,,,60,,,,A,7,
'15010093,BLACK DAL ALPINE 500G.(106371),ถั่วดำอินเดียอัลไพน์ 500ก.(106371),BAG,,,60,,,,A,7,
'15050007,FLOUR GRAM BESAN 500G.(109277),แป้งถั่วลูกไก่ เบซัน 500ก.(109277),BAG,,,60,,,,A,7,
'15010041,PAPAD LIJJAT 200G.(157371),แผ่นแป้งปาปาดัมลิจัท 200ก.(157371),BAG,,,70,,,,A,7,
'15000022,MASALA TEA EVEREST 100G.,MASALA TEA EVEREST 100 G.,BOX,,,75,,,,A,7,
'15060001,MASALA POWDER MDH 100G.,มาซาลาผง-ไก่เอ็มดีเอช 100ก.,BAG,,,75,,,,A,7,
'15060007,MASALA BOMBAY BIRYANI MDH 100G.(156882),มาซาลาผง-BOMBAY BIRYANI MDH 100G.(156882),BOX,,,75,,,,A,7,
'15060008,MASALA CHANA MDH 100G.,มาซาลาผง-CHANA MDH 100G.,BOX,,,75,,,,A,7,
'15060011,MASALA PANI PURI MDH 100G.,มาซาลาผง-PANI PURI MDH 100G.,BOX,,,75,,,,A,7,
'15060013,MASALA RAJAMA MDH 100G.,มาซาลาผง-RAJAMA MDH 100G.,BOX,,,75,,,,A,7,
'15060023,MASALA CHUNKY CHAT MDH 100G.(156959),มาซาลาผง-CHUNKY CHAT MDH 100G.(156959),BOX,,,75,,,,A,7,
'15060029,MEAT MASALA MDH 100 G.(102561),MASALA MEAT MASAL MDH 100G. (102561),BOX,,,75,,,,A,7,
'15060031,SAMBER MASALA(MDH)100G.,มาซาลาผง-SAMBER(MDH)100G.,BOX,,,75,,,,A,7,
'15130013,MASALA KITCHEN KING MDH 100G.(159450),มาซาลาผง-KITCHEN KING MDH 100G.(159450),BOX,,,75,,,,A,7,
'15130030,DEGGI MIRCH  MDH 100G.(102558),พริกบดอินเดีย เอ็มดีเอช 100ก.(102558),BOX,,,75,,,,A,7,
'15130033,AMCHUR POWDER MDH 100G.,AMCHUR POWDER MDH 100G.,BOX,,,75,,,,A,7,
'15130054,MDH DEGGI MIRCH 100G.(102558),DEGGI MIRCH MDH  100G.(102558),BOX,,,75,,,,A,7,
'15010017,CHANA DAL ALPINE 500G.(106375),ถั่วลูกไก่ผ่าซีกอัลไพน์ 500ก.(106375),BAG,,,80,,,,A,7,
'15010021,CHICK PEA  500G.(862283),ถั่วลูกไก่ขาว 500ก.(862283),BAG,,,80,,,,A,7,
'15010035,RICE FLATENED POHA MOTA  RAJDHANI 500 G. (145815),ข้าวเม่าอินเดียราชดรานี 500ก.(145815),BAG,,,90,,,,A,7,
'15060025,GARAM MASALA MDH 100G.(159507),มาซาลาผง-การัมเอ็มดีเฮช 100ก.(159507),BOX,,,90,,,,A,7,
'15060028,MDH GARAM MASALA 100G.(159507),MASALA GARAM MDH 100G.(159507),BOX,,,90,,,,A,7,
'15130003,BAY LEAVES MCCORMICK 56G.(184744),ใบเบย์ แม็คคอร์มิค 56ก.(184744),BTL,,,90,,,,A,7,
