SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,
'10020003,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,27,,,,N,0,,,
'10020004,CHICKEN BREAST PACK 2KG.,อกไก่ลอกหนัง 2 กก.,KG,,,73,,,,N,0,,,
'10020011,CHICKEN TOP ROUND WITH SKIN SLICE (2KG.),สะโพกไก่ติดหนังสไลด์(2กก.),KG,,,63,,,,N,0,,,
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,,,65,,,,N,0,,,
'10020018,CHICKEN WINGS UP (Halan) 2KG.(893188),ปีกไก่บนฮาลาล 2 กก.(893188),KG,,,84,,,,N,0,,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,,174,,,,N,0,,,
'10010016,PORK BELLY SLICED,หมูสามชั้น(หั่น),KG,,,174,,,,N,0,,,
'10010005,PORK HIP SLICED,หมูเนื้อแดงหั่น,KG,,,114,,,,N,0,,,
'10010019,PORK LOIN,หมูสันนอก,KG,,,132,,,,N,0,,,
'10010010,PORK TENDERLOIN,สันในหมู,KG,,,145,,,,N,0,,,
'10010011,PORK TOP ROUND,สะโพกหมู,KG,,,114,,,,N,0,,,
'10010024,หมูสามชั้นแผ่นมันบางๆ,หมูสามชั้นแผ่นมันบางๆ,KG,,,174,,,,N,0,,,
'10010025,หมูสามชั่นหั่นเต๋า,หมูสามชั่นหั่นเต๋า,KG,,,174,,,,N,0,,,
'10010026,หมูสามชั้นหั่นเส้นยาว,หมูสามชั้นหั่นเส้นยาว,KG,,,174,,,,N,0,,,
