SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'10020003,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,25,,,,N,0,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,,56,,,,N,0,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,,68,,,,N,0,,
'10020011,CHICKEN TOP ROUND WITH SKIN SLICE (2KG.),สะโพกไก่ติดหนังสไลด์(2กก.),KG,,,68,,,,N,0,,
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,,,68,,,,N,0,,
'10020016,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,,69,,,,N,0,,
'10020005,CHICKEN DRUM STICKS 2KG.,น่องไก่ล้วน 2 กก.,KG,,,77,,,,N,0,,
'10020004,CHICKEN BREAST PACK 2KG.,อกไก่ลอกหนัง 2 กก.,KG,,,78,,,,N,0,,
'10020017,CHICKEN DRUM STICK WITH SIDE,น่องไก่ติดสะโพก,KG,,,78,,,,N,0,,
'10020018,CHICKEN WINGS UP (Halan) 2KG.(893188),ปีกไก่บนฮาลาล 2 กก.(893188),KG,,,78,,,,N,0,,
'17020003,ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),KG,,,78,,,,N,0,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,80,,,,N,0,,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,,,82,,,,N,0,,
'10010007,PORK MEAT GROUND B,หมูบดเกรด B ปนมัน 20%,KG,,,85,,,,N,0,,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,,,85,,,,N,0,,
'10020010,CHICKEN TOP ROUND  WITH SKIN 2 KG.,สะโพกไก่ติดหนังเลาะกระดูก 2 กก.,KG,,,85,,,,N,0,,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,,,95,,,,N,0,,
'10050031,CHICKEN SAUSAGE,ไส้กรอกไก่รมควัน(หนังกรอบ) 1000ก.,KG,,,95,,,,N,0,,
'10050032,"CHICKEN SAUSAGE 3"" GF",ไส้กรอกไก่(จีเอฟ),KG,,,112,,,,N,0,,
'10010005,PORK HIP SLICED,หมูเนื้อแดงหั่น,KG,,,113,,,,N,0,,
'10010011,PORK TOP ROUND,สะโพกหมู,KG,,,115,,,,N,0,,
'10010019,PORK LOIN,หมูสันนอก,KG,,,125,,,,N,0,,
'10020009,CHICKEN TOP ROUND  WITH OUT BONE&SKIN,สะโพกไก่ลอกหนังเลาะกระดูก,KG,,,125,,,,N,0,,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,,128,,,,N,0,,
'10050029,CHICKEN HAM GSB 1KG.(150711),ไก่แผ่นรมควันจีเอสบี 1 กก.(150711),KG,,,130,,,,N,0,,
'10010010,PORK TENDERLOIN,สันในหมู,KG,,,140,,,,N,0,,
'10050007,"CHICKEN SAUSAGE FRESH 3.5"" 1KG.",ไส้กรอกไก่สด 3.5 นิ้ว 1 กก.,KG,,,140,,,,N,0,,
'10050025,BACON SMOKED SLIED AA B&B 1KG.,เบคอนสไลด์ เอเอบีแอนบี 1 กก.,KG,,,140,,,,N,0,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,,174,,,,N,0,,
'10010016,PORK BELLY SLICED,หมูสามชั้น(หั่น),KG,,,174,,,,N,0,,
'10010024,หมูสามชั้นแผ่นมันบางๆ,หมูสามชั้นแผ่นมันบางๆ,KG,,,174,,,,N,0,,
'10010025,หมูสามชั่นหั่นเต๋า,หมูสามชั่นหั่นเต๋า,KG,,,178,,,,N,0,,
'10010026,หมูสามชั้นหั่นเส้นยาว,หมูสามชั้นหั่นเส้นยาว,KG,,,178,,,,N,0,,
'10050011,"POKR FRESH  SAUSAGE 3.5""",ไส้กรอกหมูสด 3.5 นิ้ว,KG,,,205,,,,N,0,,
'10000006,BEEF MEAT GROUND,เนื้อไทยบด,KG,,,225,,,,N,0,,
'10000002,BEEF TENDERLOIN LOCAL,เนื้อสันในวัวไทย,KG,,,290,,,,N,0,,
