SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'16010005,HA KAO SHRIMP(1x40),ฮะเก๋ากุ้ง(1x40),PACK,,,365,,,,A,7,,,,,,,
'14020009,CHEESE EDAM BALL 1-2 KG.(9040802),อีดัมชีสบอล 1-2 กก./ลูก(9040802),KG,,,410,,,,A,7,,,,,,,
'14020019,CHEESE EDAM BLOCK 2.8-3.2 KG.,อีดัมชีสบล็อก 2.8-3.2 กก.,KG,,,360,,,,N,0,,,,,,,
17020004,อกไก่ลอกหนังสไลด์(เบทาโกร),อกไก่ลอกหนังสไลด์(เบทาโกร),KG,,,68,,,,N,0,,,,,,,
'10020004,CHICKEN BREAST PACK 2KG.,อกไก่ลอกหนัง 2 กก.,KG,,,78,,,,N,0,,,,,,,
'10020015,อกไก่รมควัน,อกไก่รมควัน,KG,,,355,,,,N,0,,,,,,,
'10020020,CHICKEN BREAST WITH SKIN SLICE,อกไก่ติดหนังสไลด์,KG,,,66,,,,N,0,,,,,,,
'10020016,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,,68,,,,N,0,,,,,,,
'10020021,CHICKEN BREAST WITH WING,อกไก่ติดปีก,KG,,,115,,,,N,0,,,,,,,
'10030002,SMOKED DUCK BREAST 1 กก.,อกเป็ดรมควัน 1 กก.,KG,,,570,,,,N,0,,,,,,,
'10030001,SKINED DUCK MEAT BB1 1KG.,อกเป็ดเนื้อติดหนัง(BB1) 1 กก.,KG,,,285,,,,N,0,,,,,,,
'17030001,SKINED DUCK MEAT BB2 1 KG.,อกเป็ดเนื้อติดหนัง BB2 1 กก.,KG,,,285,,,,N,0,,,,,,,
'10010026,หมูสามชั้นหั่นเส้นยาว,หมูสามชั้นหั่นเส้นยาว,KG,,,158,,,,N,0,,,,,,,
'10010025,หมูสามชั่นหั่นเต๋า,หมูสามชั่นหั่นเต๋า,KG,,,158,,,,N,0,,,,,,,
'10010024,หมูสามชั้นแผ่นมันบางๆ,หมูสามชั้นแผ่นมันบางๆ,KG,,,155,,,,N,0,,,,,,,
'10010016,PORK BELLY SLICED,หมูสามชั้น(หั่น),KG,,,150,,,,N,0,,,,,,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,,158,,,,N,0,,,,,,,
'10010014,PORK CHOP,หมูสันนอกติดกระดูก,KG,,,315,,,,N,0,,,,,,,
'10010019,PORK LOIN,หมูสันนอก,KG,,,120,,,,N,0,,,,,,,
'10010007,PORK MEAT GROUND B,หมูบดเกรด B ปนมัน 20%,KG,,,78,,,,N,0,,,,,,,
'10010008,PORK MINCED A,หมูบดเกรด A,KG,,,128,,,,N,0,,,,,,,
'10050022,HAM(PORK),หมูแฮม,KG,,,225,,,,N,0,,,,,,,
'10010005,PORK HIP SLICED,หมูเนื้อแดงหั่น,KG,,,110,,,,N,0,,,,,,,
