SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'FD100004,BEEF BONE CUT,กระดูกวัวตัด,KG,,,1,,,,N,0,,
'FD100006,BEEF TENDERLOIN LOCAL,เนื้อสันในวัวไทย,KG,,,2,,,,N,0,,
'FD100007,BEEF TOP ROUND,เนื้อสะโพกวัวไทย,KG,,,3,,,,N,0,,
'FD100018,GRASS FED AUS. FRPZEN BEEF MINCE 3 KG.,เนื้อบดออสเตรเลีย 3 กก.,KG,,,4,,,,N,0,,
'FD100037,เนื้อน่องลาย,เนื้อน่องลาย,KG,,,5,,,,N,0,,
'FD100040,BEEF MEAT GROUND,เนื้อไทยบด,KG,,,6,,,,N,0,,
'FD100041,BEEF TENDERLOIN LOCAL (AAA),เนื้อสันในวัวโคขุนแต่ง,KG,,,7,,,,N,0,,
'FD100053,BEEF BONE LOCAL,กระดูกวัว,KG,,,8,,,,N,0,,
'FD100054,BEEF STRIPLON LOCAL,เนื้อสันนอกวัวไทย,KG,,,9,,,,N,0,,
'FD100094,SRIPLOPN AUS EBONY PRIME MB4-5 GRAINFED 5-7.5KG/PCS,เนื้อสันนอกออสเตรเลียเกรด MB4-5/5-7.5กก./ชิ้น,KG,,,10,,,,N,0,,
'FD171278,RIBEYE AUS EBONY CHOICE 5-8 KG.,เนื้อริบอายออสสเตรเลีย 5-8 กก.,KG,,,11,,,,N,0,,
'FD100023,PORK BELLY,หมูสามชั้น,KG,,,12,,,,N,0,,
'FD100024,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,,13,,,,N,0,,
'FD100026,PORK CHOP S-PURE,หมูสันนอกติดกระดูก(ทั้งเส้น),KG,,,14,,,,N,0,,
