SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,
'12010040,LEMONGRASS,ตะไคร้,PCS,,,1,,,,N,0,,,
'14060007,QUAIL EGG 50 PCS(132312),ไข่นกกระทาดิบ 50 ฟอง(132312),PCS,,,2,,,,N,0,,,
'12000017,LEMON FRUIT,มะนาวแป้น(ผิวสวยๆ),PCS,,,5,,,,N,0,,,
'12010100,KAFFIRLIME,ลูกมะกรูด,PCS,,,5,,,,N,0,,,
'14060006,EGG SALTED,ไข่เค็มดิบ,PCS,,,8,,,,N,0,,,
'14060003,BOILED EGG SALTED,ไข่เค็มสุก,PCS,,,8,,,,N,0,,,
'14060005,DUCK EGG,ไข่เป็ด,PCS,,,8,,,,N,0,,,
'14060004,CENTURY EGG,ไข่เยี่ยวม้า,PCS,,,9,,,,N,0,,,
'15150007,BEAN CURE YELLOW,เต้าหู้เหลืองแผ่น,PCS,,,10,,,,N,0,,,
'15150002,BEAN CURD WHITE,เต้าหู้ขาวแผ่น,PCS,,,10,,,,N,0,,,
'15150001,BEAN CURD TUBE  EGG,เต้าหู้หลอดไข่,PCS,,,10,,,,N,0,,,
16020020,ขนมเต่าโบราณ(อังกู๊),ขนมเต่าโบราณ(อังกู๊),Pcs,,,10,,,,N,0,,,
16020018,ขนมถ้วยฟู(ฮวดโก้ย),ขนมถ้วยฟู(ฮวดโก้ย),Pcs,,,10,,,,N,0,,,
'16020017,ขนมสอดไส้,ขนมสอดไส้,PCS,,,10,,,,N,0,,,
15150013,เต้าหู้แผ่นขาว(ห่อใบตอง),เต้าหู้แผ่นขาว(ห่อใบตอง),Pcs,,,11,,,,N,0,,,
'12010141,MANGO CREST,ยอดมะม่วงหิมพานต์,BUNDLE,,,15,,,,N,0,,,
'12010084,YOD MUN POO,ยอดมันปู,BUNDLE,,,15,,,,N,0,,,
'15060020,เคยปลา,เคยปลา,PACK,,,15,,,,N,0,,,
'12000001,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),PCS,,,15,,,,N,0,,,
16020019,ขนมเข่ง,ขนมเข่ง,Pcs,,,15,,,,N,0,,,
'16020006,KANOM  POOYFAI,ขนมปุยฝ้าย,PCS,,,15,,,,N,0,,,
'12010005,BEANSPROUTS CLEANED,ถั่วงอก,KG,,,16,,,,N,0,,,
'12010047,MARROW VAGETABLE,ฟักเขียว,KG,,,17,,,,N,0,,,
