SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12000001,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),PCS,,,13,,,,N,0,,
'12000002,APPLE RED,แอปเปิ้ลแดง(6 ลูก/กก.),PCS,,,15,,,,N,0,,
'12000030,แตงโมกินรี,แตงโมกินรี,KG,,,16.5,,,,N,0,,
'12000015,JINTARA WATERMELON,แตงโมจินตรา,KG,,,16.5,,,,N,0,,
'12000016,KIWI FRUIT ,กีวี ,PCS,,,22,,,,N,0,,
'12000024,PAPAYA HONLAND,มะละกอฮอลแลนด์,KG,,,26,,,,N,0,,
12000091,มะพร้าวอ่อน(ทะลาย),มะพร้าวอ่อน(ทะลาย),EA,,,28.5,,,,,,,
'12000027,PINEAPPLE SRIRACHA ,สับปะรดศรีราชา/ปัตตาเวีย,KG,,,35,,,,N,0,,
'12000057,ORANGE LOCAL NO.1,ส้มเขียวหวาน เบอร์ 1,KG,,,37,,,,N,0,,
'12000019,MANGO,มะม่วงดิบ,KG,,,39,,,,N,0,,
'12000058,ORANGE LOCAL NO.O,ส้มเขียวหวาน เบอร์ 0,KG,,,40,,,,N,0,,
'12000067,TONGDEE POMELO 1 PCS. ,ส้มโอทองดี 1 ลูก.,PCS,,,40,,,,N,0,,
'12000013,GUAVA FRUIT-กิมจู,ฝรั่งกิมจู,KG,,,42,,,,N,0,,
'12000035,CANTALOUP ORANGE,แคนตาลูปส้ม,KG,,,43,,,,N,0,,
'12000056,ORANGE LOCAL,ส้มสายน้ำผึ้ง,KG,,,45,,,,N,0,,
'12000040,AVOCADO(EACH),อโวคาโด(ลูก),PCS,,,45,,,,N,0,,
'12000008,DRAGON FRUIT,แก้วมังกรขาว,KG,,,48,,,,N,0,,
'12000041,BANANA FINGER,กล้วยเล็บมือนาง,BUNCH,,,50,,,,N,0,,
'12000047,DRAGON FRUIT 3 PCS,แก้วมังกรขาว(ขอ3ลูกผลไม้ไหว้ศาล),KG,,,50,,,,N,0,,
'12000003,BANANA EGGS,กล้วยไข่,BUNCH,,,55,,,,N,0,,
'12000050,JUJUBE,พุทรา,KG,,,55,,,,N,0,,
'12000014,JACK FRUIT PEELED WITH SEED,ขนุนแกะ(มีเม็ด),KG,,,60,,,,N,0,,
12000083,PASSION FRUIT,เสาวรสสด,KG,,,62,,,,,,,
'12000037,BANANA LARGE,กล้วยหอม,BUNCH,,,65,,,,N,0,,
'12000053,LONGAN,ลำไย,KG,,,65,,,,N,0,,
'12000033,SA LEE FRUIT,สาลี่ทอง,KG,,,65,,,,N,0,,
'12000022,ORANGE SUNQUID KG,ส้มซันควิด,KG,,,67,,,,N,0,,
'12000021,MANGO YELLOW (2-3 ลูก/กก.),มะม่วงน้ำดอกไม้สุก(2-3 ลูก/กก.),KG,,,73,,,,N,0,,
'12000068,แก้วมังกรแดง,แก้วมังกรแดง,KG,,,85,,,,N,0,,
'12000028,ROSE APPLE RED ,ชมพู่แดง ,KG,,,85,,,,N,0,,
'12000044,CANTALOUP MELON GREEN,แคนตาลูปเมลอนเขียว,KG,,,89,,,,N,0,,
'12000054,MANDARIN ORANGE,ส้มแมนดาริน,KG,,,95,,,,N,0,,
'12000005,BLUEBERRY FRESH 125G.,บลูเบอรี่สด 125ก.,PACK,,,125,,,,N,0,,
