SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'34030115,ขวดบีบซอส 32 OZ,ขวดบีบซอส 32 OZ,PCS,,,,,,,A,7,,
'34030122,ชุดช้อนส้อมมีดกระดาษเอโร่ สีดำ แพ็ค50ชุด (847585),ชุดช้อนส้อมมีดกระดาษเอโร่ สีดำ แพ็ค50ชุด (847585),PACK,,,122.66,,,,A,7,,
'34030155,จานกระดาษวงรี ยี่ห้อเกรซซิมเปิลขนาด 6.5 นิ้ว 1X50/แพ็ค(801241),จานกระดาษวงรี ยี่ห้อเกรซซิมเปิลขนาด 6.5 นิ้ว 1X50/แพ็ค(801241),Pack,,,88.32,,,,A,7,,
'34030161,โหลบรรจุอาหาร 2.9 ลิตร 1*2/แพ็ค(113905),โหลบรรจุอาหาร 2.9 ลิตร 1*2/แพ็ค(113905),Pack,,,176.64,,,,A,7,,
'34030162,กล่องอาหาร SUPER LOCK 5500 มล.#6126(114913),กล่องอาหาร SUPER LOCK 5500 มล.#6126(114913),Pcs,,,126.64,,,,A,7,,
'34030163,กล่องอาหารแอนตี้ 1350 มล.#DW5035(93639),กล่องอาหารแอนตี้ 1350 มล.#DW5035(93639),Pcs,,,67.76,,,,A,7,,
'34030164,กล่องอาหารแอนตี้ 2800 มล.#DW5038/1(93197),กล่องอาหารแอนตี้ 2800 มล.#DW5038/1(93197),Pcs,,,97.2,,,,A,7,,
'34030165,กล่องอาหาร SUPER LOCK 890 ML.#6115(823453),กล่องอาหาร SUPER LOCK 890 ML.#6115(823453),Pcs,,,67.76,,,,A,7,,
'34030166,กล่องอาหาร SUPER LOCK 800มล.#5011(114915),กล่องอาหาร SUPER LOCK 800มล.#5011(114915),Pcs,,,67.76,,,,A,7,,
'34030208,ถ้วยเซรามิกขนาด 7 ซม.-ตะไลขอบฟ้า,ถ้วยเซรามิกขนาด 7 ซม.-ตะไลขอบฟ้า,Pcs,,,67.76,,,,A,7,,
'34030209,ถ้วยเซรามิกขนาด 4.80 ซม.-ถ้วยฟู,ถ้วยเซรามิกขนาด 4.80 ซม.-ถ้วยฟู,Pcs,,,,,,,A,7,,
'34030210,ถ้วยเซรามิกขนาด 3.0 ซม.-ถ้วยทองหยิบ,ถ้วยเซรามิกขนาด 3.0 ซม.-ถ้วยทองหยิบ,Pcs,,,,,,,A,7,,
,,,,,,,,,,A,7,,
