SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'31000005,,,KG,,,,,,,A,7,,
'31000008,,,CASE,,,725,,,,A,7,,
'31000014,,,CASE,,,1046.25,,,,A,7,,
'31000022,,,CASE,,,745,,,,A,7,,
32000013,,,BOX,,,150,,,,A,7,,
32000015,,,BOX,,,150,,,,A,7,,
32000025,,,CASE,,,420,,,,A,7,,
'31000118,,,CASE,,,878.85,,,,A,7,,
'32000007,,,KG,,,36,,,,A,7,,
'32000008,,,KG,,,36,,,,A,7,,
'32000009,,,KG,,,36,,,,A,7,,
'32000038,,,KG,,,36,,,,A,7,,
'32000072,,,KG,,,36,,,,A,7,,
'32000073,,,KG,,,36,,,,A,7,,
31000116,,,CASE,,,1170,,,,A,7,,
32000026,,,CASE,,,710,,,,A,7,,
32000037,,,CASE,,,710,,,,A,7,,
