SKU#,Description,Local Description,Unit,Qty From,QtyTo, Quote Price ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'15120012,RED WINE VINEGAR AGED  1 L. (12602),น้ำส้มสายชูไวน์แดง 1 ลิตร(12602),BTL,,,125,,,,A,7,,
'15010055,TOMATOES IN TOMATO JUICE CIAO 2.5 KG.,มะเขือเทศลูกในน้ำมะเขือเทศชาล์ว 2.5 กก.,TANK,,,235,,,,A,7,,
'14020024,CHEESE MOZZARELLA FOR PIZZA HAPPY VALLEY 2.5KG.(44655),MOZZARELLA FOR PIZZA HAPPY VALLEY 2.5KG.(44655),KG,,,265,,,,A,7,,
'14020011,CHEESE ASUTRALIAN MOZZARELLA 2.5KG(44655),CHEESE ASUTRALIAN MOZZARELLA 2.5KG(44655),KG,,,280,,,,A,7,,
'14020004,CHEES CHEDDAR ORANGE (84 SLICES),CHEES CHEDDAR ORANGE (84 SLICES),PACK,,,285,,,,A,7,,
'14020008,CHEESE CHEDDAR 84 SLICE,เชดด้าชีส 84 สไลด์ ,PACK,,,300,,,,A,7,,
'14020012,CHEESE CHEDDAR 84 SLICE WHITE(1KG/PACK ),เชดด้าชีส 84 สไลด์สีขาว(แพ็คละ 1 กก.),PACK,,,300,,,,A,7,,
'14020002,CHESS GOUDA BLOCK 3KG.(6UH004),CHESS GOUDA BLOCK 3KG.(6UH004),KG,,,360,,,,A,7,,
'14020026,CHEESE CHEDDAR ORANGE 3KG.(37123),CHEESE CHEDDAR ORANGE 3KG.(37123),KG,,,400,,,,A,7,,
'14020021,EMMENTAL VALMARTIM 3KG.(44ENT),EMMENTAL VALMARTIM 3KG.(44ENT),KG,,,400,,,,A,7,,
'10050015,PEPPERONI,เปปเปอร์โรนี่,KG,,,770,,,,A,7,,
'15010004,BALSAMIC VINEGAR 5L.(12501),BALSAMIC VINEGAR 5L.(12501),GAL,,,850,,,,A,7,,
'15050023,FLOUR WHEAT T55 (25 KG/SACK),แป้งสาลีอเนกประสงค์ T55 (25 กก/กระสอบ),SACK,,,900,,,,A,7,,
'15050014,FLOUR PIZZA ROSSA MIMOSA W290-320/25KG.,แป้งพิซซ่า ROSSA MIMOSA W290-320(41001),SACK,,,"1,040.00",,,,A,7,,
