SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'31000025,CANDLE LIGTH WITH HOLDER (1 X 100 PCS )900492,เทียนถ้วยตั้งโต๊ะ(1*100)/แพ็ค900492,PACK,,,0,,,,A,7,,
'31000035,DRINKING STRAW COLORFUL 8MM.( 1*250 PCS ),หลอดดูดข้องอ คละสี 8มม. ( 1*250 ชิ้น ),PACK,,,20,,,,A,7,,
'31000036,หลอดดูดข้องอจัมโบ้ 8 มม. สีส้ม(1*200),หลอดดูดข้องอจัมโบ้ 8 มม. สีส้ม(1*200),PACK,,,60,,,,A,7,,
'31000037,DRINKING STRAW WHTIE 6 MM.( 1 * 250 PCS ),หลอดดูดข้องอสีขาว 6 มม. ( 1 * 250 อัน ),PACK,,,20,,,,A,7,,
'31000038,หลอดดูดข้องอสีน้ำตาล 6มม.(ห่อฟิล์ม)1*100/แพ็ค,หลอดดูดข้องอสีน้ำตาล 6มม.(ห่อฟิล์ม)1*100/แพ็ค,PACK,,,45,,,,A,7,,
'31000070,COFFEE STIRRER PLASTIC-WHITE(1x100),ช้อนคนกาแฟพลาสติกสีขาว (1x100),PACK,,,18,,,,A,7,,
'31000074,DRINKING STRAW WHITE  6mm.1*100/bag,หลอดดูดข้องอสีขาว 6มม.(ซองกระดาษ)1*100/ห่อ,BAG,,,20,,,,A,7,,
'31000119,TOOTH PICK 1*500/Pack 133519,ไม้จิ้มฟัน(ห่อกระดาษ) 1*500/แพ็ค,PACK,,,50,,,,A,7,,
'31000144,หลอดดูดข้องอจัมโบ้ 8 มม.(คละสี) 1*250/แพ็ค,หลอดดูดข้องอจัมโบ้ 8 มม.(คละสี) 1*250/แพ็ค,PACK,,,40,,,,A,7,,
'31000145,หลอดดูดข้องอน้ำตาล 6 มม.(ไม่ห่อฟิล์ม) 1*250/ห่อ,หลอดดูดข้องอน้ำตาล 6 มม.(ไม่ห่อฟิล์ม) 1*250/ห่อ,PACK,,,0,,,,A,7,,
'32000019,SOFT BROOM (ด้ามมัดลวด),ไม้กวาดดอกอ้อ(ด้ามมัดลวด),PCS,,,0,,,,A,7,,
'32000020,SOFT BROOM(BAMBOO HANDLE),ไม้กวาดดอกอ้อด้ามไม้ไผ่,PCS,,,0,,,,A,7,,
'32000035,RUBBER BIG,ยางวงใหญ่,PACK,,,70,,,,A,7,,
'32000057,BROOM COBWEB,ไม้กวาดหยากไย่,PCS,,,0,,,,A,7,,
'32000058,BROOM NYLON-SHORT HANDLE,ไม้กวาดไนลอน-ด้ามสั้น,PCS,,,0,,,,A,7,,
'32000070,FOGGY,กระบอกฉีดน้ำ,PCS,,,28,,,,A,7,,
'32000116,หัวฟ๊อกกี้(ขนาดเล็ก)-สำหรับกระบอกฉีดน้ำ,หัวฟ๊อกกี้(ขนาดเล็ก)-สำหรับกระบอกฉีดน้ำ,PCS,,,28,,,,A,7,,
'34030007,BOOT SHOES ( 9275144000969 ),รองเท้าบู๊ท(9275144000969),PAIR,,,145,,,,A,7,,
'34030008,"COLD PLASTIC BAG 6"" X 9 ""","ถุงพลาสติกเย็น 6"" X 9""",KG,,,90,,,,A,7,,
'34030009,"COLD PLASTIC BAG 8"" X 14""","ถุงพลาสติกเย็น 8"" X 14""",KG,,,90,,,,A,7,,
'34030010,"BAMBOO STICK 6""(1*200)","ไม้เสียบ BBQ. 6""(1*200)",PACK,,,17,,,,A,7,,
'34030016,"COLD PLASTIC BAG 5"" X 8""","ถุงพลาสติกเย็น 5"" X 8""",KG,,,90,,,,A,7,,
'34030017,ถุงหูหิ้วใส 8*16 นิ้ว,ถุงหูหิ้วใส 8*16 นิ้ว,KG,,,86,,,,A,7,,
'34030028,APRON BLACK COLOR,ผ้ากันเปื้อนสีดำ(แบบเต็มตัว),PCS,,,180,,,,A,7,,
'34030029,APRON FULL DARK BLUE FSA.0310,ผ้ากันเปื้อนแบบเต็มตัวสีกรมท่าผ้าคอมทวิว FSA.0310,PCS,,,0,,,,A,7,,
'34030031,"BAMBOO STICK 8"" (1*200)",ไม้เสียบBBQ. ขนาด 8 นิ้ว(1*200),BAG,,,0,,,,A,7,,
'34030041,"COLD PLASTIC BAG 12""x18""","ถุงพลาสติกเย็น 12""x18""(แบบบาง)",KG,,,90,,,,A,7,,
'34030042,"COLD PLASTIC BAG 20*30 ""(1*100)/(193139)","ถุงพลาสติกเย็น 20*30""(1*100)/(193139)",KG,,,90,,,,A,7,,
'34030043,"COLD PLASTIC BAG 6X 12""","ถุงพลาสติกเย็น 6X 12""",KG,,,90,,,,A,7,,
'34030052,"HAND BAG PLASTIC 12*20""","ถุงพลาสติกมีหูหิ้ว 12*20""",KG,,,86,,,,A,7,,
'34030053,"HAND BAG PLASTIC 15*30""","ถุงพลาสติกมีหูหิ้ว 15*30""",KG,,,86,,,,A,7,,
'34030058,"HOT PLASTIC BAG 5*8""","ถุงพลาสติกร้อน 5*8""",KG,,,86,,,,A,7,,
'34030059,"HOT PLASTIC BAG  6*9""","ถุงพลาสติกร้อน 6*9""",KG,,,86,,,,A,7,,
'34030060,"HOT PLASTIC PP 5*26""","ถุงพลาสติกร้อน PP 5*26""",KG,,,86,,,,A,7,,
'34030069,PET LID-DOMEFOR 95MM. 1*100/(829916),ฝาโดม PET 95มม.1*100/(829916),PACK,,,50,,,,A,7,,
'34030070,PIPETTE PLASTIC(CIRCLE) 4ML.1*50P/PACK,ปิเปตพลาสติก(วงกลม) 4มล.1*50ชิ้น/แพ็ค,PACK,,,0,,,,A,7,,
