SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'14010015,MARGARINE BLUE BAND BEST FOODS 1KG.(866196),มาร์การีน-บลูแบนด์เบสฟู้ดส์ 1 กก.(866196),BAG,,,105,,,,A,7,,
'14030003,WHIPPING CREAM SPRAY EMBORG 500G.,วิปปิ้งครีมสเปรย์เอ็มบอร์ก 500ก.,CAN,,,250,,,,A,7,,
'14010016,MARGARINE BLUEBAND 2KG.(866198),มาการีน-บลูแบนด์เบสฟู้ดส์ 2 กก.(866198),TANK,,,330,,,,A,7,,
'14010002,BUTTER SALT ALLOWRIE 8G.(1x100),เนยเค็มตลับอลาวรี่ 8ก.(1x100),BOX,,,340,,,,A,7,,
'14010003,BUTTER UN-SALT ALLOWRIE 8G.(1x100),เนยจืดตลับอลาวรี่ 8ก.(1x100),BOX,,,340,,,,A,7,,
'14020008,CHEESE CHEDDAR 84 SLICE(ANCHOR)(1 PACK=1.04KG),เชดด้าชีส 84 สไลด์ ANCHOR(1PACK=1.04KG),PACK,,,340,,,,A,7,,
'14020009,CHEESE EDAM BALL 1-2 KG.(9040802),อีดัมชีสบอล 1-2 กก./ลูก(9040802),KG,,,390,,,,A,7,,
'14010011,BUTTER COOKING ALLOWRIE UN-SALT 5 KG.,เนยจืดอลาวรี่ 5 กก./แท่ง,BOX,,,685,,,,A,7,,
'14020016,CHEESE CREAM ANCHOR 1KG.(142554),ครีมชีสแองคอร์ 1 กก.(142554),KG,,,740,,,,A,7,,
'14010012,BUTTER DAIRY 82% GREEN CORMAN  2KG.(1x5),เนยแผ่นแดรี่บัตเตอร์ 82% เขียวคอร์แมน 2 กก.(1x5),CASE,,,6430,,,,A,7,,
'15090008,SALT PHUNG TIP  0.5KG.(1x6)/(106960),เกลือปรุงทิพย์  0.5 กก.(1x6)/(106960),BAG,,,6.5,,,,A,7,,
'15090009,SALT PHUNG TIP 1KG.(1x24)/(106971),เกลือปรุงทิพย์ 1 กก.(1x24)/(106971),KG,,,13,,,,A,7,,
'15090007,SUGAR PURE REFINED MITR PHOL 1 KG. (1x5) (230449),น้ำตาลทรายขาวบริสุทธิ์ มิตรผล 1 กก.(1x5)/(230449),KG,,,25,,,,A,7,,
'15090011,SUGAR WHITE  1KG.,น้ำตาลทรายขาว 1 กก.,KG,,,25,,,,A,7,,
'15120005,COCONUT CREAM AROY-D 250ML.(1x6)/(147234),น้ำกะทิ อร่อยดี 250 มล.(1x6)/(147234),PACK,,,25,,,,A,7,,
'15120059,TOMATO SAUCE HEINZ  300 G. (1x3) (853136),ซอสมะเขือเทศ ไฮน์ 300ก.(1x3)/(853136),GAL,,,25,,,,A,7,,
'15080002,BAKING SODA MCGARRETT 300G.(184247),เบคกิ้งโซดา แม็กกาแรต 300ก.(184247),BAG,,,35,,,,A,7,,
'15120019,SOUR SAUCE DEER HEAD 600ML.(1x3)/840159,ซอสเปรี้ยวหัวกวาง 600 มล.(1x3)/(840159),BTL,,,35,,,,A,7,,
'15090010,น้ำเชื่อมมิตรผล 800ก.,น้ำเชื่อมมิตรผล 800ก.,BAG,,,37,,,,A,7,,
'15120027,SOYBEAN SAUCE 800G.(1x3)/(147573),เต้าเจี้ยว เด็กสมบูรณ์ 800ก.(1x3)/(147573),BTL,,,39,,,,A,7,,
'15050002,FLOUR KITE 1KG.( 1x10 )/(184647),แป้งสาลี ตราว่าว 1 กก.( 1x10 )/(184647),KG,,,40,,,,A,7,,
'15050003,FLOUR RICE ERAWAN 1KG.(183877),แป้งข้าวเจ้า ช้างสามเศียร 1 กก.(183877),KG,,,40,,,,A,7,,
'15050022,FLOUR STICKY RICE 1KG.,แป้งข้าวเหนียว ช้างสามเศียร 1 กก.,KG,,,40,,,,A,7,,
'15050027,แป้งข้าวโพด ซุปเปอร์ไฟน์ 1 กก.,แป้งข้าวโพดซุปเปอร์ไฟน์ 1 กก.,KG,,,40,,,,A,7,,
