SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'31000014,TISSUE INTERFOLD HAND L-FOLD 1P(1*300S*24),กระดาษเช็ดมือหนา 1 ชั้น(1*300ผ*24),CASE,,,1130,,,,A,7,,
'31000022,TISSUE PAPER ROLL 2P 17M.1*144(ROOM),ทิชชูม้วนเล็ก 2 ชั้นยาว 17ม.( 1*144 /ลัง)-ห้องพัก,CASE,,,820,,,,A,7,,
'32000004,DUST PAN W / HDL,ที่โกยขยะมีด้ามจับยาวสีดำ,PCS,,,60,,,,A,7,,
'32000007,"GARBAGE BAG BLACK 30*40""(1*30KG)/SACK","ถุงขยะสีดำขนาด 30*40""(1*30กก)/กส",KG,,,45,,,,A,7,,
'32000008,"GARBAGE BAG BLACK 36 x 45""(1*30KG)/SACK","ถุงขยะสีดำขนาด 36x 45""(1*30กก)/กส",KG,,,45,,,,A,7,,
'32000009,"GARBAGE BAG WHITE 18X20""(165-170P)/KG",ถุงขยะสีขาวขนาด 18*20 นิ้ว(165-170ใบ)/กก.,KG,,,,,,,A,7,,
'32000020,SOFT BROOM(BAMBOO HANDLE),ไม้กวาดดอกอ้อด้ามไม้ไผ่,PCS,,,60,,,,A,7,,
'32000025,TISSUE PAPER POP-UP 1P(1x200S*60),กระดาษเช็ดปากป๊อบอัพหนา 1 ชั้น(1x200*60),CASE,,,550,,,,A,7,,
'32000026,TISSUE PAPER ROLL 2P 300M.(1*12),กระดาษทิชชู่ม้วนใหญ่ 2ชั้น 300ม.(1*12),CASE,,,930,,,,A,7,,
'32000034,"WIPER WITH LONG HANDLE - 24""",ไม้ปาดน้ำด้ามยาวหน้ากว้างขนาด 24 นิ้ว,SET,,,450,,,,A,7,,
'32000036,"SCOTH BRITE 3M WHITENo.9030 SIZE 4 x 5""(1*10)",สก็อตไบร์สีขาวยี่ห้อ 3M ขนาด 4 x 5 (1 x 10),PACK,,,235,,,,A,7,,
'32000037,TISSUE PAPER 1P 600M. (1*12),กระดาษทิชชู่ม้วนใหญ่ 1ชั้น 600ม.(1*12),CASE,,,940,,,,A,7,,
'32000038,"GARBAGE BAG(BLACK) 22*30""",ถุงขยะสีดำขนาด 22*30 นิ้ว,KG,,,45,,,,A,7,,
'32000060,BRUSH NYLON 1.8 M.,แปรงถูพื้นไนลอน 1.8M.,PCS,,,155,,,,A,7,,
'32000067,"DUST MOP WITH HANDLE 24""",ชุดม๊อบดันฝุ่นพร้อมผ้า 24 นิ้ว,SET,,,750,,,,A,7,,
'32000072,"GARBAGE BAG BLACK 18*20""(1*30KG)/SACK","ถุงขยะสีดำขนาด 18*20""(1*30กก)/กส",KG,,,45,,,,A,7,,
'32000073,"GARBAGE BAG BLACK 24*28""","ถุงขยะสีดำขนาด 24*28""",KG,,,45,,,,A,7,,
'32000080,"MICROFIBER MOP(SET) 18""",ไม้ม๊อปไมโครไฟเบอร์(ไม้+ผ้า)18 นิ้ว,SET,,,780,,,,A,7,,
'34030007,BOOT SHOES #11.50,รองเท้าบู๊ท เบอร์ 11.50,PAIR,,,180,,,,A,7,,
'34030028,APRON BLACK COLOR,ผ้ากันเปื้อนสีดำ(แบบเต็มตัว),PCS,,,160,,,,A,7,,
