SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'10010021,กระดูกเล้งหมู สับ,กระดูกเล้งหมู(สับ),KG,0,,70,,,,N,0,,
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,0,,78,,,,N,0,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,0,,79,,,,N,0,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,0,,72,,,,N,0,,
'10020022,CHICKEN CUTED,ไก่สับชิ้น(ทอด),KG,0,,72,,,,N,0,,
'10010022,ขั้วตับหมู,ขั้วตับหมู,KG,0,,145,,,,N,0,,
'10010023,ขาหมู (ขาหน้า),ขาหมู (ขาหน้า),KG,0,,85,,,,N,0,,
'10010018,PORK LEG,ขาหมู (ขาหลัง),KG,0,,90,,,,N,0,,
'10010009,PORK NECK,คอหมู,KG,0,,325,,,,N,0,,
'10020013,MIXED OFFAL CHICKEN,เครื่องในไก่,KG,0,,56,,,,N,0,,
'10020003,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,0,,30,,,,N,0,,
'10010012,ซี่โครงหมูแผ่น 5 นิ้ว,ซี่โครงหมูแผ่น 5 นิ้ว,KG,0,,170,,,,N,0,,
'10010013,PORK RIB FROZEN SIZE 600-700G. (6-7KG./BOX),ซี่โครงหมูแผ่นขนาด 5 นิ้ว 600-700 (6-7กก./กล่อง),KG,0,,170,,,,N,0,,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,0,,155,,,,N,0,,
'10010017,PORK CARILANG SLICED,ซี่โครงหมูอ่อนสับ,KG,0,,159,,,,N,0,,
'10010006,PORK LIVER,ตับหมู,KG,0,,70,,,,N,0,,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,0,,98,,,,N,0,,
'10020017,CHICKEN DRUM STICK WITH SIDE,น่องไก่ติดสะโพก,KG,0,,76,,,,N,0,,
'10020005,CHICKEN DRUM STICKS 2KG.,น่องไก่ล้วน 2 กก.,KG,0,,82,,,,N,0,,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,0,,90,,,,N,0,,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,0,,102,,,,N,0,,
'10020018,CHICKEN WINGS UP (Halan) 2KG.(893188),ปีกไก่บนฮาลาล 2 กก.(893188),KG,0,,82,,,,N,0,,
'10010004,PORK FAT,มันหมูแข็ง,KG,0,,65,,,,N,0,,
'10050030,CHICKEN 'S TENDON BALLS,ลูกชิ้นเอ็นไก่,KG,0,,75,,,,N,0,,
